start	end	text
0	3620	I'm here with my documentarian hero, James Fox.
3960	5900	And US filmmaker James Fox.
7760	11520	This message goes out to whoever's piloting UFOs.
11580	14640	Providing your presence is friendly, which it appears to be.
15440	20260	Reveal yourself soon, so my friends and family will stop thinking I'm crazy
20260	23360	for chasing the elusive UFOs.
23380	25680	This is James Fox, signing out.
27160	30900	who's made an incredible, I think, seven documentaries at this point?
31080	32900	Yeah, it's like six and a half or seven
32900	35720	because I did a couple of versions of Out of the Blue.
36100	38660	So I count that as almost two, but it's at least one and a half
38660	41160	because I spent another two and a half years completely revamping it.
41580	43500	So I did 50 Years of Denial.
43760	47120	Then it was Out of the Blue, Out of the Blue Director's Cut.
47480	50340	I Know What I Saw, The Phenomenon, Moment of Contact.
51340	53220	Shoot, I guess this would, well, six and a half.
53220	55160	And the program, which is coming out,
55680	61620	We just had this amazing screening last night with Hal Puthoff, of all people, who's a star of the documentary itself.
62060	72240	Our detection platforms are so well advanced so we could see a lot more than it really is a zoo of options and possibilities.
72880	74740	And it's just incredible.
74860	76720	And so I hope you're very proud of it.
76800	80560	And I know this has been a long slog, many decades for you.
80560	86940	And I feel lucky to kind of ride the coattails, you know, kind of draft aerodynamically behind people like you.
86980	88180	So I'm very grateful to you.
88240	88840	And thank you for.
88860	89600	Oh, thank you.
89640	95580	And I love seeing younger people, the new generation recognizing how significant the story is.
95680	101560	It's it's it's you know, I used to often ask people when I was first started out.
101600	104420	They'd go, you know, you know, you don't actually believe in this shit.
104500	105900	They literally would say that to me.
106420	110800	and I'd say, well, let me ask you if it were true,
111020	113800	and I'm not telling you to believe that it's true,
113860	117160	but if it were, how significant of a story would you give it?
117180	120280	And everybody says it'd be the biggest story in history.
120380	122760	I was like, well, I'm convinced it's happening.
122880	126400	So it's not a story that's easily just dropped, right?
126560	127960	Yeah, it kind of changes everything.
128560	128960	Totally.
129080	133500	From math, science, physics, to religion, to everything.
133720	134620	And it's interesting.
135900	140440	as you know, you're friends with him as well, just interviewed him. And he was talking about
140440	146540	the root of the word religion is religare, which means to relink.
146800	152100	The Latin root of religion is religare, which is like to relink.
152200	158980	And so in some ways, I think what you're doing is relinking us to our true kind of epistemology,
159160	165160	which is knowing that these other beings might exist. And maybe in the past, we did know that,
165920	169580	forgotten for a very long time i don't know what do you what do you think well i think
170320	177540	what's really exciting about it is that the phenomenon i refer to um transcends politics
177540	183380	transcends religion transcends borders it's one of the few topics that is really encouraging to see
183380	188640	both democrats and republicans working together on yeah we're going to uncover the cover-up and
188640	192540	i hope this is just the beginning of many more hearings and more people coming forward about this
192540	194220	We should have disclosure today.
194660	196160	We should have disclosure tomorrow.
196540	197860	The time has come.
198060	202340	And that really excites me because we're living in such polarized times.
202560	206740	So to see that and for people to recognize like this is bigger than all of us.
207200	214540	This is potentially has something to do with the bigger picture of who we are and our place in the universe and our very existence.
214680	216400	So it's very exciting.
216580	219240	I mean, people ask me, like, do you think it's scary?
219380	220900	I'm like, no, I don't think it's scary at all.
222960	223920	are differences.
224000	224400	Totally.
224780	230240	And in many ways, I think people always worry about it sort of debunking or overthrowing
230240	230440	religion.
230520	231940	I think it reinforces religion.
232120	237240	I think if you actually look at a lot of biblical stories, that stuff becomes a lot more real
237240	238040	and less mythical.
238300	244200	And so I think in some ways it's reinforcing and this sort of Cold War era kind of low
244200	247100	energy thinking of like, you know, we can't accept this.
247120	249440	This truth might just not make sense.
249440	251500	In fact, it might actually re-enchant us.
252200	262800	I interviewed a theologian at Berkeley named Ted Peters way back from my first film, UFOs, 50 Years of Denial, because everyone was like, well, it conflicts with religion.
262980	263900	And he's like, no, it doesn't.
264120	266540	And he gave, of course, he's a theologian at Berkeley.
266660	273840	And he's also like part of the science, you know, science and theology at Berkeley University.
273840	279820	So he's like, there's room for both, and there's room for all God's creation, you know?
281060	282880	We're just part of a much bigger picture.
282980	291600	And I thought that was, because I thought that was an important aspect of accepting the phenomenon, not being afraid of it or assuming that it was demonic.
292080	292500	Yeah.
292720	296840	Or just because we can't explain it doesn't mean we shouldn't look into it or doesn't mean that, you know?
297080	297500	Totally.
297860	298720	It doesn't exist.
298720	305000	In all religions, there are beings between man and God in the consciousness chain, so to speak.
305600	311100	Well, I mean, gosh, if you think about it, imagine a caveman watched a flying saucer descend out of the sky.
311400	313420	They'd probably think of them as gods, you know?
313580	319740	Yeah. Or think about us landing in North Sentinel Island or French Polynesia back in the day.
319840	322060	It's like, what are these things? What's going on?
322500	327100	So, well, yeah, I'm so excited to be here. I don't even know where to start.
328720	332260	But how did you get into, I guess, UFOs to begin with?
333360	338980	So I had a really good friend, this guy Rene Harris, in high school.
339980	346220	And when we graduated at 18, we flew to Europe.
346520	350520	We bought an old beat-up Fiat 131 in London.
350800	352060	And we painted the doors.
352140	353580	We wanted to kind of spice it up a little bit.
353620	356480	So we painted the doors red and the rest of the body was white.
356480	359820	and we're going to take this car and we're going to drive it all the way down to Portugal.
360160	365220	And I remember my aunt was thinking, oh my God, these guys aren't going to make it to the English Channel.
365360	372540	And so we drove across Europe together in this old Fiat 131 and just had a wonderful time.
372720	375780	And that was like six weeks across Europe.
376100	384900	And then he flew home a little early and I stayed on and we just kind of, you know, life happens
386480	387420	for a couple of years.
387880	391440	And then I came back and we reconnected when I was like 23.
392200	396340	And he was all into like UFOs and alien spaceships
396340	397160	and Roswell.
397480	399260	And I remember thinking to myself,
399580	401040	God, what a bummer, man.
401140	402620	I'm gonna lose one of my best friends.
403080	404460	I'm gonna have to cut this guy loose
404460	406680	because he's clearly lost his mind.
407020	407720	I'm serious.
408400	409200	What a bummer.
409260	410560	I was like, this is such a bummer.
410620	412120	It was like one of my closest friends, you know?
412800	416040	So I was like lamenting about it at work.
416480	420380	I was kind of a gopher at a production facility
420380	423840	in San Francisco, and there was a guy that was my boss,
424880	426700	Richard Van Sickle, and I said,
426740	428140	Richard, and I really looked up to him,
428200	431060	he's very smart and really just educated,
431260	432480	really great guy.
433360	435140	So Richard, he was just my buddy,
435260	437260	and man, I'm gonna have to cut him loose.
437400	440060	He's just all into like these UFOs he's talking about,
440180	443160	and he's talking that an alien spaceship crashed in Roswell.
443420	445600	I was expecting him to go, oh my gosh, thank God,
446480	448380	He goes, James, you haven't heard about that?
449160	450360	You haven't heard about Roswell?
450560	451880	I was like, how would I have heard?
451940	453260	No, I haven't heard about Roswell.
453380	456920	He goes, ah, yeah, the U.S. government actually admitted that they recovered.
457080	457700	I said, really?
458720	464460	So I started looking into it reluctantly, and I thought, wow, there's something going on.
464720	466540	I want to know what's going on.
466660	469500	Would you ever open up Roswell and let us know what's really going on there?
469500	471060	So many people ask me that question.
471160	474240	I know, it sounds almost ridiculous, but it's actually the real question I want to know.
474240	481180	It's like a cute question, but it's actually, there are millions and millions of people that want to go there, that want to see it.
481500	485240	I won't talk to you about what I know about it, but it's very interesting.
485940	490340	But Roswell's a very interesting place with a lot of people that would like to know what's going on.
490520	490880	Yeah.
491380	492340	And that was it.
492460	493460	I went to a few conferences.
493640	496640	I met some military folks.
497620	501080	And I thought, I think I'm going to make a documentary on UFOs.
501880	506920	and i remember my dad it was a mainstream journalist and uh he was like son you have
506920	512900	lost your marbles you've got to reconsider he said it's a dead-end street it's not going anywhere
512900	519300	don't waste your time and of course that drove me even hurt maybe even further yeah and uh
519300	525560	and so i stuck my teeth into it and and i made my first doc it's interesting too it's like people
525560	532120	People on the outside looking at UFOs often just assume there's nothing there.
532340	537580	But I think the second you like take it serious, it's like almost like a weekend to taking it a little more seriously.
537600	545680	You start to gather probably enough data even in that week to make your like probability that there, you know, there's something there.
545720	551560	There's something here where the investigation like it becomes very clear, like pretty quickly, actually, once you kind of flip.
551560	560300	it looks like that we have a problem here that needs further investigation yes okay so i remember
560300	566240	when i was 19 i was dating this girl rachel miller and she was a year older than me and she goes oh
