start	end	text
400	2400	In this week's episode of Weaponized.
6280	11240	One of the shapes that he said it was commonly reported is a jellyfish shape.
11440	14440	We were told that and thinking, wow, that would be great footage to have.
14620	16540	And then something came our way.
17260	19940	We thought it might be a balloon. It's moving kind of like a balloon.
20180	22180	But a balloon that you can't lock on?
22460	25360	Catch the final two episodes of season one of Weaponized.
25360	27080	I just want to share what I saw.
27080	31860	I think the first interview that most people saw was conducted by the New York Post.
32160	34780	Were they trying to get you just to debunk it right out the gate?
36320	37700	I think they wanted me to.
37840	39080	Let's play the second video.
44140	46420	Secrets, cover-ups, and strange phenomena.
47200	49800	UFOs and ideas that challenge reality itself.
50280	52420	All these mysteries, all this time.
52660	54320	Are we ever going to get to the bottom of these?
54640	55840	My name is George Knapp.
57080	61780	news stories that others can't or won't. I'm Jeremy Korbel, and for some reason,
61820	67500	people tell me things they probably shouldn't. And this is Weaponized.
70760	76300	This is Weaponized. I'm George Knapp, as always, with my compadre Jeremy Korbel. Quite a week in
76300	82780	UFO world, the great smudge versus bird poop debate raged, an iconic UFO shape and video
82780	88700	entered the modern lexicon. Members of Congress heard some startling testimony from Inspector
88700	95260	General related to the allegations made by David Grush, and all the folks behind TMZ uncorked a
95260	100680	stellar groundbreaking series that's already been seen all over the world. This will be a bit of an
100680	106600	odd episode, Jeremy, bifurcated, sort of a hybrid, because we're including chunks of an episode that
106600	111940	we originally recorded months ago but did not unleash. Can you tell our listeners why?
113100	137260	Yeah, man, George, it's because what you told me from the very beginning, it is our duty to protect sources, even if they don't protect themselves. And we also wanted to kind of smoke out people and see who would come forward and are they going to try to do disinfo or real information. So we were kind of like not giving every detail, not because we didn't want to, but because that's how we know if somebody was actually there.
137260	143620	so these specifics that we have we held back in this part people are going to hear and see soon
143620	149300	it was just like we're like surface level here's what happened and then let's see who comes forward
149300	156820	and holy shit i mean we had a number of sources before but now people are coming out of the
156820	161680	woodwork even publicly so that's what people are going to hear in just a minute is kind of like
161680	165520	like what we recorded when we were just starting to lay the pipe, you know?
165600	166080	Yeah.
166180	171280	So we'll get into sort of the birth of the jellyfish story, the jellyfish video,
171540	176380	give some indications how it came into our possession and what steps we were taking
176380	178680	to try to verify that it was a real deal.
179200	182520	There's a lot of debate about this, of course, but it started,
182680	186040	the world got to see it first on this Harvey Levin production.
186460	189540	You know, of course, people bitched and moaned about Harvey.
189660	190780	Oh, my God, TMZ.
191680	195500	be, this is terrible. I don't know if they think, though, we should only
195500	199420	unveil UFO videos or cases on Masterpiece Theater
199420	203160	or something on PBS. It can only happen in
203160	207440	some other platform. But Harvey is interested in this
207440	211440	topic. He does good work. He's expressed his
211440	215420	interest and how much he knows about it before to us. And he has this amazing
216160	219380	production machine at his disposal. So I was pretty impressed
219380	225820	by the series yeah you know look uh me too you know it was crazy because um being the subject
225820	231480	you know as we often are in these things like i don't know what the final thing is going to be
231480	238680	like precisely but i'll say this yeah people were like oh ufos on tmz that's a bad thing
238680	246880	dude we need to engage popular culture we need to engage the average person just watching television
246880	251760	television like i like to say if my mom is like you know hey that's interesting then wow we've
251760	257600	really reached a wide variety uh tmz really has earned my trust and let me throw down here for a
257600	266840	second like out of everybody that i've ever worked with on on a production the only person that has
266840	273000	ever meant what they said and did what they said they would was was actually harvey levin he'll
273000	278380	He'll tell you if we ever get him on this show, he'll tell you I was so skeptical of him.
278480	280560	I put him on his fucking heels.
280720	282160	I told him he had to earn my trust.
282400	294100	And when we did that first series, George, where we're releasing government filmed footage of officially designated UAP confirmed by the Pentagon, man, he earned my trust.
294320	297560	So when he called me and said, hey, man, let's go deep.
298020	299300	Let's do a deep one.
299300	303120	I was like, okay, let's do it because I inherently trusted him.
303340	309480	So the TMZ production and the crew, I just have to say shout out to Gustavo, shout out
309480	310100	to Ryan.
310340	314720	I mean, these guys just really went for it and did such a good job.
314800	317260	I was actually, I saw the series now.
317380	318960	I was catching up like everybody else.
319040	320920	I finally got to see what they wove together.
321180	324200	And man, it's a fun series.
324360	325200	It's informative.
325420	328360	The fact you and I decided to release it using this.
329300	335760	that you know it george but let me explain it to the audience here this is this is perilous man
335760	341560	our job is to protect sources even if they don't protect themselves getting shit out in a big way
341560	347840	real quick it helps eliminate some of the threat like let's get it out there i was grateful to
347840	355340	work with them and by the way look tmz it's owned by by fox fox is connected to tubi it's the way
355340	361640	that the world works to get information out. Look at the product. Look at the final product.
361920	367380	And I was really, although uncomfortable, seeing it, I was really happy with it, man.
368420	372560	It has been nothing to see here. Move on. All of that has changed.
373700	376700	Here was a phenomenon that the government couldn't protect us from.
376800	378940	What's really going on with the UFO situation?
379700	384100	What was the most impressive thing to you about this video, which the world has not seen yet?
385340	387380	asking questions. More and more witnesses
387380	389280	are coming forward. There are many who believe that the
389280	391420	government is hiding the truth of this. Are we
391420	392800	alone in the universe? No.
393340	394220	They're coming here.
397720	399420	Yeah, I thought it looked pretty good, and
399420	401580	you know, you can't
401580	403440	wait for 60 Minutes to do UFO
403440	404980	shows, because
404980	407120	you know, it could be
407120	409300	years in between when they might cover
409300	411180	something. We're glad that they originally
411180	413300	had some kind of an interest in it, but you can't
413300	415020	wait on mainstream media. They're a
415340	423520	they're still ignoring it so a popular platform and a popular producer like harvey is is where
423520	429580	you go i mean you want to reach a vast audience we're not tailoring this content to ufo world
429580	435260	it's supposed to be humanity that should be interested in this stuff totally man and like
435260	439500	so so i really don't care i mean you know george it's not just like lip service like i don't
439500	443960	fucking read that shit i don't get involved with that nonsense when it comes to like the online
445340	449480	If I learn something, somebody will send me a direct link and I'll click it.
450600	452620	For me, I'm singularly focused.
453320	456880	Let's get the information out and let's try to find out what it is.
456920	457640	Is it prosaic?
457680	458520	Is it not prosaic?
458640	461880	We're just reporting what we know and getting it out in a big way.
462060	468680	It was a really good experience and I think it was right for this particular series of
468680	470660	UFOs that we exposed to the world.
470760	471740	So yeah, thanks.
471740	477820	I know that as we do this, it can be abrasive to people.
478680	480080	We're doing the best we can.
480160	481200	That's the best we can do.
481360	483280	And I'm really happy with the series, man.
483360	484160	It was fun.
484600	486780	So the jellyfish made its debut.
487180	487860	Long last.
488100	493040	We've had this for a while and been trying to work on it and trying to go out about it
493040	500760	in a way that both protects the original sources, multiple sources, but also to, you know,
500760	504400	engage with people who know what they're talking about, who can tell us what the hell this thing
504400	510620	was. We recorded an episode of this podcast a couple of months ago, and we weren't exactly
510620	515080	sure when we'd be able to uncork it. There were some steps that had to happen before we could
515080	520880	release it to the world. It's now out there and everyone's debating the legitimacy, what it really
520880	526300	shows, but I wanted to share with our audience what we recorded months ago, sort of as a
526300	533320	step-by-step process in how this information was obtained and verified and what steps we've
533320	533840	taken since.
534420	535340	Let's do it.
535340	535980	Let's play it.
536060	536640	Let's go.
537460	543180	The following is an unreleased episode of Weaponized recorded in 2023, featuring both
543180	547280	videos of the Jellyfish UAP and our detailed analysis at the time.
547920	548940	This is Weaponized.
550880	552100	of all shapes and sizes.
552320	553640	You know, you've been to my house, Jeremy.
553740	554560	You've seen my library,
554760	556160	all these books about UFOs,
556160	556920	thousands of them.
557020	557260	Yeah.
557400	558860	And you look at, you know,
558880	559720	you look at the history
559720	560860	of the UFO phenomenon.
561460	563040	Why are there so many different kinds?
563220	565680	You know, if it's one extraterrestrial
566400	567580	or interdimensional intelligence,
567920	569060	why do they have so many models?
569200	570280	It's like they got the Fords,
570280	571760	the Chryslers, the GMs,
571760	573580	the AMCs, the Nissans.
574000	575340	You know, some are orbs,
575340	576800	some are flying saucers,
576820	577520	some are disks,
