start	end	text
0	3580	Hey everyone, Jesse here from American Alchemy and...
3580	6740	And Chris Ramsey from Canadian Alchemy.
6920	11960	We want to give a big thanks to Surfshark for sponsoring this episode.
12360	17680	That's right. I'll tell you more about how Surfshark can keep you safe online, so stay tuned.
18000	19780	Chris, they want to hear from me, man, not you.
20100	20960	Oh, right.
21260	25240	If you were able to use the type of technology that they are using,
25340	29660	you'd be able to bounce around and see an infinite number of exoplanets.
30000	35060	grabbing a plant from here, changing it up a bit, dropping it over here and doing the same with human life.
35200	38460	You could just like create like a little black hole around your craft.
38660	45240	And you could go through the whole evolution of our entire known universe in an afternoon.
45580	50040	It's like hitting the X button when you're playing a video game to like skip past all the cut scenes.
50240	51160	It's kind of what they're doing.
51360	56440	And so this all feels like the zoo, but not in a way that's like a zoo,
56440	60480	but like in a way that's like the preservation of like the seed of life throughout the universe.
60800	66560	The vector along which you are making progress is like, what do they want? What's the culture
66560	70060	on the other side of the non-human intelligence? How do they think of us?
70260	77780	They just don't care about us. It seems like an AI security system. They're kind of here until
77780	85640	something else gets here. Some of us may by chance through accident get to meet the lowest form of
86440	87940	kind of this robotic whatever.
88140	91260	And we're like, oh my, it's God.
92820	95180	I'm here with, at this point,
95200	97180	my very good friend, Chris Ramsey,
97820	100920	who just is one of the most amazing humans
100920	102020	I know generally.
102260	104880	I think, you know, your former career
104880	105920	speaks for itself.
106220	108380	You're a world-class magician.
108820	111840	And I think you brought your unique approach to that
111840	114320	in that you debunk at times
114320	118100	or show how magic is done to the average person.
118200	119380	But then I think there's also something
119380	120720	kind of very magical about you
120720	124500	and you allow for the illusion to persist at times.
124860	126460	And now you've started
126460	130780	probably my favorite new UFO related channel.
130960	132500	It has such an interesting angle
132500	134840	because I think you are exploring themes
134840	137880	around actually connecting with non-human intelligence
137880	139820	or exploring what they think
139820	141140	and how they think about the world,
141140	150840	which is, you know, no pun intended, alien, I think, for a lot of people in this topic who are just used to kind of nuts and bolts crafts or stories around sightings.
151400	153040	And so it's so refreshing.
153320	158360	And the world and universe that you build in each show is just next level.
158400	164700	The thoughtfulness that you put into the set and the script and the questions is second to none.
164800	166780	So appreciate you being here, man.
166960	167460	Thank you.
167460	169020	Thank you so much for saying those kind words.
169200	170120	I really appreciate it.
171140	175600	a lot coming from you, you know, being someone in the space. I think you're, you know, obviously
175600	181520	the ambassador to this topic on the platform. And so it means a lot coming from you. Thank you so
181520	186580	much. Well, I don't know. I don't think of myself as an ambassador, but I think that's what makes
186580	193280	you a good ambassador. Okay. So I want to talk about your transition from magic to UFOs because
193280	198980	I think magic gives you such an interesting lens. We were talking last night, you were talking about
198980	201940	about kind of techniques and hypnotism
201940	203900	that you're aware of.
204180	208040	And I'm sure that gives you an overlay or a lens
208040	209820	through which you view the UFO thing
209820	212180	where there's a lot of misdirection.
212260	214300	There's a lot of, you know, weird ulterior motives
214300	215720	and narratives and stuff.
215880	217980	Do you think you have a better eye for those
217980	220000	because of your magic background?
220140	221820	You know, on American Alchemy,
222000	226380	we're all about exploring big ideas and breakthroughs.
226380	232360	So it's fitting that we'd partner with a company that takes privacy and freedom just as seriously.
232560	236440	Thanks to Surfshark for sponsoring his video, this video.
236780	240920	One of the coolest Surfshark features is the ability to virtually travel.
241200	251480	With servers in over 100 countries, you can switch your IP location and unlock extra content libraries or content that's normally geo-restricted.
251480	258580	If you're abroad, you can bounce back to your home country's IP so you never miss your favorite shows, no matter where you are.
258760	265520	Additionally, public Wi-Fi hotspots like coffee shops or airports are data gold mines for hackers.
265660	266380	Are you aware of that?
266620	267700	I am now.
