start	end	text
0	6260	If you were asked to appear before Congress under oath, would you willingly do that?
6420	10560	The only way I'll testify, actually, the reality is in a classified setting.
10840	12120	DOD can come after me.
12260	13300	What happened to Dave Grush?
13520	18300	Physically harassed at his home and in his vehicles after he filed his whistleblower complaint.
18460	19760	It was before he ever testified.
19980	25200	All I have was the stuff that I accumulated and gathered going up through the OSAP and ATIP.
25300	26780	And that's how I met Dave Grush.
27000	29500	Jay Stratton introduced me to Dave.
30000	32880	the NRO liaison officer to the UAPTF.
33220	36800	So anyway, I met both of them and I gave Dave all my data,
36920	39160	all my briefing information, and he took that,
39160	40380	ran with it, and he found everything.
40640	43540	George Bush, when he was the CIA director,
43700	45480	he was given some pretty spectacular information
45480	49280	about a major UAP event, took place in early 60s,
49300	52300	and Bush's eyes lit up and this is what he's told me.
52320	53420	He said, what are you talking about?
53580	56160	The Pentagon liaison officer told him all about it.
56200	57200	He said, are you kidding me?
57220	58280	There's a there there?
61000	62080	Well, I want to see the evidence.
62160	64240	And the evidence was in the form of documentation,
65560	67300	but the film was the primary thing.
71000	73860	We are thrilled to announce this special episode
73860	77740	of American Alchemy featuring a groundbreaking interview
78400	80420	with the legendary Eric Davis.
80840	84460	Eric is a renowned scientist, Hal Puthoff's protege,
85280	88160	and probably more of an expert in UFO propulsion
88160	92660	propulsion and exotic physics principles than just about anybody on earth.
92800	96800	He's written a fantastic book called the Frontiers of Propulsion Science,
97140	104680	which is as comprehensive of an overview as you could possibly get when it comes to exotic propulsion and
104680	106580	anomalies in topological physics.
106920	114120	He's also written all sorts of great research papers on subjects ranging from UAP tracking to quantum teleportation.
114120	122760	This conversation wouldn't have been possible without my technical correspondent, pseudonymously named Jack, or Missile Man on Twitter.
122980	131700	Jack has over 15 years of experience in defense and aerospace and holds a very strong background in mathematics, materials R&D, and physics.
131960	137720	For now, he's chosen to remain pseudonymous due to his work in sensitive areas of national security.
138060	142340	Jack and I are going to be starting a technical series together on UFO physics.
144120	150200	deep dive on how UFOs fly, the exotic principles they employ, and materials they use. But this
150200	155240	interview also involves some incredible journalists in the world of UFOs. This interview would not
155240	159900	have been possible without them. First off, thank you to Thenvir, the incredible host of
159900	165000	Catastrophic Disclosure. I also want to thank his partner on the channel, Katarina, who is a
165000	170100	biomedical PhD. She's brilliant, and she's the editor and videographer on the channel. We're
170100	175660	We're also super grateful to James Falk, host of Neon Galactic, a PBS-affiliated podcast
175660	178820	and YouTube channel, which goes into UAP's consciousness.
179020	181360	It's incredibly deep and worth checking out.
181560	183540	Rob Jones was also involved here.
183660	186080	He's a nuclear engineer and Navy sailor.
186140	188620	Go follow him on Twitter for some incredible insights.
188940	192800	Finally, I want to give a special shout out and thank you to UAP Gerb.
193000	198340	He is honestly the deepest researcher I've met in the last year when it comes to UAPs.
200100	203260	called UAP Gerb, is deeper than just about anybody I know
203260	205180	on nuts and bolts UFO research.
205520	207240	We're gonna drop an interview very soon,
207420	208940	and hopefully all of you get to see
208940	211400	how ridiculously impressive his knowledge is.
211580	212820	So if you're gonna watch this interview,
212960	214960	please subscribe to all of these channels.
215120	217120	They're gonna come out with variations of this interview
217120	219020	with commentary and other remixes,
219020	221320	and maybe even some footage that we don't include here
221960	223320	on their own respective channels.
223920	225840	They're doing incredibly important work.
226060	228720	Consider subscriptions on those channels the passcode
230100	240920	We need more people covering this topic. The point is there's strength in numbers. We're all on the same team and we need as many high credibility, high quality people covering this as possible.
241080	252660	Without further ado, please enjoy this special episode of American Alchemy with our amazing technical correspondent Jack and the prince of exotic propulsion himself, Eric W. Davis.
252660	257920	this. The Bigelow Aerospace guys, the Alltop guys, the ATIP guys, y'all have been at the
257920	264380	forefront of really starting the public discourse on all of this stuff. And Dr. Jim Lekaski, he
264380	271540	mentioned if he were asked to testify before Congress, he would actually lie before Congress
271540	278500	instead of, you know, speaking against his NDAs and to honor his NDAs and the things he's,
278500	285240	you know, who wants to protect. And so I know that's a bit controversial because at this point,
285320	289200	Lou Elizondo has testified. We interviewed him last week.
289400	298520	And they did so under oath. So Jim didn't say what happens if he takes an oath, because if he
298520	304560	takes an oath, lying to Congress in a testimony is perjury, and he can go to jail for that.
304660	306500	And you saw what happened to the NDA.
308500	316260	prevent him from giving testimony. But he chooses to. Yeah. But however, if they issue him a subpoena
316260	322380	to appear before Congress, then he's going to have to work with the DOD staff to figure out
322380	327220	how he's going to do it. Now, here's how Dave Gresh did it. Dave Gresh was able to give,
327300	331580	was approved by the Department of Defense. I don't remember what the acronym means anymore.
331580	332580	or it's T-O-P-S-R.
332840	336980	So Dobser approved his public testimony
336980	339660	and approved what he could say publicly.
340000	342080	The rest of what he couldn't say publicly,
342280	344140	he said in a classified hearing.
344360	347120	So we had a classified hearing on his whistleblower complaint.
347360	348920	Jim would have to do the same thing,
348960	350600	and Jim should know that.
350860	354720	And I worked with him on the OSAP, so I know him.
354900	358260	So I don't know why he said have to lie before Congress.
358340	360900	He knows if you're going to take an oath before the committee,
361720	366020	lying as perjury and you're in trouble. And the NDA issue can be worked out with an adopter.
366100	371680	However, there are times when they don't administer an oath, but you don't want to lie
371680	377020	because that'll be a public reputation damage on you. If even though you didn't take an oath,
377040	381900	but you lied before Congress, you lied. I know for you, it's kind of a weird state
381900	385700	right now because your alleged memo has been entered into congressional record.
385700	395660	And so my question is simply this. If you were asked to appear before Congress under oath, would you willingly do that? Would you testify?
