start	end	text
1780	9480	I'm going to break through for a minute and tell us that for a tape. Will you do that?
15440	18600	Yeah, I got pain. Yeah, clear.
18600	37720	there. Greetings to you there from the center here at Blahaw. I am Steppas here. We wish to add to the
40120	46980	greetings and blessings already extended there on this anniversary date.
49480	53100	I only have this to tell you.
56300	62300	We shall neither affirm nor deny that which you have been thinking.
64960	74140	We do register an increase in your ability of perception.
77680	92080	Observing the actions and plans you have taken there, we are greatly satisfied with the present
92820	97960	progress of your desires and intentions.
100220	113240	As a team working together, you will accomplish great things for your humanity.
115620	140200	You must be prepared, however, to ward off the influences of human opposition that will tend to separate you and lead to dissension within your ranks.
143240	151380	Ignore that which you may hear about others of your fellows.
153900	162120	Work together for the common good of all of you and those of your fellow men.
165040	183260	pleasant conditions await you in the coming months after you have proceeded to manifest
183260	187940	manifest results of that which you have planned.
190180	196200	We have never directly told you this for the record.
198360	205000	However, at this time, having overcome obstacles,
207800	210540	we advance to you this information.
213340	232560	When your research structure is completed, one of our technicians will be there to work with you.
235240	247660	This is not the first time we have done this for your humanity, nor is it the last.
249860	263680	On most other occasions, however, the results were voided owing to conditions and time.
265920	284340	the course of your future for your organization has been carefully charted and we intend to
284340	289720	to assist you in fulfilling this project.
291600	304620	We do require, however, that you work together in complete trust and faith within your small
305780	306540	central group.
308820	325920	we extend our greetings and love from the council here at playoff until we register
325920	328500	Mr. Thrill, to you there again.
330640	332360	In love I am Steppas.
334920	335480	Yeah.
336860	337920	Okay, fellas.
341160	342720	Okay, Payne, yeah.
344500	345240	Yes, hello.
350380	350940	Yeah.
358940	365600	better bring the rodent up below okay yeah
374600	379880	yeah how are you yeah you're clear right there
384700	385900	exceptionally good yeah
388680	389280	thanks
395240	396820	yeah it's holding steady
399280	400900	I can get that off
403420	406100	you know I see it on the east side
408320	416160	a little but it's outside of my perception as far as feeling goes
421040	424280	okay yeah straight up right
433380	434700	Check again, yeah.
438140	443040	Okay, so yeah. Yeah, clear.
450160	457340	I, Lactis, greet you from the Starcraft Shansi.
460400	478080	We have arranged to relay through to you another attunement with your friends and our son Uranus.
496120	497520	Hello.
497520	519720	on parable 14. Hello! Yeah, glad to know you. Parable 14. Yeah, that's correct.
523500	541800	Break over on the car line. Yeah, three, four, five, hold it. Paracord 14, yeah.
546100	548860	yeah hello glad to know you too
554140	555540	yeah kind of too
560440	562880	well that's nice of you yeah
565200	571240	yeah yeah checking checking okay
571240	574220	Okay, Shanxi.
580820	584080	Okay, Pericle 14.
587580	590380	Intrabeam, okay.
596240	597020	Holding.
604400	613600	Lactis, uh, yeah. Well, this is a little new fella I'm trying to hold with you.
