start	end	text
0	3060	First of it, obviously, it's understanding the situation, right?
3140	4480	What do we have our hands on?
4700	8400	And like I've said in some other videos and stuff,
8520	11580	we took the Manhattan Project secrecy and overlaid it on this issue
11580	16040	because that secrecy worked well for atomic bomb developments and whatnot.
16360	20240	And certainly, this whole program, in a nutshell,
20560	24900	if I were to summarize the 90-plus years of history,
24900	30480	It is a reverse engineering program to garner some kind of insight.
32320	38780	And very few people kind of had that top down, could look across the silos and see what was going on.
38900	40480	It just became very dysfunctional.
40480	48120	And they were afraid of people being too cross briefed into the different silos for counter espionage, counterintelligence.
48600	53620	You know, they were going to remember a bulk of this program is done during the Cold War.
54900	57560	And, you know, we were afraid of Russian spies, Soviet moles.
57780	62920	And so we made it ultra locked down, but to the detriment of national security.
65440	71820	We have spent more than $2 billion on the greatest scientific gamble in history.
72240	73720	And we have won.
74620	81400	But the greatest marvel is not the size of the enterprise, its secrecy, or its cost.
81400	85780	but the achievement of scientific brains in making it work.
87120	88920	There aren't, in fact, very many secrets.
89160	91680	There aren't secrets about the world of nature.
91920	96720	There are secrets about the thoughts and intentions of men.
98440	102860	Sometimes they're secret because a man doesn't like to know what he's up to,
102940	103880	if he can avoid it.
104040	104380	I don't know.
104380	112400	process the singular purpose of my channel is to uncover the ufo legacy program architecture
113500	120240	a labyrinthine yet fractured ecosystem of special access unacknowledged special access and controlled
120240	127220	access programs that are housed within elements of the united states government armed forces and
127220	133660	intelligence community that are tasked with the retrieval collection storage exploitation and
134380	140360	of non-human technical vehicles and technologies of unknown origin.
141840	147840	What was once a galvanized and unified effort of the United States' most prestigious scientists,
148420	152960	general and flag officers, seasoned politicians and senior statesmen,
153820	161060	established by at least 1947 under what we might call the quote-unquote Manhattan Project 2.0.
161060	167620	So, clandestine and covert UFO programs now exist as scattered fiefdoms.
167620	177200	A siloed and viciously compartmentalized system in which several administrative elements now own a piece of the former centralized effort,
177460	184920	lacking a formal recognized oversight group presiding over all NHI recovery and exploitation activities.
186340	193000	Indeed, after decades of quite observable cracks showing a loosening and weakening grip
193000	199620	of a singular centralized program effort, the golden age of the legacy apparatus appears
199620	206700	to have conclusively ended in the early 2000s, when according to David Grush, certain contractors
206700	212100	– in my informed opinion Northrop Grumman – harnessed company-funded research and
212100	219800	Development, aka IRAD, to establish breakaway UFO retrieval and exploitation projects that became
219800	227480	unaccountable to their original government handler. And finally, complete oversight was lost by 2009
227480	233980	when Vice President Dick Cheney, the last man to harness centralized leadership of these activities,
234220	241660	left office. Whether it be Lieutenant General James Clapper, the closest thing to a Cheney-esque
242100	245740	oversight figure while serving as Director of National Intelligence.
246400	253560	Vannevar Bush, who operated as a senior scientific figure during the 1940s and 1950s Manhattan
253560	254980	Project 2.0.
255400	261860	Mr. Terry Phillips, who has allegedly engaged in reprisals against whistleblowers within
261860	264820	Air Force SAP channels and Northrop Grumman.
264820	270840	or Edward C. Aldrich, who seemingly aided in the evolution of UFO programs
270840	275440	hiding within special access programs during the early 1980s.
275580	281200	My work aims to span decades to analyze not just the individuals,
282060	287260	but also places, offices, directorates, laws, scandals, etc.
287740	290600	that have played an imperative role within
290600	295120	the ever-changing and morphing legacy program structure over the decades.
296380	302500	Thus, I have arrived at a functional ecosystem to represent the modern-day UFO legacy program
302500	305860	structure that I call the Legacy Pyramid.
306520	311200	And regular viewers, bear with me guys because I promise I will keep this very brief.
312040	318460	At the top of this pyramid sits the Control Group, a now tenuous position once helmed
318460	324900	by Presidents, career senior executive officials, Dick Cheney, Clapper in a kneecapped capacity
324900	331480	that now sits empty with possibly a handful of individuals understanding the full scope
331480	338960	of NHI retrieval and exploitation efforts. Below the control group sits program administration,
340200	347020	best thought of by me as several silo containers, housing specific programs and directives under
348460	354200	armed forces and intelligence community. An example here includes the National Security
354200	359960	Council still maintaining a recovery effort of technical vehicles of exotic origin.
360960	367060	And another specific example, a selection of Air Force programs involving numerous offices listed
367060	374080	below for a short, narrow, and strict oversight chain that operates out in the western ranges
374080	381360	that performs test and evaluation on airframes incorporating one or more elements of non-human technologies.
382580	390380	Below the administration level of MyPyramid sits Federally Funded Research and Development Centers, or FFRDCs,
390380	394520	and GOCOs, or Government-Owned Contractor-Operated Institutions.
395040	401740	These GOCO structures allow the U.S. government to attract the brightest of industry and subject matter experts,
401740	408240	while still retaining strict control over programs, materials, breakthroughs, etc.
409140	415580	Such FFRDC-GOCO efforts have been critical to the legacy program effort since the Truman
415580	421340	administration, all the way back to the late 1940s, in which custody of recovered vehicles
421340	426240	were given to now Department of Energy and former Atomic Energy Commission National Labs,
426480	430480	like Sandia, Los Alamos, and Oak Ridge.
431740	438280	More specific examples of FFRDCs and GOCOs include the MITRE Corporation, RAND Corporation,
438920	445600	Aerospace Corporation, CNA Corporation, and Air Force Plant 42 within Palmdale, California.
446260	452620	At the bottom-most layer of my pyramid sits the most security-vulnerable aspect of the
452620	458160	legacy structure, defense industrial base prime contractors and their subcontractors.
458160	465660	Only specific personnel within these companies are read into the legacy effort at a functional level,
466420	470240	including executive-level positions or special program directors,
470600	477080	while engineers, scientists, and technicians who actually brush elbows with the programs
477080	480760	through carve-out contracts are largely kept in the dark.
482300	485320	The mortar that binds this structure together,
