start	end	text
0	4220	In the third and final part of our interview with Matthew Brown, the author of the Immaculate
4220	8880	Constellation Report. The submission of this report onto the congressional record and its
8880	17400	announcement caught people by surprise. Its distribution was allegedly very tight and these
19940	25460	unelected members on these congressional staffs that get to set the agenda for our elected leaders
27280	30640	had to scramble and adjust in real time.
31600	32160	They panicked.
32260	37180	What I have learned is that we live in a dream,
37320	39180	a carefully constructed reality.
40440	43560	We make use of a science
44580	47840	that is tightly controlled and suppressed and distorted.
48240	49780	Who are they? Why are they here?
49880	51380	Why don't they show us what's going on?
52780	62360	I think I have a good degree of confidence that the reason they're here is us.
63420	68060	I think life, especially sentient life, is a precious thing.
69580	73180	And I think to some, it might be a resource.
74020	77540	I think humanity to some level is a resource for them.
77540	83520	It's been a very painful, costly process to find allies, but I have them.
84980	86100	There's more of us.
86560	87720	This doesn't stop.
88240	88760	Right.
88860	93800	You get to know some of these other whistleblowers who are still not public yet.
93860	94160	Correct.
94340	97540	But who are at least close to coming forward.
97860	98380	Yes.
98640	100900	Is there strength in numbers in that regard?
101860	102380	Yes.
102380	105660	Yes, and if all of us die or are imprisoned, the seeds have been planted.
106780	107600	More will come.
111340	114220	I fly out to California and I meet with Michael Schellenberger.
115400	118040	I told him, hey, I got a story for you.
118100	119180	Would you like to chat with me?
120700	125180	You know, I had met him previously very briefly, totally something unrelated.
125180	132420	related. And his work on the Twitter files defending, you know, free speech against a very
132420	138600	pervasive and insidious censorship regime, regime that our government, even before the Biden
138600	142640	administration had implemented, inspired me that he would do the right thing.
142960	147300	Logical, great choice. You know, that was my hope is to have a lot of journalists working on this
147300	152260	from different angles who you can trust, who are honest. So that's where your head's at?
152260	155080	Yeah. So we have a good meeting.
155880	157700	I show him the document.
157820	159000	This has been cleared by state.
159340	164320	I would prefer to maybe cut it down because it's pretty long.
164480	164700	Right.
165100	167180	But you get to look at it and are you interested?
167360	167980	The answer is yes.
168200	169260	We're going to do a story.
170340	172780	That's in summer of 24, I believe.
173000	174180	Early summer, late spring.
174380	179620	So with that in hand and knowing that I had at least tapped
179620	186500	tapped Sask and Sissy, thought it was okay to move forward with that story and
186500	192680	then try to talk to House with, you know, the full details in the meantime before
192680	196840	that story came out. You know, it takes time to vet things. He has to look into
196840	201220	me just, you know, find out who I am, look into the details of what I'm alleging.
201740	204220	I know the process, George, and I know the process well.
204380	208760	So it takes months, you know, so I got some time. And in that time I for the first time
209620	210520	with David Grush.
211000	213560	I've had a very enlightening conversation with him.
213880	217260	And at his suggestion, he connected me with you.
218080	220920	And that is how we came to meet.
221440	224880	And I'm looking not to report on what you're saying initially.
225160	228780	I'm looking to help you achieve the goal that we're all fighting for,
228940	231560	which is getting the people asking for the information.
231560	232820	This doesn't have to be public.
232960	234960	It doesn't have to be a public display.
235300	237900	This is let's facilitate these conversations.
237900	239040	That's where we started.
239620	244760	really doing journalism work with you i'm trying to just help the process go that's how that was
244760	249440	my headspace yeah i was asking gresh like i'm having a real hard time a meeting members themselves
249440	255760	and b just even talking to anybody in house who's the guy to go to and it was you okay so uh that
255760	260440	was our the nature of our meeting george and i have had a great relationship trying to help
260440	265700	facilitate information knowledge and human beings in for this sort of thing so it it makes sense it
265700	273520	was a good move we did well with david grush uh so george and i's our role oftentimes is to connect
273520	281700	people we are reporters it is to break stories tell the news um but really a lot of what i was
281700	286220	personally doing was trying to facilitate help facilitate the process they're asking for
287280	295000	at that time we had had a great hearing uh david grush uh also quit a favor who had to beg
295700	301660	testify. It was great. It was a success. Everything was clean on that one, on that hearing. This was
301660	306480	a new thing, a new era. It felt different from the get-go, but the idea was we're going to have
306480	311280	another set of hearings. I'm all for that. They tapped me to try to help connect them with people
311280	317580	and George. And so we've had many calls through many process. And now I'm out there to have
317580	322380	meetings directly about firsthand people with firsthand experience who can directly testify
322380	326900	about this whether they talk publicly or not this is the information you need so
326900	332660	I go to have these established meetings you and I meet I do you know physically
332660	336240	and we talk about it and you want to come with me and I can bring you in but
336240	339120	I can't let them know because we're still trying to protect you trying to
339120	342340	protect your identity so it was kind of like we'll talk about it more in depth
342340	345600	later but a kind of harrowing experience you were very nervous I mean it was like
345600	350960	you're exposing yourself in the in the you know in those meetings absolutely
352640	356480	walking into those offices or the buildings those offices are in.
356680	357940	Right, right.
358060	358660	Very public.
358860	359480	Very public.
359540	362420	So we kind of hid you in the camera crews, the way I say it,
362480	365580	and that you were walking with us and getting into the buildings.
365680	369760	But I asked each member, I said, okay, you wanted direct people.
369960	371920	I have one here to speak with you.
372120	374580	Everybody needs to leave the room, including the cameras.
374720	375740	It'll just be us.
375800	376240	Is that cool?
376700	379520	And each one, although they gave us wisdom along the way,
379520	382540	as we did our progression of getting you right in front of people
382540	386920	to give them your quick testimony and some documentation.
387480	389000	So that's what we went through.
389260	391280	And we go in, and there you are.
391320	394560	You're sitting in front of somebody with position.
395220	397840	I just want to know, what did that feel like, first of all,
397900	400160	that moment where you got to finally get to them?
402520	407060	I mean, in the moment, it just was somber, serious.
407060	415440	serious um also you know nervous I got a I got like you know it's five minutes but I only have
415440	419340	probably like a minute to speak bro you were sweating you were stressed I mean it was it was
419340	425760	intense so getting yeah getting the most important information across and also establishing my
425760	431960	credibility as fast as possible uh and I was making sure you weren't a plant you know
431960	449260	To be honest, that was part of the process is making sure he'd say the same thing to Congress, to members, that he said to me, not that I didn't believe you and I had done the vetting and I was there, but I want to hear you say it, show it, so you're not trying to entrap me.
449440	451360	I mean, honestly, that's part of my thing.
452660	454300	Man, we got through that, didn't we?
454580	455060	We did.
455200	455800	It worked well.
455960	456520	It did.
456840	460160	So you come out of that thinking, okay, all right, this is good.
460320	461300	I made contact.
