start	end	text
0	6420	I think that you can interpret the evidence that there is a strong case for the existence of Atlantis.
6580	12840	And one of the things I've done is studied the marine geology and oceanography of the Atlantic Ocean Basin,
12880	17820	and there is overwhelming evidence of major subsidence on the floor of the Atlantic Ocean,
17980	21260	particularly concentrated along the Mid-Atlantic Ridge.
21540	24200	What we're seeing now, those islands are the tops of mountains.
24640	26760	We're crazy speculative territory here.
26920	29580	What's up with the moon? It's really strange.
30000	37060	The moon has sufficient mass that it should have deformed into the state of least energy,
37340	38200	which is a sphere.
38400	39920	Why hasn't it done that?
40060	40560	What do you think?
40760	45820	I am willing to consider that the moon has been geoengineered.
45920	48140	And how would it have been geoengineered?
48320	50760	By a civilization with the technology advanced enough.
50940	52560	Do you think Atlantis geoengineered it?
52660	56280	Look, the imperial mammoth stood 16 feet tall at the shoulder.
56280	61940	The Ursus sphalius, the bear that stood six feet tall at the shoulder and 12 feet tall
61940	64300	when it stood up on its hind legs, they were giants.
64760	70920	But if you had all of these mammalian megafauna oversized compared to today, why not people?
72060	78300	This week's American Alchemist is the always fascinating and extremely knowledgeable Randall
78300	78960	Carlson.
79200	81300	Randall and I have been friends since 2018.
81300	87360	I annoy him constantly with random phone calls on everything related to esoterica, ancient
87360	88860	civilizations and geology.
89280	94120	This interview spans two conversations, one in 2022 and one in 2024.
94680	99780	In private, Randall and I have had some pretty trippy conversations about the ancient site
99780	105720	of Atlantis, a cataclysm that might have disrupted life there, and then where those survivors
105720	106140	went.
106140	110880	Randall has speculated with me given certain anomalies with the moon that
110880	114960	maybe some of these survivors have camped out on the moon. I think about
114960	119220	that with respect to the UFO topic where there's constant lore around underwater
119220	124340	bases and there are a lot of real anomalies with our moon and so I decided
124340	128820	to grill Randall Carlson on this thread. So my disclaimer here is that this
128820	132620	conversation is going to be stepwise more speculative than any conversation
132620	134080	you've heard Randall have.
134320	137340	And I have no idea if there's veracity to any of this,
137500	139440	but it's extremely fun to speculate,
139640	140680	and it's also important.
140880	141900	It drives science.
142160	145320	I also think if you look at a lot of Randall's earlier work
145320	148100	around the Younger Dryas Impact Hypothesis,
148120	150720	it would have been considered extremely speculative
150720	154200	in the 90s, but now we have an abundance of evidence
154200	155960	that he's probably just right.
156180	158320	So in the name of possibly pushing things forward,
158460	160160	I decided to get crazy with him.
160260	162180	And let's see if any of it holds up.
162620	165100	I now present to you the gray-bearded wizard of Georgia,
165300	168100	Graham Hancock's work husband, and my good friend,
168340	171400	this week's American Alchemist, Randall Carlson.
172600	174460	Randall, thank you for having me, man.
174680	177120	Oh, thanks for having me.
177340	180020	You made a little feature on the show with Graham.
180240	181180	I don't know if you saw that.
181280	182460	You called in.
182640	185400	And so it's good to actually be here in the flesh with you.
185780	186900	Yeah, here we are.
187000	190140	Well, we've talked about this for a year or two or three.
190300	190660	Yeah.
193320	195200	It's got to be at least a couple years now.
195780	197840	I want to say it was three years ago, something like that.
197840	199240	I think it's gone pushing three years.
199440	202160	I tried to get you to move to L.A. and become my mentor.
203560	211760	I was sorely tempted, but yeah, when the push came to shove, I couldn't pull it off.
211980	212800	You got busy.
213040	213640	You did.
213700	215540	I remember at the time you were like, you know what?
215620	220840	I've been thinking I need somebody to transmit my teachings to.
222620	227420	Because I've called you randomly from time to time.
227480	230980	You probably know me as a guy that call you sporadically.
231240	232080	Yeah, right, right.
232140	233400	Sometimes my phone will ring.
234340	236680	Oh, God, it's Jesse Michaels again.
238280	239240	Hey, Jesse.
239540	243780	No, I'm always happy to get a call from you, Jesse.
243880	244340	Thanks, man.
244380	244840	So far.
245180	247300	I love our conversations.
247480	249720	We talk about some trippy out there stuff.
249720	256740	stuff. Speaking of which, I've been on a weird kind of rabbit hole and I've been thinking about
256740	264060	the moon and I think the moon doesn't make a lot of sense to me. I would agree. Okay. I would
264060	270020	totally agree that it doesn't make a lot of sense. Yeah. What's up with the moon? It is way less
270020	275700	dense than the earth. The material predates the earth and yet it's supposed to have come from
275700	279620	the earth itself from some sort of asteroid impact so that doesn't make
279620	286340	sense there were reverberations when the lunar lander hit it both in Apollo 12
286340	291500	and in Apollo 13 you had ringing and when meteoroids strike it same thing
291500	296360	while those those Apollo in place seismometers were on the moon yes I
296360	300320	think for three or four years NASA was able to gather data and yes it shows
300320	304600	shows that the moon has a long vibrational train,
304780	309400	after like 10 times or more, that of say the Earth.
309660	316380	You have uranium-236 and chromium and titanium on the moon.
316460	318160	These are sort of either rare or-
318160	319300	High refractory metals.
319720	320540	It's very strange.
320740	323600	And then it feels almost like this perfect ball,
323720	326080	and it orbits in this perfect way
326080	328580	where you never see the dark side of the moon.
330320	332020	And I do this just for the people.
332960	335360	Does the moon rotate on its axis?
336360	337720	And most people go.
338620	344660	And they can't conceptualize in any way that allows them to even answer the question.
345200	346060	Does it?
346100	348240	Well, yes.
349060	349660	Okay.
349820	350420	It does.
350680	351080	Okay.
351180	352040	Or no.
352780	353720	Well, let's see.
353800	359980	Because most people now, unlike our ancestors of long ago, don't pay much attention to the moon.
360820	366760	Our ancestors all over the ancient world paid obsessive attention to the moon.
367260	375320	They built huge structures and monuments dedicated to observing the motions of the moon.
376040	380780	And they did this all over the world. Why? Why were they so interested in the moon?
380880	387880	Why were they so intrigued with the moon that they would create these large astronomy observatories
387880	393920	that would allow them to track, for example, the 18.6-year lunar cycle
393920	400180	between maximum rising and setting, minimum rising and setting,
400300	404700	which takes 18.6 years to go through the full cycle.
404800	410500	And to put it into what I would think of as kind of a comprehensible motion
410500	417220	is you've got a minimum rising, a minimum setting, a maximum rising, a maximum setting.
417880	419160	And it goes like this.
423880	426120	Does that make sense, what I'm doing?
426480	432940	It goes maximum, like maximum rise, minimum set.
434060	436240	Maximum set, minimum rise.
436580	439060	And it oscillates like that back and forth.
439100	444500	It takes 18.6 years, give or take a few days, to complete that full cycle.
445080	449940	There's a place that we'll go to at some point in Colorado called Chimney Rock.
450760	453520	We can pull up a slide of it a little bit later if you'd like.
453780	459780	It's two natural pillars, huge pillars, they're a thousand feet above the valley floor.
460220	462020	And they're connected by a ridge.
462200	467040	And you can go up that ridge and where the ridge sort of flattens out before you get
467040	474420	to these two huge pinnacles of rock, there's the remnants of an ancient structure there,
474560	477580	an ancient kiva that would have been built by the Chacoan people.
478080	484260	And this was one of the Chacoan outliers, part of the whole Chacoan civilization that
484260	489160	was pretty much covered the 10,000 square miles of the San Juan Basin in New Mexico,
489420	492200	whose hub was Chaco Canyon.
492200	502280	And there was a whole series of outliers that were places of observation, high pinnacle
502280	507640	points that would have been probably used as a communication system.
507760	510760	We can pull some of this up and I can show you some of these slides, you'll kind of
510760	511360	see how it worked.
511800	518340	But at Chimney Rock, the remains of a kiva are there and if you position yourself at
518340	525360	At the right location within that Kiva, which is circular, you peer through those two pinnacle rocks,
525600	536000	and it marks that position where you will see every 18.6 years, you will see the moon rising in between those two rocks.
536240	538360	And that's coming up later this year.
539320	546000	So I'm thinking a little trip out there, and the park, it's a national monument, I believe.
546000	552740	the park service that governs it is going to open it up so people can actually hike up the ridge
552740	559620	and get in that position and see the event let's go i think it's let's go i think but i won't let
559620	568900	you go randall what's up with the moon it's really strange it uh you know also the uh more dense uh
568900	574400	material on the moon is above the less dense material which is the opposite of the earth and
576000	580220	excavation site. Well, here's... And so, like, actually, the thing that got me onto this is
580220	585120	there's a remote viewer named Ingo Swann. Yes, I've heard of him. And he wrote a book called
585120	592840	Penetration, and he was part of the CIA's psychic spy program called Stargate. And the latter half
592840	597260	of the book, Penetration, is dedicated to his thoughts on the moon. Okay. And he thought that
597260	604200	the moon was a hollow spaceship. And there are other legends that involve the moon being a hollow
606000	612120	spaceship around the earth and there's actually a zulu legend that the moon brought us out of the
612120	618900	younger dryas and then it it made the the climate stable on earth so let's say well the moon
618900	624460	absolutely does help to stabilize the climate it's that's a well-known fact like they have a
