start	end	text
1580	8560	Hi, Chris. My name is Rob. I'm in Northern California. Back in 2012, my work partner
8560	14880	and I were working on a 911 ambulance and working night shift together when we both
14880	22600	saw a giant flying V partially cloaked about 10,000 feet in the air above our heads, completely
22600	29300	silent. Had five running lights in the center of the V, you know, two on each wing, one
30000	37180	center towards the tip. It, like I said, very, very large in size, and it was completely silent.
37480	43660	It was on the early morning hours, and after doing some research on such a craft, I later
43660	49560	found out that this was the same craft reported by thousands in Phoenix back in 1997.
50920	55300	Ladies and gentlemen, welcome back to another episode of Debriefed. My name is Chris Ramsey,
55300	59800	And today, we're going to be going through part three of the Lucerta files.
60000	68720	Now, these are two different interviews that happened in Sweden by a man who remains anonymous and a female reptilian by the name of Lucerta.
68800	73380	We've read through the first part, and we did that in two parts, and now is the second part.
73500	75080	So technically, part three.
75160	76500	You guys figure out the math.
76600	78040	I'm just here to go through the documents.
78040	98400	Things we've learned thus far from Lucerta include her anatomy, how babies are born. We learned about this interstellar war for Earth. We learned about our genetic manipulation when they stole simians for thousands of years and came back and we popped up and the reptilians went underground.
98400	104460	ground. I mean, there's a whole lore to this. It gets crazier and crazier the more you read
104460	109600	through it. But also, we're here to see if we can match any of the information up with stuff that is
109600	114940	currently being talked about. You know, we might find something. We might not find something.
115060	120120	The point is, we're going to enjoy the ride. And so I would highly suggest to suspend your
120120	124800	disbelief. Check it at the door because often belief, as you know, just gets in the way of a
124800	130080	good story. Folks, like this video, subscribe and hit the notification bell if you want to be
130080	135040	notified and head on over to area52.shop if you want to check out some of the latest merch that
135040	139000	we just dropped, including three brand new hats. We got the evidence bags, which are a crowd
139000	143260	favorite. So many awesome things in this brand new website that we launched that I'm very excited
143260	146580	about. And if you want to support the show, you can do that. Or you can head over to Patreon for
146580	151980	some extra content. I just filmed a vlog. I went to the Age of Disclosure premiere at South by
151980	152880	by Southwest and Austin.
153120	154400	And if you want to hear my thoughts,
154540	155560	that's there as well,
156080	157940	along with a whole bunch of other perks.
158280	159320	In this line of work,
159800	160740	evidence is everything.
161560	163520	Every interview, every lead,
164480	165960	it has to be crystal clear.
166720	168420	And that's why I don't take any chances.
169180	170360	I use Riverside.
170840	172800	When I sat down with Chris Bledsoe
172800	174400	to discuss his story
174400	175780	or with Dr. Diane Powell
175780	177380	to talk about the telepathy tapes,
177580	179780	I needed a setup I could trust
179780	181140	because these conversations,
181980	182580	They matter.
183100	186820	Riverside recorded every word in 4K video and pristine audio
186820	189240	so I could focus on the truth.
189640	190840	Forget the old ways.
191680	194740	With Riverside, I get studio-quality recordings from anywhere.
195200	198080	Multi-track recording separates my voice from my guests,
198120	199700	so editing is easy.
200360	201840	No complicated setups.
201980	205020	Just hit record and it's done.
205300	208320	If you're a creator, an investigator, a podcaster,
208360	210200	or just someone who needs top-tier recordings,
211980	217680	real deal. Try it for free. The link is in the description. And if you upgrade, use code AREA52
217680	225280	for 20% off a yearly plan. Trust me, you'll want this in your toolkit. Folks, we paid the bills.
225440	232640	Let's get into reading about the Lacerda files. All right, where were we? So we left off. The last
232640	240900	interview was allegedly in December of 1999. And then they met up a second time, which was in April
241980	261120	And this is that interview now. So there is a quite a lengthy introduction here before we get into the Q&A. And this introduction is by Ole K, who's this anonymous gentleman from Sweden. So we're going to read through his introduction prior to getting into the Q&A.
261120	266840	introduction. I once again reaffirm that the following text is the absolute truth
266840	272880	and is not fiction. It was composed from three original tape recordings, which were made on
272880	279200	April 24, 2000, with a tape recorder during my second interview with a reptilian creature known
279200	285680	as Lucerta. At Lucerta's request, the original text of 31 pages was shortened up to deal with
285680	289680	some questions and answers. Some existing questions were partially shortened or amended.
291120	296360	to extract message and significance from it. This part of the interview, either not mentioned or not
296360	301760	mentioned completely in the transcript, deals primarily with personal issues, paranormal
301760	310220	demonstrations, the social system of the reptilian species, and alien technology and physics. Folks,
