start	end	text
0	3840	All right, I'm really excited and delighted to be introducing Dr. Charles M. Stang.
4700	11180	Dr. Stang is professor of early Christian thought and the director of the Center for the Study of World Religions at Harvard Divinity School,
11840	18060	where he leads an initiative called Transcendence and Transformation, which includes a series on psychedelics and the future of religion.
18820	25600	His research and teaching focus on philosophical and religious movements of the ancient Mediterranean world, especially Eastern varieties of Christianity.
25600	31300	More specific interests include the development of asceticism, monasticism, and mysticism in early Christianity,
31900	38680	ancient philosophy, especially Neoplatonism, the Syriac Christian tradition, especially the spread of the East Syrian tradition along the Silk Road,
39620	45620	as well as other philosophical and religious movements of the ancient Mediterranean, such as Gnosticism, Alchemy, Hermeticism, and Manichaeism,
45740	48420	in addition to modern continental philosophy and theology.
49320	54660	His major publications include Apophasis and Pseudonymity and Dionysus the Arapagite,
55600	57600	Longer I, and Our Divine Double.
57820	59980	And current projects include an edition and translation
59980	61820	of Evagrius of Pontus' Great Letter,
61960	64540	a translation of Henri Corbin's The Paradox of Monotheism,
64740	66560	and a book on the imagination of fire
66560	67800	in the ancient Mediterranean world.
68600	70440	I first encountered Dr. Stang's work
70440	73280	through the CSWR's series on psychedelics and religion
73280	75540	in a panel discussion led by him,
75620	76900	featuring a historian of religions
76900	78240	by the name of Jeffrey Kripal.
78900	80520	Here, the driving question was,
80720	83740	what happens when the clinical becomes religious
85820	90040	In other words, how are religion, mysticism, and spirituality invoked, studied, and understood
90040	94060	within psychedelic clinical context, and what unspoken ontological and theological claims
94060	94560	are at work?
95440	98720	Of course, none of you are here to listen to me rehash a panel from three years ago,
98840	102140	and besides, you can watch it for yourselves online, and I would encourage you to.
102240	102640	It's great.
103840	109300	Yet, such insightful lines of inquiry, I believe, are worth repeating, as they represent crucial
109300	113940	considerations for the current psychedelic renaissance and its impact on our global moment,
115880	118780	transnational, transdisciplinary, and, yes, transcendent.
119580	123600	Furthermore, these lines of inquiry and bringing the insights of the study of religion and
123600	129180	mysticism to bear on facets of the psychedelic phenomena, perhaps not entirely comprehensible
129180	133720	through the lens of the clinical context alone, indicate the significance and necessity of
133720	135520	Dr. Steng's innovative work in this area.
136560	142440	So, in keeping with such inquiries into deeper and broader contexts, today Dr. Steng will
142440	144560	will share with us an exploration of recent scholarship
144560	146140	on psychedelics in the ancient world
146140	148160	in the spirit of appreciation and critique
148740	150760	with the aim of proposing how the contemporary interest
150760	154000	for psychedelics should heed the call of the ancient
154000	155580	in discerning a way forward.
156640	159000	And with that, I give you Dr. Charles M. Stang.
168120	170700	Thank you, Zach, for that very kind introduction.
172440	174620	for the invitation to address this audience.
175840	177460	I'm one of these squares who has a script,
178400	181280	but I feel compelled after the last panel discussion
181280	184960	to go off script, or rather to read from a deeper script.
185360	188000	As Michael Murphy, the co-founder of Esalen Institute
188000	191020	often says, who's writing this script?
191880	195440	And what I wanna share with you is the poignancy
