start	end	text
4820	11420	What's up everybody? We have a very special show for you today. Apparently dreams do come true.
11660	17040	I achieved one of mine when I went on the Joe Rogan experience. The episode is live today.
17560	23080	I don't really get nervous for anything, but I was pretty nervous for this. I've been a super fan of
23080	28900	Joe's show for the last decade, and so it was tough to contain myself and lay low when leading up to
30000	34460	texting me, talking about binging our show, American Alchemy, and loving it.
34540	35820	Joe is a hero of mine.
35940	38720	I think he's a strong force for good and free thought,
38880	42040	and he showed a ton of courage under fire during the pandemic.
42280	46000	So saying that this was an honor would be a massive understatement.
46060	50380	On the show, we talk about all sorts of crazy shit from artificial intelligence.
50480	53520	It doesn't matter whether AGI, you know,
53520	56220	hits some like perfectly Turing passable point.
56560	59560	You're going to get this like these weird cult-like dynamics.
60000	64540	meta sociological thing is you're going to get like religions dedicated to AI.
64800	69660	Oh, for sure. Oh, for sure. Without a doubt, there'll be people worshiping certain branches
69660	70000	of AI.
70320	74640	To secret science. And I think there is technology that is black technology and science that is
74640	78800	black science. And then I think there's stuff out in the open. And so I think this has already
78800	83500	maybe happened in certain contexts and, you know, super secret Department of Energy facilities,
83680	87580	which I think it's crazy to say that that hasn't happened. You're saying that it only
87580	91320	happened with the Manhattan Project and it hasn't happened since, that's insane. There is black
91320	97160	science. To exotic propulsion, gravity is out here hanging out by itself on an island. So you have
97160	102660	the standard model, quantum field theory, and you have Einstein's theory of gravity. And the two are
102660	107960	not reconcilable. It is my belief that if you were to reconcile them, you could create exotic
107960	115020	propulsion. To UFOs, I saw a thing that looked like a fucking school bus. It looked like no
115020	121400	no visible propulsion, this like sort of low humming noise or whatever. It was maybe 50, 60,
121460	127380	70 feet high, like above the tree, right above the treetops. Those bizarre Nazca tridactyl mummies
127380	133320	that I flew down to Peru to see. What do you think is going on there? They break my brain.
133540	138480	I don't want to be overly sensationalist about this. If it's a hoax, it's the best hoax ever.
138480	141360	And finally, the legendary Thomas Townsend Brown.
141520	151500	Townsend Brown's biographer has him on record in a phone call that is recorded saying the tests were very tricky, but in the end we got it to work and he's on his deathbed.
151740	154560	But before you go and watch that, just wait a second.
154740	157440	We have a very special episode for you today.
157640	162460	Before going on Joe's show, I had already been friends with his producer, Young Jamie.
162660	164020	Jamie is an awesome guy.
164220	167860	He knows a ton about UFOs and is down some pretty crazy rabbit holes.
168480	174720	we hit it off. He's also a huge golf fan. Serendipitously, one of the best golfers in
174720	179580	the world, Victor Hovland, reached out to me last year because he's a huge fan of American
179580	184860	Alchemy and happened to be coming to Austin in late April. Victor is the absolute man.
