start	end	text
0	7220	I'm from Pennsylvania. I have had a couple experiences in my life. The most recent one,
7420	16280	I had gone to bed and I woke up standing in my living room, looking out the big bay living
16280	23320	room windows and they have a crank open. And the one on the right was open. And I noticed
23320	29740	that my partner was standing next to me and she was completely motionless, not responsive.
30000	48860	And I go to close the window. I realized I couldn't move. And I see this really tall being walking out of the darkness towards the window that is open.
48860	56060	And this thing was as tall as the window, so it had to have been nine feet tall, maybe eight feet tall.
56420	66080	And it was this gray skin with this like purpley pink, like you could see, I guess, like veins or capillaries.
66220	71960	Its lower jaw was small and it didn't really make sense for the size of its head.
71960	76820	and it had these big, round, and they weren't almond-shaped like you usually think.
76880	80520	They were round, but they were, like, bigger than golf balls.
80760	81740	Black eyes.
82000	85100	And this thing had these big, long, skinny arms.
85240	88900	And I remember trying to scream in absolute terror.
89540	95320	And my voice, as best I can describe it, started getting, like, mechanical,
95360	97820	and then everything just cut out.
97820	103000	That was the most terror I've ever experienced in my entire life.
103260	105800	Ladies and gentlemen, welcome back to another episode of Debriefed.
105800	113300	My name is Chris Ramsey, and today we are going to take a final look at the story of Amori Rivera.
113560	115440	This is part three of a three-part series.
115520	118580	If you haven't seen the first two, I left the link below.
119060	125640	What makes this man's story so compelling is not only the fact that he recounts being taken from his car
125640	128200	by what seemed to be greys.
129420	135040	Not only did he interact with a human-like extraterrestrial
135040	136440	and was taken to their planet,
136460	139280	allegedly via some type of hologram,
140320	144460	not only did he see 14 other people aboard this craft,
144900	148640	but after he was shown all the images of the world
148640	152860	ending in a chaotic manner in what was quite dark,
152860	166280	He was dropped off, had a camera on him, and snapped possibly the clearest photos of a flying saucer I've ever seen.
166440	173380	These photos came my way by way of auction by Colonel Wendell Stevens, and I had purchased these three photos.
173500	181080	And, you know, there's a lot to glean from these photos, especially the fact that there might be different aircrafts in these photos.
182860	189120	of them circle this craft before the craft tilted, went up into space, and the three aircraft sort of
189120	196300	dispersed. But the story doesn't stop there. Sure, he ends up getting these photos developed,
196420	202160	shows them to his family. There's allegedly photos of the aliens, not just the craft. Like,
202160	209080	this is the best camera roll in existence. He locks himself in his room, has fever dreams,
209080	213200	doesn't feel good. Everybody's trying to talk to him. He gets scared. He's terrified. He's shaking.
213380	222900	He's just absolutely going through hell, but it gets stranger yet. And today we're going to cover
222900	227460	that. But before we do that, folks, I just want to remind you that the It's Probably Nothing live
227460	233500	show tickets are now on sale. Go to itsprobablynothing.com. I'm going to be hitting the
233500	239040	the stage at a theater near you and joined by several co-hosts along the way. And so a lot of
239040	243620	people ask me, will Jesse Michaels be joining me on this tour? Although he will be dropping in on
243620	250340	a few dates, I will be rotating between co-hosts. So not just Jesse, but other familiar faces in
