start	end	text
1920	5540	I'm calling to report a sighting that I had with a friend of mine.
5620	10680	I actually just got done watching episode 6 of Debriefed.
10680	12440	So I was outside with my son.
12700	16460	He actually got my attention and he pointed up to the sky and he said,
16560	17980	Hey daddy, what's that?
18220	24120	And so I looked up and I saw there's this bright streaking light going across the sky.
24920	29340	Extremely fast, extremely brighter than everything else around it.
30000	33880	with the goldfish UFO because it looks like a goldfish.
38440	40800	Folks, welcome back to another episode of Debriefed.
40800	41960	My name is Chris Ramsey.
42080	44140	Some of you may know me for my puzzle solving.
44320	46280	Others may know me for my magic.
46360	50700	And none of you know me for the guy who shows up to your local barbershop
50700	52540	because clearly I need a haircut.
52780	55140	In Debriefed, we cover a range of topics, namely,
55240	59200	especially when we don't have any guests, I like to dive into the UAP subject.
60000	68660	Recently, we did tease you a little bit with some patches that we had, and we're going to be covering one of those patches today, namely the NRL 38.
70160	75360	This patch here, very sus looking patch. If I do say so myself, we're going to get into that.
75460	84800	We're also going to start a three part series in reading through the entire Q&A from this alleged whistleblower that came out about a year and a half ago on 4chan.
84800	86800	This is deep UAP lore.
87040	88740	And what's interesting is that a lot of things
88740	91580	that were said a year and a half ago are now coming true.
91760	94020	And we're gonna read through the entire thing together
94020	94800	in three parts.
95040	96300	I'll give you the first line here.
96480	98960	"'I have intimate knowledge of what the US currently knows
98960	101160	"'about UFOs minus the last two years.'"
101160	103560	This man claims to be a whistleblower
103560	107200	from a UFO crash retrieval program
107200	108520	within the US government.
108760	111560	And something he said has been haunting me for quite a while.
111760	112420	He says,
112420	119840	I'm not here to convince anyone. You'll notice yourself coming back to things I've said over time on your own as understanding increases.
120220	125940	And folks, that's exactly what I've noticed. Folks, I want to encourage you to go ahead and leave a like, subscribe,
126420	133000	check us out on all the platforms, Patreon for extra content, and we also just launched YouTube
133660	139180	memberships. So if you don't want to head over to Patreon and you want to keep it right here on YouTube, and that gives you early
139180	145260	access to content, extra episodes, full uncut interviews, as well as updates on any recent
145260	149780	investigation. Without any further ado, let's get into it. What we're going to start with today is
149780	155200	just a little bit of UAP news. There isn't much going on as everyone is preparing themselves for
155200	161480	the November 13th congressional hearing of UAP. Now, a big piece of news is that this morning,
161520	166040	I woke up to a tweet. Jeremy Corbell was actually featured on NBC. Now, this is the first time
166040	171400	that I've seen an actual credible news, and I say credible, but an actual mainstream news source
171960	177360	talk about the UAP hearing that is coming up. The only other place that I've heard it from is
177360	183340	News Nation, who, you know, frequently covers the UAP topic, but it was nice to see mainstream
183340	188260	getting involved, even though, you know, you know how we feel about mainstream media here on YouTube.
188580	193040	Regardless, it was very good to see a familiar face on television talking about this very
193040	195020	very important congressional hearing that is happening.
195100	201400	And I had a hard time even finding any information on it on like the Congress website.
201660	204740	I don't know if you guys can link me to it, but is it going to happen?
204820	205980	Is it not going to happen?
206020	210420	I hope it happens, but it's going down in less than two weeks.
210640	219480	Recently as well, the New Paradigm Institute, which is sort of a conglomerate of UFO researching groups around the world
219480	222340	that sort of came together on October 20th,
222360	225620	which should have been the due date for any disclosure
225620	228460	the United States government, you know, had to cough up,
228540	231920	but apparently they pushed that due date back to end of December 2025.
232220	232660	Go figure.
232800	235320	During that time, you had folks like Lou Elizondo,
235580	237320	Ross Coulthart, and Danny Sheehan
237320	240960	speak about different topics within the UAP sphere
241560	243580	that we should be aware of.
243660	245780	And Danny Sheehan actually dropped some bombs.
245780	257040	They in fact have bases here on our planet, many of which are located high in the desolate areas in the mountains, where very few people ever go.
257160	273720	And beneath the sea, there is a major base in the Pacific that we're virtually certain exists off Baja, between Baja and Guadalupe Island, potentially beneath the ocean floor.
273720	281120	floor. This has been monitored. We have hundreds of videos of the vehicles coming and going
281640	287820	from that location and plunging into the sea and going down into and coming from this base.
288080	293080	Apparently there's an underwater base below the ocean floor, which has seen hundreds of
293080	298620	incursions by these UAP coming in and out of water off the coast of Baja, Mexico, in
298620	300260	in between Baja and Guadalupe.
300320	303140	Now, that's a crazy claim without any evidence,
303300	305260	I'll be honest, but very interesting nonetheless,
305620	308320	especially once we get into what the whistleblower
308320	309660	was saying a year and a half ago.
309820	310520	Put a pin in that.
310780	314060	But it is nice to know that people are coming forward
314060	316500	in troves to talk about the UAP subject
316500	318780	to at least desensitize it to the masses.
319080	320180	I thought that was nice.
320440	322840	One thing that I did wanna touch base on
322840	325620	was can we just please collectively
325620	328860	Collectively, stop trying to dress like aliens.
329320	331520	You know, if you dress like a Pleiadian,
331560	333120	people are not gonna take you that seriously
333120	334680	when you're talking about Pleiadians.
334840	335680	That's all I'm saying.
335800	336600	I'll leave it at that.
336740	337560	Let me know your thoughts.
337880	339820	All right, folks, it's time to review
339820	344540	one of these NRL patches, namely this one, the NRL 38.
345120	348000	And we're gonna go piece by piece here.
348100	351880	This is the Drake launch, okay?
351980	353080	What you're looking at here,
353140	354760	this is actually the mission patch.
355620	357180	that was used on the rocket.
357320	359720	This is the patch that was used on the rocket
359720	362980	or the emblem that was slapped on this giant rocket
362980	365420	sending a satellite out into space.
365620	368380	Both differ and both have their own symbology
368380	370460	or symbolism attached to them.
370520	371720	And we're gonna go through everything
371720	372760	to try and clear things up.
372800	373880	Now, some of it may be mystical.
374020	375880	Some of it may just be mundane,
376560	378300	but I'm gonna give you all the facts
378300	379380	to these patches right now.
379480	383120	First off, let's just talk about the NRO for a second.
383160	385160	This was founded in 1961.
385620	393760	pre-Cold War, we wanted to find a way to spy on the Russians and just basically dominate the
393760	402620	information sector of the world. And it wasn't until 1990 that the NRO as an organization within
402620	412180	the government was declassified. Think about that. For almost 30 years, they functioned as a
412180	417020	a completely secret and classified program
417560	418180	within the government.
418960	421480	So next time you think that these projects,
421740	423680	no, that's just conspiracy theory,
423820	426440	like 30 years is a long time to cover something up
426440	429920	and have no one know about it, especially rockets,
431040	433260	which is why eventually they unclassified it
433260	434340	because they even said themselves,
434460	435780	it's really hard to hide rockets.
436040	439140	And ever since then, they've been spying on everything.
439140	442160	Okay, let's look at the mission patch first.
442380	445040	So NRO-L38, it's the 38th mission.
445220	446860	AV stands for Atlas.
446920	450300	That is the type of rocket which I don't think they launch anymore,
450480	452000	but that was the type of rocket.
