start	end	text
0	8020	July 16th, 1965, the Nevada test site about 80 miles north of Las Vegas. A craft comes down
8020	16780	and 12 Americans in military uniform walk aboard it. It leaves and they only come back 13 years
16780	24860	later, well some of them. That's what this book says happened. It's called Secret Journey to
24860	32420	Planet Serpo, written by Len Kasten in 2013, and I'm going to read it to you. Well, part of it,
33420	39640	including the training, the voyage, the arrival, the 13 years on the ground. I'm going to start
39640	44240	at part two because that's where, you know, the real meat and potatoes are, but part two doesn't
44240	50240	make any sense if you haven't read part one, so I'm going to try to get through the first 100 pages
50240	56600	pages in a bit of a synopsis here for you guys. It also helps you understand why anyone would
56600	62780	agree to this. And so strap yourselves in, like this video, subscribe. Let's get into it.
63300	70020	So this book comes 20 years after the story and the story starts with emails. November 2nd,
70020	77100	2005, Victor Martinez, a former US government employee, ran a private UFO mailing list. He
77100	85060	He forwarded something out to his subscribers from an anonymous sender who said that he was a retired government official.
85320	88080	The email describes an exchange program.
88700	94880	American personnel sent to a planet in the Zeta Reticuli system, and the planet was called Serpo.
95320	106460	Then he sent another one, and then more through the rest of 2005 and into 2006, 2007, and then again in 2011 after like a long break.
107100	109860	And he was only known as Anonymous.
110180	112760	So Martinez's list was pretty important.
112840	114840	It wasn't just a random subscriber list.
115020	116700	It wasn't a public forum either.
117080	121200	The subscribers included people with intelligence and defense backgrounds.
121800	130560	And so the material, when it showed up, it kind of arrived with this certain sense of borrowed credibility.
131000	133860	Anonymous also said that he wasn't working alone.
133860	144580	He described himself as a spokesman for six people connected to the Defense Intelligence Agency, the DIA, and three of them apparently still active.
144800	157960	And he said his information came out of a 3,000-page briefing of the team that came home, along with the diary the mission commander kept the entire time while he was gone.
157960	166920	And so by December 21st, there was enough of the email exchange and the dumps to merit its own platform.
167120	172460	So a British subscriber named Bill Ryan, he built a site and he called it Serpo.org.
174780	183780	And so Kasten's book is basically just this conglomeration of all these different emails, things arriving out of order, contradicting each other.
183780	188540	and he tries to put it into one coherent body of work that you can read front to back.
189540	194840	And Bill Ryan comes back later in the episode, so put a pin in that. We'll get back to him.
195180	200460	I've been waiting so long to cover this story, and I cannot wait to get into it. So this happens
200460	206580	in three parts. Part one is called The Prelude. It's six chapters. You have Germany, Antarctica,
206580	210720	Antarctica, Roswell, Los Alamos, Kingman, and Kennedy.
211500	219940	This is basically just like a backfill of history to get us up to speed of them embarking on this journey.
220020	223240	And part two is called Project Crystal Knight.
223340	228860	And that name is the name of the alleged project or program.
229140	232600	So the planet was Serpo and the program was allegedly Crystal Knight.
232600	238800	And that has 10 chapters and that covers like the training, the landings, the voyage, the arrival.
239120	245780	There's a confrontation, a police state, exploration, and then eventually the return.
246600	248880	Part three is the epilogue.
248880	258260	So the Eben technology and then, which I find very fascinating, a chapter arguing that close encounters of the third kind was seeded with classified material.
258260	266460	material. Following this, 13 appendices, including one on the aliens' religious beliefs,
267180	274200	and then one that's just a supply manifest. So I'm very much looking forward to reading this
274200	278680	story. This will be my first time reading it, and I'll be reading it with you starting in part two.
278800	284520	But before we do that, I'd like to cover the entirety of part one just to get you up to speed
284520	286760	and why it is we're here.
287020	289280	So chapter one starts in Germany.
289280	290300	It's the Nazi era.
290520	294740	He's arguing that the fear that eventually produces Serpo
294740	296920	begins with German engineering.
297680	301420	And he leans heavily on a researcher named Vladimir Terziski.
302420	307980	So Terziski's claim is that Germany built working anti-gravity disks,
308200	309600	the Haunebu series.
310900	312180	So Kasten talks about that,
312180	318220	including the part where a large one, the Haunibu 4, is crewed by German and Japanese volunteers
318220	325280	and sent to a one-way flight to Mars, crash landing there in January of 1946. Okay,
325380	328140	if I haven't told you to suspend your disbelief at this point,
329520	335160	do so now. Because obviously Germany's rocket and jet programs were real and were genuinely ahead
335160	340620	of everyone, and the Allies did scramble to grab the people who built them. That's known as Operation
342180	361560	That's just a fact. It's part of history. But the discs are not. There's no archive anywhere, really, of anti-gravity in it. Terziski's material has never been independently confirmed or corroborated. And the photographs that travel with all of this fall apart under any serious scrutiny. So keep that in mind.
361560	368040	But Caston needs this chapter to help set up the rest of the book, and especially chapter two.
368460	370740	So chapter two is Antarctica.
370940	372660	We've all heard a lot about this place.
372860	375060	Very mysterious area in the world.
375120	379680	But two things in this chapter are actually like solid parts of history.
379680	391580	So in 1938 and 39, Germany ran a real Antarctic expedition and claimed part of Queen Maud Land, naming it Neuschwabenland or New Swabia.
392040	393740	Swabia? Swabia?
393920	402300	And in the winter of 1946 and 1947, the U.S. Navy ran Operation High Jump under Rear Admiral Richard E. Byrd.
403180	406120	Thousands of personnel, 13 ships, aircraft.
406120	412500	craft. It ended earlier than the original plan called for, and Kasten builds on both of these
412500	419140	stories. In his telling, Neuschwabenland became a fortified base. Senior Reich personnel, equipment,
419220	424560	and thousands of civilians moved down there before and after the surrender, allegedly,
425260	430520	with the surviving disk program flying out of Antarctica rather than Germany. And high jump
430520	431980	wasn't an exploration.
433040	435520	Apparently, it was said to destroy that base,
435660	438040	but it ran into the aircraft that it couldn't fight
438040	439900	and retreated.
441040	443480	Now, everything in the back half of Part 1
443480	444880	rests on this.
444980	448540	By 1947, the Pentagon believes the Reich survived
448540	451300	and is operating out of Antarctica
451300	454120	and is flying something the United States cannot match,
454840	456460	which puts American intelligence
456460	458360	in a very specific mood
458360	460940	going into that summer.
462340	465460	Which brings us to chapter three, Roswell.
465780	467820	Chapter three, Roswell.
468320	473200	Early July, 1947, something comes down in New Mexico.
473600	476560	Roswell Army Airfield puts out a press release
476560	479000	saying they've recovered a flying disc.
479740	482540	A few hours later, well, it's a weather balloon
482540	484500	and the story dies.
484700	485720	Well, dies.
486600	488060	They wanted it to die.
488360	496680	But decades on, the Air Force explains it as Project Mogul, a classified balloon array built to listen for Soviet nuclear tests.
497100	502680	But the Serpo version, which Kasten writes about, goes past that.
503100	505620	So it talks about more than one crash.
505880	512460	Roswell and a second location with Corona named most often, though the accounts sort of disagree.
512460	518440	Agree? More than one craft, multiple bodies, and one survivor.
520760	523100	Injured but alive, down but not out.
523780	529280	So he's taken to Roswell and put into the custody of a senior intelligence officer, isolated from essentially everyone.
529600	536560	And the next day, a military convoy moves him out, which brings us to Chapter 4, Los Alamos.
537160	539040	Another very familiar place.
539680	543820	They designate him EBE, Extraterrestrial Biological Entity.
544020	547380	He becomes EBE-1 a little later once there are others.
547600	552320	But he's housed at Los Alamos, which in 1947 is about as secure an address as exists.
553120	557780	And over roughly five years, the people around him work out how to communicate.
558020	563640	Now, we've read books about this and you've heard lore, so there's all that to take into consideration as well.
563720	567180	But apparently they started with drawings and then something like language developed.
569040	576300	tells them where he's from, a planet orbiting a binary star system in the reticulum, 39 light
576300	580880	years away. They don't have a name for the species, so they build one out of the acronym Eben.
581320	587780	And then the planet's name comes from him, Serpo. And unfortunately, sadly, he dies at Los Alamos
587780	594080	in 1952. Before he dies, he helps him with a communication device recovered from the wreck,
594080	599460	repairs it or explains it depending on which version you read and after his
599460	608060	death they get it working and in December of 1952 something responds then
608060	612600	nine years of slow correspondence gradually resolving into rough English
612600	620260	in 1962 they arrange a meeting evens will come back meet and at a time and
620260	625520	and place agreed in advance, apparently in April 1964 in New Mexico.
626980	631420	This brings us to Chapter 5, Kingman.
631660	637960	So Chapter 5 goes a little sideways to another crash in Kingman, Arizona in May 1953,
638120	643420	another very important and very well-documented crash in the sort of UFO history.
643660	647320	And this one's attached to a man with a checkable biography,
647320	650620	which makes it a little different from most of Part 1.
650860	656400	His name was Arthur Stancil, and for years he was known publicly as Fritz Werner,
656580	660640	a pseudonym given to him by the investigator Raymond Fowler.
661460	664860	Stancil was an engineer who worked the atomic test program in Nevada
664860	670840	during Operation Upshot Knothole in 1973, 20 years after the fact.
671280	673620	He signed an affidavit for Fowler.
674460	677000	He said he was pulled onto a special assignment,
677320	685880	flown out, driven to the site on a bus with blacked out windows and put to work with a team
685880	693700	of specialists who were instructed not to speak to each other. Sound familiar? His assignment was
693700	701540	narrow, calculate the impact velocity. That was it. He described an oval craft about 13 feet across
701540	710240	cross made of something resembling brushed aluminum, embedded about 20 inches into the sand
710240	716540	with no visible damage. A hatch about a foot and a half by three and a half feet,
716740	726720	a tent pitched nearby. In the tent, a body around four feet tall with a silver metallic suit.
727380	733060	Folks, on Area 52, we do talk a lot about how our privacy is at risk.
733140	739700	I mean, constantly, whether it's your cell phone collecting data from you or the websites you're browsing or what have you.
739760	741840	It's an issue in today's day and age.
741920	745240	And your cell carrier is actually a huge part of that.
745340	747200	And that's why I like what Cape is doing.
747340	751100	Cape is America's privacy-first mobile carrier.
751100	754420	So with Cape, you don't just get your premium cell service,
754600	757860	but you also get privacy and security.
758220	759880	One of the newest functions that Cape has
759880	761740	is the identifier rotation.
762100	764820	So your phone normally has like this static identifier
764820	767080	called an IMSI.
767300	770880	And Cape basically automatically rotates that identifier
770880	772840	for you every 24 hours.
773040	773900	What does that mean?
774040	777260	It makes it significantly harder to track you over time.
777400	778060	And on top of that,
778060	781340	that you get two additional text only phone numbers.
781540	784060	So first of all, these are real phone numbers, not VOIP.
784320	787320	So you actually use them for things like logging
787320	790360	into social media or verifying accounts online.
