start	end	text
0	8540	After seeing Joseph McMonigle's remote viewing sessions and speaking with Dr. Ed May about the legitimacy and research into ESP,
9280	18420	I have to admit that I'm more than ever convinced that this phenomenon is real, or at the very least, that it deserves further research.
18760	24320	And that's a big pill to swallow for someone who's spent most of their life being skeptical of psychics.
25420	32300	But this realization becomes even more concerning when reading through one of Joe's most famous sessions.
32860	41260	I'd love to talk about this one session, and the target was blind, and the target was Mars a million years ago.
41460	41740	Yeah.
41840	45660	And this was unbeknownst to you, blind, there's no way you could have known.
45880	46080	Yeah.
46720	48060	Can you walk us through this?
48300	53640	Sure. You need to know the reason why it occurred at the Monroe Institute first.
54320	59960	had a spontaneous out of bodies after my near death, my first near death
59960	64640	experience. It would just happen spontaneously. They heard about this so
64640	71280	they being the military. So DOD, Department of Defense, decided that I
71280	77000	should learn to control them. To see it comparatively speaking they were better
77000	83360	for Intel than remote viewing. So they found the guy who is best at it and that
84320	89040	at the Monroe Institute. So they made a deal with him. I would work with him in
89040	95160	the lab on long weekends and he would teach me to control my autobodies. So
95160	100000	that comparison could be could be made. You can do very specific things with
100000	105120	autobodies that you can't do with remote viewing. For almost 12 months anyway, 14
105120	110540	months I think, I would go on Thursday night to the Monroe Institute and on
110540	113920	On Friday, Saturday, Sunday, I would work with him in the lab all day.
115160	123380	Now, in the middle of that, DOD sends some people to the lab.
124400	126440	At least, that's the word I got.
126820	131660	I'm in the black box, sleeping, to recover from working all day.
131980	133280	So I'm taking a nap.
133380	136520	He woke me up, and he said, I have some people here from DOD.
136940	138200	They've given me a target.
138360	139120	It's in an envelope.
139260	140240	It's in my shirt pocket.
140540	143800	and I have a list of GPS coordinates.
144660	148920	My first assumption is GPS, it's normal target.
150340	155260	Mars Exploration, May 22, 1984.
156160	160740	Method of site acquisition, sealed envelope coupled with geographic coordinates.
161140	167160	And one of his tests that he brought was a target that I didn't know anything about.
167160	175620	out. Normally I did mundane targets like quasi-military targets. Well this particular week he brought
175620	179000	a Mars target. I didn't know it was a Mars target.
179200	183300	The sealed envelope was given to the subject immediately prior to the interview. The envelope
183300	188960	was not opened until after the interview. The envelope was a 3x5 card with the following
188960	189640	information.
191160	196640	The planet Mars. Time of interest approximately 1 million years BC.
197320	202920	So he gives me the first target and it was a pyramid, really huge pyramid.
203140	210580	In comparison to the big pyramid in Egypt, you could put three of them inside this puppy in it.
210720	217920	And it's got big rooms in it, which construction-wise, they must know something we don't know
217920	221300	because a pyramidal shape is very difficult to build inside.
222560	223160	Monitor.
223900	228900	All right now, using the information in the envelope I've provided, exclusively focusing
228900	235920	your attention now, focus on 40.89 degrees north, 9.55 degrees west.
236240	244300	And the first set of coordinates was 44.89 degrees, 9.55 degrees west.
245200	245920	Subject.
246080	248480	I want to say it looks like a...
249160	250040	I don't know.
250040	253200	Oh, it sort of looks...
253800	258780	I kind of got an oblique view of a pyramid form.
259980	260940	It's very high.
261340	264580	It's kind of sitting in a large depressed area.
265120	265640	Monitor.
265960	266660	All right.
267660	268180	Subject.
268840	271020	It's yellowish, ochre colored.
271540	272060	Monitor.
272720	277040	Move in time to the time indicated in the envelope I've provided you and describe what's happening.
278100	278620	Subject.
280040	284360	I'm tracking severe, severe clouds, more like dust storm.
284900	286800	It's a geological problem.
287360	288820	Seems to be like a...
289360	289860	Just a minute.
290280	291580	I've got to iron this out.
291900	292920	It's really weird.
293340	297080	I get clouds, a severe storm, major geological trauma.
297660	298180	Monitor.
298440	300780	Just report your raw perceptions at this time.
300860	302040	You're still early in the session.
302960	303480	Subject.
304280	310360	I'm looking at an after effect of a major geologic problem.
311640	314160	I was asked to visit the site before the trauma.
314360	316380	They said go back before the trauma.
316720	317120	Monitor.
317480	320120	Okay, go back to the time before the geologic problem.
320720	321300	Subject.
322520	323680	Total difference.
324580	328400	It's before there's no, I don't know, oh hell.
329100	333400	It's like mountains of dirt appear and then disappear when you go before.
334880	340240	See large flat surfaces, very smooth angles, walls.
340880	344620	They're really large though. I mean, they're megalithic.
345080	350860	I said all the dirt had disappeared. There were now smooth walls. Everything was flat, megalithic.
351060	355880	I said something about, gee, is this a new pyramid?
355880	357420	Did they discover a new pyramid?
357560	358660	Because it's really large.
359500	362820	And at some point, I said, this is,
362860	364760	I think it was right after the big pyramid,
364940	367400	I said, is this a new discovery?
368000	372020	This must be a new discovery, because it was so big.
372140	373920	And you know, how did they find this?
373960	374600	It's so huge.
376020	376460	Monitor.
377400	379780	All right, at this period in time now
379780	381740	before the geologic activity, look around,
382280	383640	in and around this area,
383640	385260	and see if you can find any activity.
386920	387440	Subject.
388040	389200	I'm seeing a...
389860	392020	It's like a perception of a shadow of people.
392200	393620	Very tall. Thin.
394400	395580	It's only a shadow.
396520	397960	It's as if they were there
397960	399160	and they're not.
399760	400860	Not there anymore.
401980	402500	Monitor.
402620	404800	Go back to a period of time when they were there.
405200	407900	Shadow of people, fragments, memory of people.
409020	411380	They said go back to when they were there.
412940	413460	Subject.
413640	418360	Um, it's like I get a lot of static online and everything.
418460	419640	It's breaking up all the time.
419700	421460	Very fragmentary pieces.
422540	423020	Monitor.
423260	424600	Just report the raw data.
424960	426340	Don't try to put things together.
426460	428280	Just report the raw data.
429380	429860	Subject.
430040	431920	I just keep seeing very large people.
432760	436640	They appear thin and tall, but they're very large,
437560	439540	wearing some kind of strange clothes.
440200	442460	And I said, they're human people.
443640	447020	They're like us, identical to us, only they're much bigger.
447760	448500	How big?
448640	451180	Ten feet tall, twelve feet tall, that kind of thing.
451620	455940	And I drew a person next to a bigger person.
