start	end	text
15420	20960	It's not for any of us to understand the world and how the world works.
22580	23840	It just is.
34180	38680	It's October of 1962, the heart of the Cold War.
41720	46520	Images from an American U-2 revealed that the Soviet Union had secretly begun building
46520	51100	missile bases in Cuba, just 90 miles off the coast of Florida.
52640	58420	Strategic Air Command was placed in DEFCON 2, the only time that's ever happened in
59520	65700	States. Khrushchev and Kennedy both had top military strategists pushing them to draw
65700	66560	first blood.
67680	73600	We are asking tonight that an emergency meeting of the Security Council be convoked without
73600	73980	delay.
74820	80860	Curtis LeMay, head of the Strategic Air Command of the Air Force, wanted to deal a death blow
80860	86680	to the Soviets. Amidst this tense backdrop, Secretary of Defense Robert McNamara called
86680	89920	called one of his top aides, a 27-year-old whiz kid
89920	92840	named Harold Malmgren, into the Situation Room.
94480	96880	Don't tell them what you think should happen.
97340	98880	Ask them a lot of questions.
99260	103900	Your job is to slow them down, reduce the heat in the room,
104040	106420	and give us time to work something out.
107720	109660	Miraculously, the Hail Mary worked.
109940	112660	Harold, the youngest man in the Situation Room,
112660	117840	ran circles around one of the most aggressive four-star generals in American history.
118180	121540	And if I remember correctly, you kind of rhetorically back them into a corner
121540	124300	where you say, what would be your prime target first?
124660	128820	Yeah, I said, it's madness. If you hit Moscow, there's no one to talk to.
129240	132160	And then that's at that point, right, LeMay storms out.
132260	135980	Yeah, he literally got up and slammed his papers down.
137460	140820	I'm not going, I refuse to run with this.
142660	146980	become a top presidential advisor for JFK, LBJ, Nixon, and Ford.
147180	150620	And the fact that he neutralized LeMay and saved the world
150620	153900	is the least interesting thing I'll be discussing with him.
154080	158840	You've been dropping bombs on the internet, saying some amazing things.
160840	165540	JFK, well, he knew all about UFOs long before he became president.
169620	174420	Harold had been tweeting things that if taken at all seriously alongside his credentials
174420	177720	and background would wholesale overturn your worldview.
178040	179300	No, he said handle it.
179380	181920	These are things that have come down.
182140	184240	So you're looking at like material, anomalous material.
184560	184700	Yeah.
184780	185360	Debris.
185420	185720	Yeah.
188280	192480	This interview changed my life forever and will hopefully do the same for you.
192480	198660	In it, Harold admits to directly handling UFO material that fell out of the plume of
198660	200340	a Marshall Islands nuclear test.
200580	202080	This is world history.
202260	207560	It's the first time anybody of this caliber has ever admitted to handling UFO material
207560	208220	directly.
208560	209520	What did it feel like?
209780	215960	It felt weird because it didn't feel anything we know.
216920	223540	He discusses getting briefed on other world technologies by Deputy Director of Plans for
223540	227820	the CIA and Chief Architect of Area 51, Richard Bissell.
228260	233440	Malmgrim tells me that Bissell confirmed to him the existence of the Magenta UFO crash
233440	239560	of 1933 in Italy, recently reported on by UFO whistleblower David Grush.
239740	240200	He did?
241040	241060	Yes.
241140	244060	Richard Bissell mentioned the 1933 Magenta crash?
244180	244380	Yes.
245960	253580	If that's not enough, Malmgren also implies that he was being tracked by the Majestic 12 from a young age.
253780	258580	Your name went in all the important books of talent.
261360	266380	Not only CIA, but all the Majestic, all these guardians.
267520	270800	They all took it on themselves to protect the world.
271860	276400	The Majestic 12 is an elite group of military, science, and government advisors
276400	282040	governing the UFO issue that were described in document leaks in the 80s and 90s.
282060	286580	But this is the first time anybody of this caliber has ever mentioned that name.
286880	293180	You have uncovered collaboration between Nikola Tesla and Thomas Townsend Brown.
293440	294800	What source did you get it from?
295100	296260	Townsend Townsend.
296600	300560	We get into the Chinese science fiction novel, The Three-Body Problem,
300800	305080	which Harold believes may be the best model we have for the UFO story.
305420	306920	It's not just the atomic connection.
307100	311340	They're generically attracted to the tip of the spear as far as tech development.
311620	313200	That's at the heart of it.
313280	313420	Yeah.
313560	315540	Harold's daughter Pippa would know that.
315620	320440	She was special assistant to President Bush and on his National Economic Council.
320740	323620	It's now public knowledge through Hal Puthoff
323620	326900	that George W. Bush contemplated UFO disclosure
326900	330280	with his national security advisor Stephen Hadley.
330800	337400	As Pippa relayed to me, a lot of these high-level disclosure discussions revolved around one particular book,
337620	341180	a Chinese science fiction novel called The Three-Body Problem,
341460	347480	which became mandatory reading among many high-level national security advisors in the United States.
347780	356620	And to fast forward, spending time with my own father and discovering that he's been involved with this from the earliest days.
357620	363280	Finally, we discuss secret science going on at sensitive Department of Energy sites across the country.
363540	373060	Alan Dulles, the director of the CIA, the Italian mob, secret societies, the JFK assassination, and how all of these might relate to UFOs.
373460	380880	The relationship needs to be uncovered between Angleton's father, Angleton, and the Knights of Malta.
381460	387000	Wow. Do you think that UFOs played any sort of part in JFK's death?
387400	393720	Do I think so? Yes. I think it was probably the number one issue.
396780	401720	In many ways, Malmgren was sort of a Forrest Gump of global elite politics.
402320	408620	He was called, looked for me, found me in a crowd, brought me over, and he introduced me to Putin.
408620	414780	Now, I knew enough to realize that that was not an accidental meeting.
415360	423440	It became clear to me in the midst of this interview that Harold was part of a much deeper intelligence network that we barely scratched the surface on.
423620	429580	You are now part of a network of people. It will be known that you've been blessed.
429980	438200	If I had a choice, I would have spent weeks with Harold going deep on his vast knowledge of UFOs, deep politics, and global power structures.
441120	445500	Unfortunately, a day after our interview, we had to rush him to the hospital.
445720	451000	That hospital visit ended up lasting a few weeks, culminating in his tragic passing.
455400	460880	But when I was back in Austin, Harold insisted on speaking to me on the phone to follow up.
462220	468000	His vitals on the cusp of failure, just three days before his death, he revealed even more
468620	471240	things that will make you further question your reality.
471960	475600	If you ask me, did I have a purpose?
476780	477460	Yes.
478980	485060	In this final courageous interview, Harold Malmgren transcends his earthly oaths and
485060	490200	adheres to a higher godly principle in one final act of service to humanity.
490540	496120	One that may end up being just as consequential as saving the earth from nuclear catastrophe.
496120	501560	Without further ado, please welcome this week's American Alchemist. May he rest in peace.
501960	507480	Presidential Advisor and International Peacekeeper, the Honorable Harold Malmgren.
511540	512140	Hello.
512520	513600	Harold, it's Jesse.
514040	515760	Oh, hi Jesse. How are you?
515940	519660	Good, man. How are you is the more important question. You scared me last week.
519660	533920	I'm having to explain step by step who I am, how I happen to be here, and each person says, oh, I didn't know that.
539020	543560	Well, I'm flanked by greatness and just honored to be here.
543560	549640	I'm here with Dr. Harold Malmgrum, who was a presidential advisor to four different presidents,
550680	556100	JFK, LBJ, Nixon, and Ford, among various other amazing accolades.
556140	560900	You helped stop a couple of global crises, if we're going to get into that.
561640	567080	But I think for the purposes of this conversation, you've been dropping bombs on the internet
567080	573200	and really saying some amazing things that deal with the nature of reality,
573520	578780	non-human intelligence, UFOs, or as they're commonly referred to now, UAPs,
578800	581780	and informal briefs that you've gotten on the subject.
582000	586100	And so I couldn't be more excited to be speaking with you now about all this.
586180	590140	And we also have Dr. Pippa Malmgren, who is equally amazing.
590180	595620	And she was a special assistant to George W. Bush on his National Economic Council.
597080	601340	books. I recommend you all check them out. And she's going to be joining us for this
601340	604280	conversation as well. So I'm honored to be here with both of you guys.
604640	606280	Thank you so much for having us.
606360	606840	Absolutely.
607200	615140	Well, I'm honored because I've watched your work with several people. And you've done
615140	622360	an amazing job. The most fun stuff in my mind is your interview with Matthew Pines.
622360	632380	Well, that means so much. Matthew Pines makes it easy. He's one of the smartest people I've met and has a really interdisciplinary understanding. He can go from physics.
632780	639840	I'm not a practicing physicist. It's not my job. But I'm trying to like familiarize myself with Garrett Lisi's stuff, with Sabina's stuff, Wolfram and Jonathan Garrard.
640000	643640	But he can also understand the minutia of Washington and how it works.
643760	644920	Yeah, that's why I like him.
645100	645440	Yeah.
646240	646940	He's unusual.
646940	648720	He is very unusual.
649960	656020	So you ended up known as one of Robert McNamara's whiz kids, quote unquote.
656260	656400	Yep.
656600	660660	And just this kind of child prodigy, but you grew up on the other side of the tracks.
660880	664500	And so I'd love to hear just a little bit about your childhood.
665040	670800	Well, I was born in the middle of the Great Depression.
672040	676400	And my mother and father were immigrants from Sweden.
676880	681840	We lived right by Narragansett Bay, just off the Atlantic.
682260	689400	When I was just turning seven, my mother said, well, this is the day you have to start working.
690640	695480	So when you come home from school, I want you to go down to the water and bring home
695480	695780	dinner.
696680	700480	because we were on rationing at that time, meat rationing.
700920	705640	So I learned to use a boat, learn to fish,
705740	709100	learn to get crab traps.
709560	714560	I even had lobster traps, dig up shellfish.
714960	716900	So every day I brought home something.
717760	718900	It became second nation.
719560	723680	Sometimes I had to stop and pick up a big piece of ice
723680	725440	because we didn't have refrigerators.
725780	726500	Bloody heavy.
726880	728640	I was still little.
729440	733340	Anyway, when I was 13 going on 14,
733560	735700	just before my 14th birthday,
736940	742100	my father had found work as a restoration specialist.
743420	748660	We restored old mansions in Newport,
749660	752900	around Boston, particularly near Cambridge.
753680	755800	We were working on this big house.
756560	758160	He said, can you help me?
759180	760260	It's the summer.
760860	771220	And so I was working with steel wool and some kind of solution to clear walnut panels.
772040	778520	And this big gentleman came in the room and said, hello young man, what are you doing?
780520	782260	I'm helping my dad.
783000	784760	He said, sit down and talk to me.
786240	788140	And that was a little bit unusual.
788400	790020	Why does he want to talk to me?
790960	792140	Anyway, we talked.
793400	794960	You know, what are you doing at school?
795300	796260	What are you learning about?
796660	800700	Two hours later, my father said,
801220	804380	I want to take this boy out of your school.
805160	809220	I want him to come in September and matriculate at MIT.
812020	816180	And we'll give him a full scholarship, all four years.
817200	819200	I'm not sure he needs the full four years.
819300	820920	We'll give him all the years he needs.
821700	823040	We'll give him an internship.
823900	825460	You don't have to worry about summers.
827480	832580	And if all goes well, we'll take him all the way to graduate school.
834380	835200	I said, well, wait a minute.
835320	836660	I'm not ready to leave home.
838520	841980	And he said, listen to me.
842020	844000	I'm really offering a whole new life.
844500	847060	I said, yeah, but I like my life.
848420	849840	But how come?
850020	851900	He said he was president of MIT.
853200	861120	And I didn't know then the whole history of the large role he played in the Second World War.
861120	865580	I think he was in charge of the World Production Board at some point.
865920	873180	So this was Carl Compton, who was the sitting president of MIT, which allowed him, he had the power to offer you a full ride.
873400	873960	He had the power to do that.
874100	874320	Yeah.
874560	878020	So we ended up friendly.
880140	886160	But he said, you've talked about things at the very frontier of physics.
888340	890140	At 13 or 14.
891120	893000	He said, you stunned me because you brought up,
893020	893920	what is a photon?
894280	895740	Why don't we understand it?
895860	897780	Why haven't we had a picture of it?
897900	900300	We have a picture of everything else, no photon.
901660	904520	I said, I thought about it, and thought about it.
905240	907900	I didn't know Einstein's dilemma.
909560	914080	So I said, it's something that operates in interaction
914660	917360	with something else, probably another photon,
917360	923360	on and probably it's in pulses and probably there doesn't matter how far apart.
924440	926100	It's just that interaction.
926380	932040	But you can't get a picture of it because those pulses are so too fast and inside there's
932040	933080	two different things.
933620	935060	Probably it's more than two.
935160	935920	Probably it's many.
937320	943060	And that's the problem that you're trying to get at something specific when it's not
943060	943600	specific.
944460	946780	And he said, no, it's not that.
947880	955480	So you don't understand, you have an inventive mind, you see beyond what the biggest minds...
956000	958720	I said yes, but I'm not ready to go home. I leave home.
966400	971320	Malmgren displayed knowledge of physics concepts with Compton that he wasn't supposed to.
971560	974640	Not only because he was too young to know these concepts,
974640	978120	but because they hadn't even been proven experimentally yet.
980040	983160	Entangled photons are considered a single system
983160	985860	in quantum mechanics, meaning that even when separated
985860	989420	by large distances, they instantly affect each other's
989420	992020	states, essentially acting as a single unit.
992720	994520	They also conserve quantum properties
994520	995840	with respect to one another.
996060	997780	This is now commonplace knowledge,
998020	1001720	but Malmgren was saying this at the age of 14 in 1950,
1001720	1008220	And while entanglement as a concept was predicted by Einstein and his colleagues in 1935, the
1008220	1014100	treatment of entangled photons as a system was only made explicit in the 60s and 70s
1014100	1018540	with Bell's inequality theorem and with the measurements of physicist John Clouser.
1019340	1024660	So how did young Malmgren understand this concept at 14 as a poor painter's son?
1027760	1037160	There's a bit of a backstory, and part of my job in the interview is just to pull out some of this background that led to my father's extraordinary career.
1037440	1048960	But the key was, before you met Carl Compton, you'd written to the Atomic Energy Agency asking for background on nuclear physics.
1049260	1053520	So you'd, at that age, already read an immense amount.
1054660	1055500	some of that correspondence.
1055660	1056020	Yeah.
1056060	1057200	Do we have the...
1057780	1058660	This is amazing.
1059900	1062160	This here, the control of atomic energy.
1062260	1063680	So this is what they sent back to you.
1063680	1067860	Yeah, not only that, but genetic effects of atomic bombs
1067860	1069520	in Hiroshima and Nagasaki.
1070140	1071600	See, that's really interesting.
1071820	1074180	They were really interested in the genetic stuff.
1074460	1077060	And you have Detlev Bronk is written about here.
1077300	1079180	You know, Detlev Bronk was the president
1079180	1080340	of the Rockefeller Foundation,
1080660	1082540	but he was also president of Johns Hopkins.
1082540	1089440	who's rumored to be on this quote-unquote majestic 12 and do autopsies on non-human
1089440	1094480	intelligence bodies and so and then you had all these studies going on at the time like the
1095500	1102640	Cambridge labs where you had a Polaroid founder and a bunch of these guys studying human genetics
1102640	1108780	with respect to radiation and Annie Jacobson has uncovered a lot about Area 51 where they were
1108780	1113120	doing a lot of human genetic experimentation vis-a-vis radiation as well.
1113720	1116620	Again, some of these photographs are quite extraordinary.
1117040	1121080	When I came across them in Dad's old files, I'm like, what the heck are these?
1121880	1128240	They're from the Atomic Energy Commission and they're photographs of Hiroshima and Nagasaki.
1128640	1131160	These are Geiger counters, is that right?
1131260	1132240	You were telling me last night.
1132380	1135020	This is Hiroshima, credit US Air Force.
1135020	1138180	Wow. This is amazing.
1138580	1143060	So that's why he knew a lot at that age.
1143300	1147940	And Carl Compton starts to register the president of MIT that he's got this kid
1147940	1150500	who's basically holding the paint bucket for his dad.
1150660	1153400	And he knows a lot about photons.
1154180	1157280	And so I think that's where this began.
1157460	1159940	He was identified at a very early age.
1160120	1160380	Yes.
1160380	1164700	as someone with a very particular proclivity.
1164840	1169660	And then fast forward, because I looked at my dad's career.
1170760	1175180	I look back and I'm like, how the heck did you end up at age 27
1175180	1180360	being the joint liaison between the Joint Chiefs
1180360	1183680	and the President of the United States National Security Council
1183680	1188580	under Bob McNamara and JFK, just as the Cuban Missile Crisis was beginning?
1190380	1198160	And Dad has an amazing story to tell about what it was like to be in that room as the decisions were being made.
1198480	1204160	And he played a really critical part in preventing a nuclear catastrophe.
1204420	1205060	That's so amazing.
1205280	1206960	Which is a story I think you should tell.
1206980	1208220	Yeah, I can't wait to hear it.
1208400	1211800	But clearly you had been tracked at a young age.
1211880	1217980	I mean, this is a letter that you're receiving from Oak Ridge National Labs, and it's atomic bomb engineering.
1217980	1228320	So it's clear that they are like, OK, here's this whiz kid. Let's give him a limited information set, see what he can do with it and maybe have some sort of initiation path.
1228480	1235640	How you almost, you know, serendipitously and miraculously wind up at Carl Compton's house holding a paint bucket.
1235820	1237960	I don't quite know. I can't explain that.
1241300	1243560	Who is this Carl Compton?
1243560	1248060	Well, he served as the president of MIT from 1930 to 1948.
1249100	1254700	During that time, he also served on Franklin Delano Roosevelt's National Defense Research Council
1254700	1259260	and worked closely with Vannevar Bush on federally funded scientific research
1259260	1262120	for the promotion of American military supremacy.
1262560	1268920	At MIT, Compton was heavily involved in the famous RAD Lab and its development of American radar.
1269180	1271660	His top technical aide was John Trump.
1273560	1275780	it's because John Trump is the late uncle
1275780	1278540	of our current sitting president, Donald Trump.
1278720	1281280	And John Trump was charged with investigating
1281280	1284260	Tesla's files that were confiscated by the FBI
1284900	1287780	to see if they'd confer any tactical warfare advantages
1287780	1289100	to the United States.
1289400	1292020	One of Trump's last interviews was also featured
1292020	1294660	in a documentary on Thomas Townsend Brown's
1294660	1295620	Philadelphia experiment.
1295980	1298060	When I was particularly looking for something
1298060	1302460	which would just be evidence of a secret weapon
1303560	1306940	which was a matter of concern to the United States.
1307280	1308660	But I digress.
1308920	1311500	For the purposes of this conversation with Harold,
1311780	1314860	Carl Compton pops up in UFO history twice.
1315260	1317280	First, you have Robert Sarbacher,
1317360	1319980	former head of Washington National Labs,
1320160	1323080	also one of America's premier nuclear scientists.
1323500	1327080	Sarbacher is famously on record saying that UFO secrecy
1327080	1330580	is classified at two levels higher than the hydrogen bomb.
1330580	1344360	But Saarbacher also told nuclear engineer and UFO researcher Stanton Friedman that none other than MIT president Carl Compton was briefed on UFO technology at Wright Airfield in 1950.
1345580	1348980	But there are more UFO touchpoints for Compton.
1348980	1354600	Another researcher in California named William Steinman had been corresponding with Fred Darwin,
1354900	1362620	the former executive director of the Guided Missile Committee for the DoD's R&D Board from 1949 to 1954.
1363360	1370180	Darwin listed these names as involved in a special committee on flying saucers at the highest level.
1370420	1378680	Dr. Vannevar Bush, Dr. Lloyd Berkner, Dr. Robert F. Reinhart, Dr. Eric A. Walker, Dr. John von Neumann,
1378980	1381700	and one Dr. Carl T. Compton.
1384780	1387460	Finally, when government transparency researcher
1387460	1390340	John Greenwald used the Freedom of Information Act
1390340	1392060	to retrieve Compton's records,
1392320	1395320	he received a reply back in April of 2014.
1395980	1398620	Quote unquote, records which may have been responsive
1398620	1403020	to your request were destroyed August 30th, 2006.
1403020	1411180	2006. Why would the FBI destroy a file on an innocent university professor? And why would
1411180	1415440	they have a file on him in the first place? Those are good questions. And how did little
1415440	1420980	Harold Malmgren somehow end up holding a paint bucket at Carl Compton's house a couple of years
1420980	1425960	after Harold had written to the Atomic Energy Commission wanting to learn more about the
1425960	1429220	American nuclear program? That might be an even better question.
1431220	1437840	Well, and he had gone on to work with Tom Schelling, who was father of game theory.
1438000	1438320	Yes.
1438380	1450820	His application to conflict resolution across many different things, but nuclear, and working with many Nobel Prize winners, including Sir John Hicks at Oxford.
1450820	1458460	And so I think when Kennedy came in, he knew some of the Nobel Prize winners, and he asked
1458460	1459760	them, who's your brightest kid?
1460060	1463020	And dad's name just kept showing up on the list.
1464360	1465440	It's fascinating.
