start	end	text
800	4800	Four airports in Denmark last night when drones appeared in their airspace.
4960	5960	Flights were grounded.
6260	13560	It's extraordinary to see how many headlines these incidents have actually generated.
13960	21020	I'm going to Copenhagen airport and there being special forces and police present at the scene.
21260	25840	You'd assume it's Russians doing that stuff and so the assumption is made all these other
25840	29560	European countries that have drones flying over must be Russians and yet
29560	34020	you know we see what the Russians are stretched pretty thin. They're using
34020	39980	drones in Ukraine and they can't seem to buy them and make them fast enough
39980	43100	they're getting them from all over the world and those drones don't seem to be
43100	47480	doing what these drones are doing. They did whip out the most advanced anti-drone
47480	50160	technology we have and it had no effect, correct?
50160	50300	Correct?
51100	53780	Yeah, yeah, that's very, very accurate.
53940	60920	We got word from reliable sources that there was footage of a pyramid-shaped object lifting
60920	65680	up out of the bay and hovering and loitering over this critical infrastructure.
67600	69960	This is Weaponized.
76300	78480	This is Weaponized.
80160	85480	in temperate and beautiful Las Vegas, Nevada. I'm telling you, October is the nicest time of the
85480	90340	year to be here. I am joined by my friend and colleague, Jeremy Korbel, who is keeping a low
90340	95460	profile somewhere on the West Coast. Jeremy, how's it going? Pretty good, man. Yeah, just hiding out,
95500	102120	trying not to talk too much. I'm trying to listen more. I see that you listen to my suggested dress
102120	108260	code, right? Yeah, yeah. Suit and tie. That's right. As always. We got a lot to cover today.
110160	114940	with our friend Christopher Sharp, talk about Drona Palooza. But first, I want to revisit
114940	120380	something that we touched on last week at a great interview with your friend Daniel about something
120380	125360	that was seen, gigantic triangle hovering right over a runway at Eglin Air Force Base. You have
125360	131100	an update on that. Yeah, just, you know, look, Daniel was a great witness. He went through the
131100	137720	entire process of vetting with Congress, and he has a very small experience in that he just
137720	143200	saw something, but it gave me a lot of hope because if what he saw is something we were
143200	149600	operating, then maybe we do have some control over this really extraordinary technology.
149760	154220	I don't know what to make of it, but I thought bringing him out on weaponized was important
154220	158040	because he didn't testify to Congress and it wasn't like he was waiting to come out
158040	158680	on weaponized.
158760	162440	He literally couldn't do it the weekend Congress had him.
162460	163540	He was willing to do it.
163560	164560	He couldn't do it.
164560	171940	I don't know, give away too much, but it was a very positive thing in his life that he was doing on that time period.
172080	173640	So I just thought, let's bring him out.
173700	175800	Now, what's happened since then?
175860	184940	Since then is that people have come and said, we also saw this extraordinary technology, Camp Rudder, Eglin Air Force Base.
185100	188180	They're not willing to go on record at this time.
188280	189880	And, you know, I'm trying.
190840	192500	I'm trying to get them to come forward.
192500	203540	So it was just kind of neat to hear a little bit more about people that have seen this extraordinary triangular shaped technology that doesn't seem to lift with air displacement or jets or anything like that.
203760	213500	Now, I don't know. I don't have anything else to report on that other than I think I've been able to with Daniel to identify exactly where he was when he saw this.
213600	220200	And that was kind of cool. So I created an image. I don't know for sure. I want to you know, there's still a lot I got to do to make sure.
220200	226900	but this is at Eglin Air Force Base, Camp Rudder. There's a troop medical clinic, number eight. So
226900	232460	they call it the TMC. And I went back in the historic records and found in 2006 that there
232460	238020	was this one medical building and it hasn't changed in 20 years, interestingly enough.
238120	244020	So this has to be the building that he was being treated at. And then he had said there looked like
244020	249480	there was an open field and treetops. There's only one place without a lot of buildings in sight.
250200	251320	where you'd have this view.
251580	252500	And I showed it to him.
252500	254200	He's like, damn, that's got to be it.
254940	256180	So preliminary results.
256840	258480	And it was because you asked me, George.
258560	261280	You wanted to see this, you know, what was he looking at?
261400	262160	So it was really cool.
262220	264180	When you go into Google Maps, you can kind of go back in time.
264560	266000	And it really hasn't changed.
266140	267560	But I think we found where he saw it.
267600	270480	Now, again, the size of the craft, he's doing a guesstimate.
270600	273240	I really pushed him for a guesstimate of the size of the craft.
273440	275320	The distance from him, it's a guesstimate.
275460	277100	This was 19 years ago.
277460	280060	But the angle of vision, I think we nailed it.
280200	286380	So it's the TMZ Medical Clinic 8, Camp Rudder, and it's going right out to where this field and the tree tops.
287900	295760	So let me put this image up and you can kind of see his angle of vision and what he was looking at in this huge black silent triangle.
296320	298640	And again, you're not carving this in stone.
298780	301100	This is based on the best available information.
301400	307100	This is where you think it is based on what he told you and maps of what the base looked like a long time ago.
307100	310080	So, yeah, we're getting medical records from 19 years ago.
310180	312880	It's like, you know, to make sure this is the spot.
312940	319120	But it is the only spot that was treating Army Rangers for things like parachute jumps where they like hurt themselves.
319380	321840	I mean, this was the spot. It's been the spot for 20 years.
321980	327160	I'm pretty confident. But, yeah, I always have the option of reforming my opinion.
327180	335280	If I find later, it's pretty awesome if those other two witnesses are willing to speak to us, even if it's we have to block out their their identity.
337100	340700	know i'm pushing for it a lot of people don't want to come forward because they feel like well
340700	345440	if this is some secret tech you know we want to keep a secret national security i totally
345440	350760	understand that but nobody signed ndas or anything like that so i think we'll get them i think we'll
350760	356980	get them um segue here to something else of course today uh we kind of have a return of
356980	364240	dronical usa yeah recall from last year um drones everywhere uh over key installations they shut
364240	368880	shut down Langley Air Force Base. They shut down Wright-Patterson Air Force Base. They were seen
368880	373860	for several weeks by hundreds of thousands of people over New Jersey, over a nuclear plant,
373980	379760	over sensitive military installations. They were out here in the Southwest over Plant 42.
380120	384420	And the same thing happened in almost all these cases. They'd come in out of nowhere,
