start	end	text
1940	5880	Colonel Tucker, do you believe really that flying saucers do exist or don't?
6120	10740	Well, that's a matter of civantics. Dave, what do you mean by a flying saucer?
10840	11980	Do you mean a spaceship?
13620	16780	No, I mean that unidentified flying object does exist.
16860	16980	Really?
17220	24260	I believe unidentified flying objects occur and that many solid persons see them.
24560	25760	What do you think they are?
26440	31020	Well, in most instances we've been able to explain all of them as either conventional
31020	36100	objects under extenuating circumstances or some form of aerial phenomena.
36520	39140	Well, phenomena isn't an object, is it?
39220	40000	No, it's not.
40280	41000	Objects, he said.
41240	41740	All right.
41780	42600	You better rule out phenomena.
42860	45280	What about unidentified objects?
45280	47360	However, it's originally reported as an object.
47960	50880	Well, if it isn't, it's a matter of semantics, he said.
51040	51320	That's right.
51740	54620	What was the other classification now that you just mentioned?
54720	55740	Either phenomena or objects?
55760	59840	or conventional objects seen under extenuating circumstances,
60140	61160	an aircraft, for instance.
61360	61800	I see.
62440	64280	An unusual light condition.
64800	65280	Right.
65360	67000	Or in a fog or something like that.
67600	70420	That opinion was given by Lieutenant Colonel Lawrence Tacker,
70560	74240	U.S. Air Force spokesman on the question of unidentified flying objects
74240	76300	and author of his just-published book,
76400	78180	Flying Causes of the U.S. Air Force,
78720	80420	The Official Air Force Story.
82180	84340	Major Kehoe, I guess it's one and two.
85760	90240	Do you believe that flying saucers or UFOs, unidentified flying objects, exist, Major?
90700	92260	Yes, I do, Mr. Garroway.
92380	95760	We've evaluated evidence in our National Committee in Washington.
95780	96560	Excuse me, I'm sorry.
96680	98800	I've confused the semantic issue here.
98860	100140	I said both at the same time.
100380	102340	Do you believe that flying saucers exist?
102900	105760	Well, I don't like that nickname any more than the Air Force does.
105840	109100	I believe that flying objects under intelligence control exist,
109380	113100	and that's the belief shared by the majority of our committee in Washington.
113580	115520	Flying objects under intelligence control.
115760	116160	That's right.
146380	153000	I'd have to go back to the early days and admit that in the very beginning, when this
153000	162540	was a new subject in, say, 1947 and 1950, that the unknowns or the unidentified cases
162540	164320	ran as high as 20 percent.
165740	172220	By 1953, they were down to 9 percent, and now they run somewhere between 2 and 3 percent.
172660	173880	Two and three percent?
174000	174440	Yes, sir.
175760	176300	Do you agree with that?
176980	183160	No, I don't, because the Air Force has issued a statement, in fact, it's repeated in the Colonel's book here,
183980	189420	without any qualifications, that the Air Force has explained all but about 2% of the totals.
189600	193480	I have your letter signed by an official in the Air Force.
193600	202440	It says that up to the end of 1959, there were 565 cases unexplained, a total of 9.4%.
202440	205960	And incidentally, the official was Colonel Lawrence J. Tucker.
206820	208340	That's right. Well, that's what I just said.
208580	215400	I know, but you keep putting out this statement that the Air Force has explained all but so-and-so of the total reported,
215460	216420	and it doesn't qualify.
216680	220940	It gives people the impression that you have only a dribble left in those cases.
221900	223100	What about that, Colonel?
223980	228120	Well, I think I stated it correctly when you initially asked me, Dave.
228140	231720	I said in the early days that they probably ran higher.
232440	234360	The investigative techniques went as good.
234460	235760	It was a new subject.
236600	244420	This is where the science fiction type thing that Major Kehoe writes got started.
245060	247060	May I read a paragraph from the book here?
248040	251500	Many sightings by qualified or reliable witnesses have been reported.
251640	256800	However, each incident seems to have an unsatisfactory effect associated with it,
256820	258740	such as shortness of time under observation.
259900	264640	If you saw Marilyn Monroe walking by and you saw her for one second, would that be adequate?
265240	266820	I'd probably recognize her.
267140	267860	That's what I mean.
268600	273820	Inaccurate estimates of distance from the observer, how is that known that they were inaccurate?
276260	282100	Generally just by a simple mathematical computation at the Technical Intelligence Center.
282520	284540	How do they know what the distance is?
284740	287320	Well, just based upon the size of the object given.
288740	289640	They can determine.
290680	292100	But the object isn't given.
292700	294420	It generally is in the report.
295160	297780	The object and the sign, the approximate sign.
298560	301280	Well, if we don't know what the object is, we give the sign.
301540	302620	Well, they give the sign.
