start	end	text
0	6460	Gold, lava, plasma, some type of fluid going over and around the craft.
6880	10700	What is it that you saw and found out and can tell us about?
10980	13500	I only came forward because I sincerely believed they were gonna die.
14960	15480	Sucks.
16080	18960	I think what we are dealing with is very, very, very old.
19080	22340	I think old humans have written those down in religious stories.
22540	27120	I think that it's quite clear that we have been influenced by something else.
27120	31900	I provided three rudimentary drawings,
32860	34120	one of which was unclassified,
34740	37760	and the other two were immediately thrown into a sap.
38000	42480	And the two that were thrown into a sap prove we are not alone.
54120	56320	In this episode of Weaponized,
57120	62800	we chose to censor certain details within Dylan's testimony, most unrelated to UAP.
63860	69360	This is to avoid unauthorized disclosures and is subject to an ongoing clearance review.
70400	73960	Dylan was given only six days to prepare his testimony for Congress.
74820	80320	He is currently seeking clarity on being able to publicly discuss certain aspects of his
80320	81340	professional experience.
82120	86380	What is it that you saw and found out and can tell us about?
87120	89220	Well, we can go into it.
89220	90840	I don't know how much is going to come out.
90960	91260	Okay.
91380	93460	Let's hear it and then we'll figure it out later.
93600	108340	So basically, hypothetically speaking, let's say that I claim I saw Bigfoot running around Nevada test range and I saw Bigfoot outside the Starbucks and Bigfoot was wearing a U.S. Air Force uniform.
108340	116280	uniform if i said that to arrow or to the ig but mainly arrow and arrow comes back and says and i
116280	121860	draw a nice picture of bigfoot in a pretty air force uniform let's say arrow comes back and says
121860	127540	hey dylan uh you're talking about starbucks is unclassified you talking about bigfoot in that
127540	132400	uh military uniform that's ts no foreign you are never to say another word about that
132400	137080	that's what arrow did to me and they classified everything i brought forward so you're working
138680	139940	And for somebody else?
140100	140320	Yep.
140380	142260	For somebody else in the structure of...
142260	144980	Multi-agency special access program. Yes, sir.
145080	147600	And it's under the umbrella of a private company.
148040	154480	The private company is how they are getting us to work there, but it is all under the umbrella of that agency.
154620	161680	The information you had about these flying Tic Tacs that people are taking down, do you get that information through your work at BAE and that agency?
161680	167900	There were people who ended up working there with me who were brought into the legacy program whose lives were also destroyed.
168040	178440	And they believe based off of what I was saying about what I experienced in my life, the triangle, what I knew that to be true at that point, they believe I was read into the program.
178900	188060	And they believe that because I was having the clearance issues and the VA issues and everything else, the financial, what they did to me, they were experiencing it too.
188060	194500	And there were multiple people who I was working with that were a part of what is conveyed as a legacy program.
194700	207280	So you're working at BAE for an agency and on a coffee break or a smoke break, you convert with your coworkers and you tell them about something you've seen and they start sharing information with you.
207860	214800	Yes, but not even all that openly because people were still so freaked out about it.
214800	221300	and this gets into something else which is when I was there and this is why you know we talked to
221300	227980	Dave um and I explained this to Dave correct yep I one of the things that was very odd was
227980	233440	you know you're working 12 hours and it's middle of the night three in the morning after working
233440	239140	a 12-hour shift fourth day in the row you're just doing anything to stay awake I remember you're
239140	244580	talking about UFOs and you talk about everything from football to baseball to movies to music it's
244800	249280	you're trying to stay awake you're trying to get through the night or the day and we were talking
249280	256720	about ufos and bob lazar come up and you're just talking normal talk yeah and i remember i had
256720	261180	talked about what i knew to be true and i had gotten a pop-up message on my computer it said
261180	267560	you know you're not supposed to be talking about this to this day tech to this day aside from
267560	273320	having gone to the ig and what was conveyed to me by my attorney to this day technically i have
274800	280000	Dylan, here's what's happening. Do not do this. Here's why. It has been these subliminal potshots,
281300	286680	but there were multiple people that I was working with that were well aware of the reality of this
286680	292340	subject. And considering where I worked, the finances that went into there, and how much
292340	299460	money funneled through there, and how many programs we touched, that there were a number of people
299460	302600	that were well aware of the reality of this situation.
302880	307960	The UFO subject had been a part of quote-unquote legacy programs,
308180	310060	had gone to TDYs, had done it.
310280	313040	But most of the people that were aware that were,
314240	315860	most of them were younger.
316060	319340	Most of them had had their careers destroyed, their lives destroyed.
319620	322560	Most of them believed that me talking about what I was dealing with
322560	324440	with my clearance and all their problems,
324540	326760	I was dealing with the company and the agencies.
327820	332680	they thought it was safe to talk to me about their own experiences in the legacy program.
332880	334640	They assumed you knew more than you were saying.
334760	335360	Yeah, 100%.
335360	339300	So it's almost like, it sounds like they put all the bad eggs in one basket.
339420	342980	It's like, you know, all these guys knew too much and they're blabbing.
343020	344640	We'll put them all over here with you.
345000	345720	Pretty much.
346380	346780	That's.
347560	349700	And was there surveillance of the employees?
349820	353940	How did the information go to a higher up that would send you a message that says, shut the hell up?
353940	369140	I mean, you're on an ops floor and, you know, you have people from every agency you can think of in there and you're on computer systems that are closed access and there's government employees and contract employees from multiple different contract companies.
369140	377480	companies and knowing what I know now at in hindsight knowing the way that these legacy
377480	382320	programs work if you're not embedded in the company you're coming as a government representative it's
382320	387540	TDYs and knowing the government has TDY requirements depending on what agency you work for
387540	392520	some of these people probably found their way over the TDY and they had heard me talking about
392520	399800	things that they thought they were far more important than they really are and thought
399800	401400	that I shouldn't be talking about it.
401500	402980	You're just bullshitting with coworkers.
403220	404880	Pretty much just talking and they are with you.
405000	409520	Is there somebody in there that's counterintelligence that was sent in there to see who's blabbing?
409720	412660	I would, towards the later end, I would bet so.
412960	414420	Towards the later end, I would bet so.
414540	418620	At that point, you're not filing reports or calling New York Times or raising help.
418620	428500	No, I, to be honest with you, George, talking to the media was so ingrained into me and other people and the work we did that it was like persona non grata.
428600	432120	Like, if you went and talked to anybody outside, like, you're a dead man.
432320	433080	You wouldn't have done it.
433260	437220	No. I mean, even whenever I felt that I had to, I was shaking.
438140	441020	Even when I went to Senate, when I went to Congress, I was shaking.
441120	447320	Is this why your clearance was sort of put in limbo? It doesn't exist because you're saying things you shouldn't be talking about.
448620	451980	Early on, it was a mistake, and I talked with Dave Brush about this.
452140	453600	I think early on it was a mistake.
453940	463180	They were notified six, seven months into it, and then from then on, they outright just did not care.
463300	464200	They terrorized me.
464340	465500	I mean, I would go into work.
465720	469580	They were notified by multiple companies that they were not housing my clearance correctly.
469820	471520	Multiple companies tried to pick me up.
471560	474340	Multiple companies said they would give me a pay raise, a better job.
474440	475480	I couldn't take any of it.
476120	477500	They notified BAE.
478620	484080	complaints. And I got the runaround between the company, the two agencies that I work for.
485100	490320	But long story short, it is my opinion and hindsight and other people who are also
490320	496340	whistleblowers and other people have worked in these programs. That is a standard operating
496340	501840	procedure by these people to keep this quiet. Your career has been in classified programs.
501980	506060	Yeah. Your training has been in classified programs. They now tell you you don't have
506060	510180	have a clearance. You can't go to work anywhere else. You are frozen here, whether you like it or
510180	516260	not. Yep. 16 hours a day doing light shift, weekends, holidays for $62,000 a year. Yep.
516380	521520	But to be clear, you had a clearance. It's not like they said you don't have when you lost it.
521620	524980	They're keeping it in a purgatory, which is a technique we've heard over and over
524980	530980	of how to keep people somewhere and almost like try to squeeze them out through pressure. So
530980	535300	I just want to make that clear. It's not like he ever had anything, a mark on his record where
536060	541460	longer have a clearance. He was in good standing. It's a type of purgatory people create. So look,
541500	545760	we're kind of glossing over this idea. We're here to talk about the UAP reality. Boom,
545920	551080	you see something at Langley Air Force Base that you have testified to Arrow, to Congress,
