start	end	text
0	3900	We were on a call a couple days ago with this executive,
4100	6060	and we're just talking about the UFO thing,
6200	8060	and he wanted to kind of understand stuff, and he says,
8160	11620	well, look, how can we cover up these crashes?
11720	14820	If these crashes were real, we have to have teams to do that.
15020	18260	We do have teams, and we just saw one of them spring into action,
18320	19060	and it was like that.
19220	22860	Well, how quickly might the government respond to a crash of an unknown object?
23100	25780	What happened back on September 23rd on public land,
25920	27720	outside the boundary of Area 51,
27720	31120	is a textbook example of how crash retrievals work.
31320	36200	And to no one's surprise, pretty much everything told to the public since then is pure fiction.
36420	38040	And they're not planning on the go.
38140	41560	This was planned out to the tiniest detail.
41840	44500	I mean, they already had thought about the port-a-potties.
44560	47980	Then four days after the crash, the security teams vanished.
48340	50080	Arnoux went back out for a look.
50200	55340	The Air Force had used heavy equipment to plow a dirt road across a section of desert.
55520	56620	Arnoux followed it.
57720	63440	disturbing, knock it off, you know, by intelligence agencies who contact journalists like you and me,
63600	68060	you know, kind of telling us what we can or cannot report on, or at least hinting at that.
70620	72520	This is Weaponized.
79720	84320	This is Weaponized. I'm George Knapp, coming to you from Las Vegas, joined by my friend and
84320	89100	colleague, Jeremy Corbell. Where are you hanging, Jeremy? You at home? Yeah, I'm hanging in the world
89100	95160	of Halloween. Today's Halloween. People are seeing this. Super excited, man. You know, scary time of
95160	103100	the year. I love Halloween. And every year I buy gigantic piles of candy. And our house is so
103100	108680	separate. Well, you know, from there's a distance to the road and it's dark and kids think, don't
108680	113020	go near the old nap place. I think, you know, they don't know what what terrors might be waiting
114320	119800	have to go out to the road and track them down to give them candy. I've come to the conclusion,
119840	126180	I invested quite a bit this year, way more candy than will ever be handed out. And I've come to
126180	131840	the conclusion that milk duds are such a refined, it requires such a refined taste. I'm going to
131840	136780	have to keep those. I don't think the palates of young kids are sophisticated enough to truly
136780	140700	appreciate them. So there are going to be giant bowls of that left over, I think.
140700	144740	Are they scared to come to the haunted nap house on Halloween?
144900	146120	Do you have to go out to the street?
146440	149360	Well, I think it's more like they're being efficient.
149500	153320	It's too much time it takes to walk from the street to our door.
153540	155120	So I have to go out to them, really.
155240	156640	I mean, it's comical as hell.
157220	160860	But I always buy way too much and give away as much as I can.
160980	164040	When I've got an actual kid in a costume, I dump it on him.
164080	168460	So you would think I'd be overwhelmed with kids that were to get around, but that's not the case.
169180	174560	Have you ever done like a Las Vegas Halloween party and dressed up as something cool like Dracula?
174600	176880	Tell me your best costume you've ever had.
178220	179160	Incredible Hulk.
179960	186580	I was in a lot better shape back then, but I body paint and I was Incredible Hulk.
186660	191580	I also was the Jolly Green Giant, but that's way, way back in high school, I think.
192180	196580	Oh, I went as Lefty Rosenthal, Frank Lefty Rosenthal.
198480	200320	Nobody understood that one but you.
200420	205200	Yeah, at the time, because it was just a couple of weeks after his car had been blown up.
205220	208940	If you've seen the movie Casino, Robert De Niro's character is blown up in this car.
209260	213700	And Lefty Rosenthal invited me to his house the day after it happened.
213960	215620	And he's all bandaged up.
215720	217040	His arm is in a sling.
217060	218420	He's got burn marks on him.
218480	224580	And he wanted to use the media to deliver a message to the mob that he didn't rat him out.
224660	226880	He's not telling the FBI anything.
228960	233680	to become an informant. And he wanted us to convey the message that he hadn't done it.
233860	240460	What an actuality he did. But I had to go to a Halloween party two weeks later and I had no
240460	247700	costume. I thought, you know what? Lefty Rosenthal. So I had an old blue Kipo suit that I threw in
247700	252640	the fireplace and burned up, put a bandage on my head and went as lefty. I think I won second place
252640	254180	at a contest that year.
254860	256480	Oh, only in Vegas, man.
256600	259340	I just, you as the Hulk or the Jolly Green Giant,
259540	262440	I can't wait to see the images that people make of that.
262460	265140	But last Halloween, actually, we were together.
265820	266920	And where were we?
266920	267460	What did we do?
267500	267980	What did we see?
268020	269240	You were giving me a musical education.
269380	269700	It was cool.
269760	270400	We were with somebody.
270660	273340	We were at a little place called the Hollywood Bowl
274480	277140	to see a guy named David Gilmour.
277640	280880	David Gilmour, Halloween at the Hollywood Bowl,
282640	286680	a fellow friend of ours named Ben Schneider, the brain trust,
286860	289800	the singer songwriter from Lord Huron, right?
290340	292720	That's right. I feel like we're going to see him again.
292760	296000	Isn't he ending a tour in Los Angeles this weekend?
296840	300220	November 2nd, the last show I'd like to go.
300660	302960	Maybe we can get in. Maybe we can get in.
303680	307860	Hey, Ben, you've been on weaponized. We want to come see you. Well, look, man,
307900	308900	I was really curious.
308900	315020	I know that tonight you have a news report coming out on KLAS about a kind of mysterious
315800	317200	crash out at Area 51.
317200	319920	And you actually went, made the pilgrimage back.
320060	324900	I can only imagine what security thinks when George Knapp enters the valley towards Area
324900	325200	51.
325460	327620	But I just wanted to hear a little bit about that today.
327880	328840	What was this crash?
329080	331960	What did you report on that people can hear later tonight?
332400	334400	And what was it like going out to 51?
334940	336960	Well, I'll tell you what, you know, I love it out there.
337000	338240	You know, you've been out there.
338900	344660	together. And, you know, it's always a good day driving up to Rachel in 51. And this story,
344700	350040	of course, caught everyone's attention, got a lot of coverage. But the coverage was about that deep,
350120	356820	about an inch deep. The crash occurred September 23rd. Something fell out of the sky about 10
356820	362860	miles outside the boundary of Area 51 on public land. What really interested me is not so much
362860	368080	what the object was, and we'll get into that in a second. It was how they responded. This is an
368900	372660	of a crash retrieval operation and how quickly they've moved.
373220	375040	Yorg Arnu is our friend.
375100	380720	He has the website dreamlandresort.com, which covers all things Area 51.
381020	387580	He runs recordings 24-7 of all the radio traffic that comes from the base.
387660	390300	And then he gets up in the morning, has a cup of coffee and listens to it.
390420	393760	And on the morning of the 23rd, wow, something big had happened.
393760	403680	First thing indicated is that there was a huge secret aerial operation the night before that went on for a couple of hours.
404600	407780	There were dozens of different call signs and frequencies that were used.
407840	412120	So it was a lot of airplanes, most likely that were using drones.
412260	419460	And, you know, the new configurations are these drones accompany the F-47 or some other advanced planes.
419460	425020	and they're kind of companions and they fly around and this drone will go that way and that one will
425020	429820	go that way and take care of different threats. It's a force multiplier in essence. And it sounds
429820	435760	like that's what they were doing. And one of these drones got away and it crashed at an area not far
435760	444340	from the E.T. Highway, Highway 375. So he hears the traffic. He hears Area 51 personnel saying
444340	451100	saying, it's one of ours. It's our asset that crashed. And boom, they go into immediate action.
451200	457320	They locked down Area 51 within minutes. And then they sent teams out and locked down the entire
457320	463960	Tikaboo Valley. All the roads were cut off. When Arnoux and others have tried to go to the crash
463960	468600	site and fight it, they were met with armed military security, sheriff's deputies. There
468600	473760	was a helicopter sitting there. They had thought enough of how to plan for something just like this
474340	478540	brought porta potties out and set them there on groom lake road because it looked like it was
478540	485780	going to be a multi-day operation so they they graded a a road up to the actual crash site
486320	491860	picked up all this stuff took it away and didn't say crap about it didn't tell anybody what was
491860	499880	going on well then york and another guy that is a a member of his website find what they think is
499880	505360	the crash site and put some video on their website. And it went public and went all over
505360	510860	the place. And then whoever is in charge of this crash retrieval decided they had to take more
510860	516560	action. They sent another cleanup crew after Yorg put out his video. They sent another cleanup crew
516560	521540	with heavy equipment and they covered up the entire area where the debris had been retrieved
