start	end	text
0	3760	Tickets to the It's Probably Nothing live show are now available. Link below.
4920	8680	Hey there. Absolutely love the show. Avid Watcher.
8780	13180	I work for a large defense company. One of the top three, as you can imagine.
14040	19600	I work adjacent to a facility that does a lot of materials testing science.
20140	25580	I was coming into work early one morning, and from a loading dock area,
25580	33620	They had these long black curtains lined up all the way to this facility used for testing certain materials.
34880	39780	A co-worker and I were standing by the place that we work, which is right near this facility,
40600	45960	and we were able to see what they moved off of a train car into this area
45960	55060	and what looked like a large metallic object with what I guess some people call hieroglyphic writing on it.
56780	60420	and probably not something that we should have seen.
61240	61760	Thanks.
64960	67720	Ladies and gentlemen, welcome back to another episode of Debriefed.
67720	72260	My name is Chris Ramsey, and today we are going to be taking yet another look
72260	74360	at the story of Amori Rivera.
74660	78600	In part one, you might remember, but he was working at a nightclub.
78700	81340	He took a few photos of the band for his cousin,
81480	83940	and on his way home at about 4.30 in the morning,
85580	90980	side of his car by two what he describes as grotesque beings with large heads and almond-shaped
90980	97380	eyes. And they took him aboard what he perceived to be some type of craft or underground base. He
97380	103700	wasn't too sure. But when he awoke, he wasn't alone. In fact, he was next to 14 other people.
104160	110640	They were then met by a human-looking entity. He claims to be human from the planet Ka.
110640	118360	and these gray beings that were around him were sort of these biological drones, if you will.
119180	124840	He then proceeded to take the entire group on a tour, but not a real tour, more of a virtual tour,
125040	130500	a projection, as he called it, and brought them to their planet Kaa, where they saw some amazing things.
131460	136320	But projection number two and three, which we're going to be getting into today,
136320	145140	day turned out to be quite earth shattering enough to make Amore himself leave his current
145140	149520	life and become a doomsday prepper somewhere in the jungles of Puerto Rico.
149760	154740	So ladies and gentlemen, today we're going to find out exactly what frightened Amore
154740	161880	so bad and what compelled him to move up into the mountains and become a doomsday prepper.
162160	163660	Strap yourselves in, folks.
163740	164700	It's a wild ride.
166320	171280	disbelief. And before we get into the rest of the video, a quick word from our sponsors.
171740	175240	You know, there's something about shooting in close up for hours.
176660	182500	You tend to notice everything, every little detail and insecurity, especially on your face.
182640	185880	And shaving used to be one of those things I didn't think too much about
186620	193820	until, well, until I started seeing myself regularly on camera. Razors that dull halfway
193820	198700	way through and clog constantly, leave your neck irritated right before you hit record, and somehow
198700	204400	you're paying like $30 for a refill. And that's why I switched to Harry's Plus. It's simple,
204480	210460	but it actually works. The first thing, this handle. It's solid metal. It's got a good weight
210460	216000	to it. You're not fighting it. You're in control. The shave is just clean and consistent. There's a
216000	221200	pivot that moves naturally with your face, and the blades are refined, each one honed at three
221200	226320	different angles so it cuts cleanly without that pulling feeling. The spacing helps prevent
226320	232240	clogging which used to slow me down. And there's aloe and vitamin E in the strip so your skin feels
232240	240200	calm after. So right now you can get the Harry's Plus trial set for just $10 at harrys.com area52.
240580	247000	You get the razor, a five blade cartridge, shave gel, and a travel cover. They'll deliver refills
247000	247860	right to your door.
248080	249260	And if you don't love it,
249300	250240	they'll make it right.
250420	251580	No questions asked.
251680	253360	That's harrys.com slash area52
253360	255360	for the $10 trial set
255360	256720	and let them know we sent you.
257040	258320	Stay sharp, folks.
260400	262940	And don't forget to check out area52.shop.
263000	264400	We got a lot of new stuff on the way
264400	265500	as well as some old stuff,
265600	266680	some stuff that's on sale,
266760	268000	some stuff that's just come out.
268500	269300	Your choice.
269340	271040	You can also support us
271040	273200	by joining the membership for $5 a month.
273240	276040	You get access to lots and lots of things.
277060	280380	I think that about wraps it up for paying the bills.
280420	281120	Folks, we paid the bills.
281560	287740	Let's get into reading part two of the abduction of Amori Rivera.
291880	298400	I tell you, folks, not only if you haven't seen part one, go watch part one, by the way, but there are pictures.
298400	310600	One of the only reasons I take this case seriously, it's really hard to take abduction cases with high conviction based on just story.
311180	316520	And not that they didn't happen or not that I don't want them to happen or not that I believe or don't believe.
316660	319800	It's just you have to take things at face value.
320160	324780	And without any clear physical evidence, it's really hard to do that.
324780	332820	But this is one of those rare cases where right after, I assume right after the abduction, right after he got dropped off, he snapped these photos.
332880	336720	And we're going to find that out while reading this, hopefully today.
336880	338080	So let's just get into it.
339780	342800	I mean, I got two coffee cups here, one from last time.
347740	348420	Here we go.
349120	352260	Like this video, subscribe, hit the notification bell.
352260	356480	Well, the room seemed as it had gray walls again.
356960	360160	These apparently solid walls now turned into light, daylight.
360940	363060	Suddenly, we were all sitting on top of a mountain.
363580	365040	It was a nice sunny day.
365600	369420	As opposed to the first projection, this one had sound.
370960	376860	We could hear the breeze between the trees, birds chirping, cars in the distance, and even a rooster.
