start	end	text
580	6460	We maintained our jets and we did emergency duty, you know, on 12-hour shifts.
6820	11820	Me and my guys, we were overnight, so we were 7 p.m. to 7 a.m.
12160	17780	And a routine night, it's hot out there, we're just hanging out near the Humvee,
17780	20080	probably in chairs or hanging out in the back.
21120	26820	We get a call on the radio that there's, you know, either unexplained
26820	32060	or unauthorized something about flare activity in the desert.
32100	36840	You know, maybe four, three to four miles out, maybe five,
37360	41620	we come over a hill or yanking a trailer behind us,
41700	45060	you know, maybe driving 30, 35 miles an hour.
45100	50960	We come over a hill and all five of us see it.
50960	58620	It is a black, from that angle, equilateral triangle,
58780	61100	meaning all sides the same,
61200	65600	with three white, yellowish orbs in each corner.
67940	72040	And possibly some kind of benting on the sides,
72080	75120	but definitely rounded on the edges, not pointy.
75760	77820	That was there hanging in the sky.
77820	83500	I say hanging because there was enough wind for something even, you know, I know what air, I know aerodynamics.
84000	87080	Something that if it was thin enough, maybe it could hover slightly.
88660	92700	So this is what it would look like if you were looking straight up at it.
92740	94320	Of course, that's not the angle.
94440	97720	It was more, you know, I want to use that.
97720	112080	a soup bowl going forward with no light emitting from here but a yellowish, whiteish orb kind of light.
112280	117340	Like a ball, a sphere had been embedded into the underside.
118300	124600	Accompanying it were about 30 military type dudes with black uniforms
124600	131180	and five to six, can't remember exactly, vehicles.
131960	141240	Looked like F-150s, F-350s, the big trucks, jacked up, all black, all matte.
142020	145620	Some with canopies, some with antennas.
146020	148000	This is all coming in a flash, right?
148380	150460	Within 30 seconds of coming down this hill.
151500	157680	The minute we came up over, about half of them, maybe 15, came running up the hill,
157800	162180	and V formations with guns.
162520	166260	Yeah, right up, harsh language.
168360	170560	Get your f***ing heads down, get your f***ing heads down.
170660	172780	Nah, nah, get your f***ing heads down.
173620	177280	You know, not shooting, but looking like they're ready to.
177280	181420	very close to our heads as if they didn't want us to look at anything.
183440	187460	We felt, my initial reaction was we up, we came upon something
188400	193480	that we shouldn't be involved in and I'm just going to comply because I'm scared.
195760	200720	On this channel, I investigate UFO whistleblowers, UFO crash retrieval cases,
201020	206080	and UFO legacy program operations that exist somewhere between elements of the
207280	213020	of Defense, intelligence communities, colossal defense contractors, and semi-private R&D
213020	216220	experts called Federally Funded Research and Development Centers.
217340	222620	One of my personal favorite topics to study is the concept of alien reproduction vehicles,
223100	229020	human-made aerospace vehicles that range from replicas of non-human craft to prosaic
229020	233560	airframes and designs employing one or more aspects of non-human technologies.
233560	261560	The term ARV was coined by the now infamous Brad S., an industrial designer who witnessed three man-made flying saucer vehicles called quote-unquote flux liners at a classified section of the 1988 Norton Air Force Base air show, which were described as copycat vehicles employing highly exotic propulsion systems and craft designs, while still featuring F-4 Phantom jump seats and slopped-on paint.
263560	268920	In 2024, whistleblower Matthew Brown proposed the Immaculate Constellation Report, which
268920	273880	detailed a special access program targeted with performing data acquisition of video,
274140	279620	satellite imagery, etc. on UFOs and quote-unquote reproduction vehicles.
280020	285900	Such cases involved reproduction vehicles detailed as silent, enormous black triangles
285900	290540	observed by U.S. Indo-PacCom or U.S. Indo-Pacific Command.
