start	end	text
0	5400	It was dripping this syrup-like, like syrup viscosity, this liquid.
5480	8080	It was everywhere, all down everywhere.
8280	11900	When we went down there because there was plants and everything, it was weird.
12040	14640	It was a purplish-green color.
15300	18800	And you could tell it was like, it was just weird.
19460	20640	It's hard to explain.
20740	29380	It kind of like, like it was, like it seemed to just like be alive.
30000	32520	It was almost like if you were looking like something organic.
33800	34660	I don't know.
34700	35580	I couldn't tell.
35620	38960	It didn't look like anything we would make, like machine parts or anything.
39060	40360	It looked like it was sculpted.
41340	42820	These were these large vents.
42980	45200	They looked like they went into the craft, but I couldn't tell.
45800	47140	But, I mean, it was a shadow.
47840	49980	That was the only thing that really cast a shadow.
50100	57840	The rest of this was another thing was these vents cast a shadow where you could see where there wasn't light,
57840	63700	but the sun was shining right on the object and it didn't cast a shadow not on anything it was
63700	68460	like kind of like absorbing the light it's weird strange there was no reflection or anything like
68460	74520	that yeah is there anything positive at all that you've gotten out yeah i'm still alive
76040	81660	yeah they threw me into the mud and all that liquid got my hair in my face oh yeah they were
81660	82940	were like scientists, I suppose.
83240	85940	They had this type of like,
87220	88900	we'd call it mop gear, right?
88980	90400	Mission-oriented protective posture.
90660	94080	And they had gas masks on and like rubber suits.
95440	97040	And they were coming around.
97200	98700	And you had all kinds of weird people there.
99000	101380	Some had some version of mop
101380	103880	or personal protective posture on
105000	106280	and personal protective gear.
106640	110560	And it was all different ones, different kinds.
112300	117220	Very few first-hand UFO witness encounters over the decades have matched the intrigue,
117220	121660	coherence, and respect as former U.S. Marine Lance Corporal Jonathan Weygandt.
121780	126780	Lance Corporal Weygandt first told of his harrowing UFO crash retrieval encounter during
126780	131900	official service in U.S. Operation Laser Strike in the Peruvian jungle through Stephen Greer
131900	137720	in the year 2000. As a young perimeter security Marine tasked to investigate a downed aircraft
137720	143020	thought to be a South American drug smuggling plane or friendly U.S. vehicle, the Lance Corporal
143020	148860	claimed to have stumbled upon a crashed, egg-shaped UFO and subsequent Department of Energy retrieval
148860	154500	team. That, in my opinion, gives us one of the greatest possible instances of insight into how
154500	160040	U.S. government rapid reaction UFO recovery teams operate. Since his original testimony,
160380	165620	Weygand has publicly discussed his encounter with a non-human craft, an antagonistic DOE
165620	172200	retrieval team only once more. In 2023, Jonathan Weygandt appeared on a podcast with Martin Willis
172200	177040	readdressing aspects of the Lance Corporal's incredible encounter but exploring little new
177040	183220	ground. Today, I am beyond excited to announce a true successor to Jonathan Weygandt's 2000
183220	189940	testimony. An in-person discussion where Jonathan and myself discuss why he went public, new details
189940	195440	of the UFO crash retrieval encounter, adverse health effects and reprisals Jonathan has faced,
195620	196760	and so much more.
197040	201920	Before this discussion, I thought it pertinent to take a step back and cover Weygandt's
201920	204100	testimony in painstaking details.
204680	209700	After all, I have covered this case before in one of my first ever projects but barely
209700	211920	even scratched the surface of this encounter.
212240	216500	So before I sit down with Weygandt in the coming weeks, let's take a step back and
216500	220220	analyze every single detail of this 1997 encounter.
220220	228400	From piecing together the origins and deployment of the DOE recovery team, to contacting other Marines allegedly involved with the case,
228540	236220	to determining where Weygant may have been taken and interrogated, to analyzing specific similar egg-shaped UFO crash retrievals.
236400	244020	Let us leave no stone unturned analyzing one of the most fascinating first-hand UFO crash retrieval cases in history.
244020	253780	Hey guys, it's UAP Gerb and I am thrilled for you to join me today as we embark on a comprehensive analysis of the claims of Lance Corporal Jonathan Weygandt.
253880	261780	As a precursor to my in-person interview with Jonathan, I thought it pertinent to step back and critically analyze the entirety of his testimony.
262100	272580	This investigation will not seek to simply retell this incredible UFO crash case, but to unravel this case and gain insights into U.S. UFO crash retrieval teams.
274020	279880	started, a few things to point out. I would like to thank RGHUFOs and TAGOM for their incredible
279880	285780	2023 work into Weygandt's case. These excellent researchers arrived at many of the same conclusions
285780	290340	I did long before this project, so please check out their work in the video description.
290820	295960	I'll also be pulling clips from Weygandt's 2023 podcast with Martin Willis and 2000
295960	301440	tape testimony with Stephen Greer. And it is worthy to note, Greer chopped up Weygandt's
301440	306920	original testimony omitting certain details. These include Weygand describing what looked to be a
306920	312880	four-fingered arm hanging out of a recessed hall in the crashed UFO. Greer seemingly omitted this
312880	318380	from the 2000 testimony. Due to this, I will be pulling Weygand's recorded tapes off of Stephen
318380	324420	Greer's DPI archive to try and capture Weygand's words uncut and in their purest form. But these
324420	329520	files are still chopped up and edited. I have found it impossible to get my hands on the full
331440	336680	the closest we can get. Due to these rough files, audio quality is significantly worse than the
336680	341060	published interview, but I still find it important to publish Weygand's words without edits.
341420	346140	These source files contain many additional details, time spent with Weygand's military
346140	351960	records and drawings, as well as questions asked by filmmaker James Fox, that were curiously cut
351960	356260	out of the 2000 published interview. This one was the one that was half open,
357060	360580	and you could see into it, but I mean it was just black, it was like looking into a closet.
363360	372540	Alongside the 2000 tape, I have found and will be often referencing Jonathan's outreach to Greer's team from August 2000, just two months before his tape testimony.
373000	379300	And of course, it goes without saying, I will often be pulling my own clips from my time spent with Jonathan Weygandt.
379440	389100	With all that being said, let's start our investigation and first travel back all the way to 1997 to relive the experience of Lance Corporal Weygandt.
394560	401560	And basically, I was there and then I was transferred over to the section for laser
401560	403580	strike in February of 97.
404000	409640	As a young man, Jonathan Weygant joined the Marine Corps in 1995 and served until 1998.
410160	414640	After a back injury suffered in training, Jonathan's service led him to the 2nd Low
414640	419540	Altitude Air Defense Battalion within the Marine Corps' Air Control Group 28, stationed
421440	426360	point. During this time, Weygand served as a low-altitude air defense gunner with training
426360	431760	on Stinger man-portable air defense systems, manpads, and Avenger surface-to-air missiles,
