start	end	text
1440	3740	This is Project 60.
23360	29000	Good evening, this is Clyde McLean, inviting you to join us now for Project 60.
30000	33080	a project devoted to developing better standards in creative radio.
33640	37240	Project 60 is heard for 60 minutes each week at this time
37240	42140	and is written and produced in the studios of WBT in Charlotte, North Carolina.
42760	47800	This evening on Project 60, we bring you the Flying Saucers story.
48460	53820	Some time ago, Project 60 regulars may recall the Edgar Cayce story,
54720	57040	the story of the world-renowned psychic
57040	61800	written and researched for us by Joseph R. Myers of Charlotte.
62740	65480	Mr. Myers examines this evening on Project 60
65480	69160	the story of flying saucers from outer space.
70160	73920	It was a clear sunny day, the 24th of June, the year 1947.
74940	77720	Veteran private pilot and businessman Kenneth Arnold
77720	80820	had flown his small craft a few miles off course
80820	84500	to see if he could spot the wreckage of a missing Army transport aircraft
84500	87020	believed to have crashed near Tacoma, Washington.
87740	90280	He was intently observing the mountain slopes
90280	93900	when he became aware that he was not alone in the sky.
94460	97900	His attention was drawn to and became instantly riveted
97900	100640	upon nine shimmering disk-like objects
100640	103220	that were flashing in and out among the neighboring peaks
103220	105660	at an estimated thousand miles an hour
105660	107460	and looking for all the world
107460	110260	like they were playing a glorious game of follow the leader.
111140	114100	Arnold's reputation for shrewdness as a pilot.
114500	118820	Coupled with his detailed description of the craft and his sincerity of manner,
119700	124640	won the confidence of the skeptical news reporters, and his story was given full coverage.
125620	129320	It flashed around the world with the newly coined descriptive term,
129500	132420	flying saucers, included in the account.
134180	138680	Seasoned airline pilots Childs and Whitted, early in June of 1948,
138680	141020	on a flight near Montgomery, Alabama,
141880	143620	encountered a large aerial craft
143620	146600	three times the length of a B-29 bomber,
146860	149920	which came alongside of them and circled their aircraft,
150300	151780	apparently inspecting them.
152280	154540	They said that it was torpedo-shaped
154540	157400	and glowed all over with a dark blue light.
157840	161520	There was a double row of ports or vents along the side,
161640	164020	which emitted an unusual white light.
164680	166280	After remaining a few minutes,
166280	170680	the object suddenly loosed what appeared to be a sheet of flame 50 feet long,
171440	174880	tilted up one end, and instantly accelerated to supersonic speed,
175240	180660	leaving the slow-moving Douglas DC-3 aircraft rocking from the sudden movement of air
180660	183620	caused by the instant departure of the gigantic craft.
184960	189120	Tallying descriptions suggested that the same or a similar craft
189120	194180	had been seen about 45 minutes earlier near Robbins Field at Macon, Georgia.
195400	204860	With incidents such as these dawned a new era, the era of the unidentified flying objects, the UFO.
205900	211580	Are these craft real? Do they have people on them? What are they doing here?
212200	216780	Such questions raced through the minds of thousands of people all over the earth.
217780	221640	Our government soon organized a team of investigators within the Air Force
221640	224720	to analyze and evaluate the UFO reports.
225240	229040	More and more of them had begun to stream in from reliable sources.
230080	235000	At first, the government team seemed determined to find all reports of the UFO
235000	240220	to be merely natural phenomena or cases of mistaken identity.
241100	246280	Reports turned in by men with excellent reputations and extensive flying experience
246780	252080	were debunked by the government team with such unsatisfactory answers as, for example,
