start	end	text
1660	7380	A man named Healy back in Pennsylvania built a free energy motor and demonstrated it to
7380	9280	the highest scientific minds in this country.
10320	13720	Healy was later, later died in an insane asylum.
13940	14740	His motor disappeared.
15500	17920	Nobody has ever been able to find out what happened to it.
18480	24280	We had a man in 1929 on a Cleveland airport that had a section of one hanger rented there
24280	26880	and it was canvassed off so you couldn't see what was there.
27500	32400	For over a year, that man worked behind the canvas, and as far as anybody on the airport
32400	37080	went, we all figured he was a little off the beam because he never did anything but say
37080	38920	good morning or good night or how are you.
39680	41020	The man's name was Henderson.
41820	48960	One morning when I came to my job there at the Cleveland airport, I saw a Waco 10 airplane
48960	50120	setting out on the line.
50720	55060	The only difference in it and the other Waco 10s was the cowling was changed.
56880	59940	Henderson came out and got in this airplane and flew it around the field.
60820	62720	We didn't hear a sound from an engine.
63440	66400	Everybody on the field rushed up to the ship after it landed.
67000	70180	And he climbed out and permitted us to open the cowling and look in,
70980	73220	into the cockpit, into any part of the airplane.
73420	74740	There were no batteries in the airplane.
74800	76220	There were no gas tanks in the airplane.
76920	82240	There were two devices under the cowling that looked like our electric motors,
82460	86280	one of them end-to-end and connected by a shaft.
87080	89380	I saw that myself. I saw it fly.
89900	94540	The next day when I came to work, Henderson, the canvas, the airplane, and the whole work was gone.
95000	98040	We never saw him again. We don't know where it went.
98720	101760	Another man named Hendersholt developed a motor.
102420	106840	There have been half a dozen of these free energy devices developed to produce power.
108100	110640	They work on the same principle as planet work, though.
111440	116040	In fact, these spaceships, the disks, are copied after planets.
116980	123760	They use exactly the same principle in space relative to their travel that the planets use.
124600	128760	We're sitting here right now on a spaceship that we call the Earth.
129320	135780	It's traveling 1,000 miles an hour on its axis and 1,800 miles an hour in its orbit.
136840	140440	And we are following the sun through space at over 12 miles a second.
141000	143420	and yet we register no sign of movement
143420	145120	in those three movements alone
145120	146760	not counting the motion in the galaxy
147660	149600	we are wobbling on our north pole
149600	150620	which we can't feel
151880	153620	these motions are not felt
153620	155460	because we are subject to the gravity
155460	157040	of this body we're riding on
157760	159160	these people in copying
159160	160780	the principle of planets
160780	161880	and applying it to ships
161880	164220	don't have to pay anybody for the power
164220	165640	or put any fuel in the tanks
165640	167000	any more than the earth has to
168060	169560	there have been many people
170640	176140	what do they breathe? Do they carry compressed air? Do they carry oxygen in tanks? Well,
176160	181920	we're not carrying oxygen in tanks. And in their copying of the planets, they also provided
181920	188020	the same method for producing the air and the oxygen they breathe. The air and the oxygen
188020	192920	we breathe is generated by the planet. We never stop to think about these things because
