start	end	text
1600	7740	I have here Mr. George Oganski, co-author of Client's Thoughts of the Mandate.
8360	12920	And I'm going to ask him some of the questions Mr. Hill wants to know.
13260	18520	My name incidentally is Dismon Leslie, who also wrote part of that book.
19300	27400	George, the first question that people seem to be asking is about your experiences on this thought process.
27400	38300	Now, where those contacts, those journeys you made, are you sure you took them in the physical body and not in some form of dream condition?
39220	42660	I understand their so-called dream condition.
43520	47340	I understand the so-called metaphysical concept of things.
48300	54660	For I have given much study to that to find out what it's like or what the whole thing is about.
55360	62480	And I must admit, uh, state here, definitely, that this is just as physical as we are here present.
62920	67520	Just as physical as I went in an automobile and was riding gas.
67800	73320	That's how physical it was. There was no psyche or any dream of any kind connected with it, whatever.
73640	77000	I see. What did you do to prove to yourself that you were real?
77820	80840	Well, after all, I have drank and aged with them.
80960	81200	Yes.
81200	90420	And I have buck corners as I was moving past because they're quite amazing when surprising to the situation.
90820	93420	And I'd be looking at them, we should have bought something.
93720	95500	And all I got was in.
95620	97000	Let's put it this way.
97060	98500	One might give it to the eye.
98900	104040	Some of these projections of their call appear to be absolutely real.
104300	108440	But usually they take place after the person has gone to bed.
108720	110360	Then they imagine they wake up.
111200	124340	In that case, what's a true continuation of consciousness from the time you arrived in Los Angeles, went into the hotel, and then met the space people, and then went aboard the saucer?
124780	128700	Very, very conscious, I would say. I couldn't be any more conscious than that.
128920	130860	Then how could I be less conscious than that? I'd be dead.
131100	132960	I mean, you didn't get to stand in between.
133180	136680	Not at all. It's one of those absolute continual consciousness.
136680	137140	That's right.
137140	141040	I've gone through gender, physical and physical good.
141060	141780	Hope to be.
142320	148140	Again, though, didn't you on the last trip take two American scientists along with you?
148500	149660	Yes, I have.
149740	154340	And I just wished that I could reveal their names.
154420	158900	But in this case, they have jobs that are very well secured
158900	161140	and they're on the secrecy plan.
162200	165580	And to betray their confidence, which they place in one,
167140	168680	dirtiest thing that the land could do,
169260	170980	jeopardizing their position in the noise.
171220	172500	And they have told me,
173140	174920	when the conditions give a note that they can
174920	176820	reveal, they will come out
176820	179000	with the statement what they've seen and so
179000	181040	forth. But there's one thing, Desmond, that I
181040	182600	want to say about this that's funny.
182760	184500	And that is, that I
184500	186760	understand, as I can
186760	189000	analyze, that they must have
189000	190920	given the information
190920	192740	they have gotten on this trip
192740	195320	to the officials of our government
195320	196540	on these grounds.
197140	207900	Up to that time, none of our planes could go through an atomic cloud and survive once the explosion of an atomic bomb took place.
208500	212320	We were right after it, especially, as soon as the cloud was created.
212500	222560	And on this occasion, which is the last test in the Alkaplast, here our planes went up with pilot's end, went through the atomic cloud right after the explosion,
222640	225660	and come down and never were affected, I understand.
227140	233760	been told that the ships been washed after they landed but I later learned that they didn't necessarily have to be washed
233760	239620	that the very power which protected those ships that fly through atomic clouds
240760	247240	when we explored them, the spaceships do, fly immediately over there through the clouds around the spaceship
247240	251680	we have employed and this was decided after I have asked the boss
251680	253040	Yeah, the un-cubed.
253400	254260	Yeah, the un-cubed.
254320	255120	I was done.
255620	257860	And it would seem that we have learned to do that.
258000	263380	How much notice did you give those two scientists if you know them a few weeks before?
263740	264260	Which is much.
264380	265080	No, I haven't.
265160	266740	I didn't even know their names.
267040	268800	I didn't know who they were or anything.
269380	274180	These fake people give me their names, and I went to telephone calls and they were just
274180	278020	as much amazed as I was, but since that was another movie...
278020	279720	How many of you were told to call?
279820	281160	Well, we had 20 minutes.
281280	281660	We had 20 minutes.
281660	281660	
281660	281660	
281660	281660	
281660	281660	
281660	281660	
281660	281660	
281660	281660	
281660	281660	
281660	281660	
282420	288400	You might say, between the times that I call him and then get him down to the place where we go to this, you know,
288400	295140	Coach George, I cannot personally understand the series, because I remember that evening,
295540	302700	I was staying in Los Angeles, and you came in for the hotel, and I met you there,
302700	307340	and we were sitting talking in the lounge, before, while you were waiting for your contact,
308040	312320	And he suddenly said, look, I've got to go and ring up these two guys.
312520	314440	He went out and made a phone call.
315660	321280	And I thought at the time, while he was ringing up, it was likely to be the space firm, or
321280	323600	clearly they were coming for you.
324700	327580	And because you don't ring them up, they ring you.
327740	329740	And then I had to point them to him.
329880	332580	I went off shortly after that.
333320	334760	That's why you looked at that.
334840	341200	That's why I had a lecture term, and anyway, I hope you know that one anyway.
341460	349140	Yeah, I was just, you know, they would have asked you to allow it, but I guess maybe the reason why they didn't, because you didn't have a lecture which was about negation.
349560	358020	Well, that's why I couldn't have given the lecture term this year, because my lecture term is the lecture I'm giving is a very nonsense lecture.
358700	366860	with no personal experience in it, what ever, purely factual, critical, the theory which is very important.
367160	372660	In the middle of thinking, it's a trip. And that's actually very, very quiet about it.
372880	376500	I can't resist the rift. I see, that's right, that's great.
376500	379240	I have a question. Somebody's done a good job.
379300	381380	I call it a great work.
383900	386700	About... Do you have any photos taken?
387340	392500	Well, the only photos that are available right now are those that were in both books.
392680	395020	Yeah, are there any photos taken close up?
395220	396580	Closer than that, yes.
397020	402060	Well, I think that every photo of a person that's taken close has that funding.
402560	408160	Well, because this, what you call a peter porous, known as a peter porous mouth, that
408160	414540	radiates from the body of the ship outwardly, like a, well it almost brings the same idea
414540	417820	except now it's heavy, that you would try to take pictures through water.
418120	418320	Yeah.
418480	419700	That's about the same thing.
419740	420180	Yeah, I've noticed.
420860	426340	I believe that that is one way of, I think, of jumping a genuine picture, is a bit of
426340	426520	that.
426800	429500	Yes, that would be a telescopic picture.
429580	429840	Yeah.
429840	430960	We have all provided that.
431080	432280	No camera was...
433220	434600	That's what I was saying to you.
434700	436680	You see telescopic pictures of this.
436900	444320	And I think the telescopic pictures were taken at 2500 feet, which had a chance to avoid degradation after the camera,
444380	446200	but you can write up close to it.
446440	450920	We had a case like that with a 50 feet and the whole thing was just blurred.
451780	452620	Like damage.
454360	456980	Now we have another question here.
456980	460500	What is there in this?
460740	462840	And such a long life on Venus.
463040	466500	Well, long life on Venus should not be a mystery.
466820	469860	For as only two years ago down here in San Francisco,
470300	475660	the Medical Association had a convention of what they call a medical instrument.
476300	480700	And they made a statement which is well published in all of our papers down here,
480700	483280	Yes, that is a good one for our consciousness.
483720	488940	The human body is a system they could live on for 800 years, right here in this world.
489180	492360	Well, consciousness covers an awful big deal.
492680	496100	Well, they found out very quickly what causes this.
496140	497820	The man is old age.
498480	503000	But the cell, the cell is a little living individual, which talks about it.
503000	503440	That's right.
503580	504100	Matter.
504100	510960	When it gets old, the waste is free to carry away the waste products.
511200	513500	So, all of it clogs up and then it leaves.
514020	522960	Now, if they can find an enzyme or an injection or a frequency treatment to clear up this stuff, the cleanup,
523520	526560	they'll be able to bring an old man back to the old beauty.
526860	530980	They'll tear up some of life that goes on hundreds of years. They may even come to find it.
530980	548160	When you speak of the young man, when we grow intelligently, if we should be growing intelligently, if we are by daily living anyway, we should ask to stop going to our daily lives from time to time. I would say something like this. Let us look at the picture of life.
548160	550580	does life itself as life
550580	551960	have no any age
551960	553440	no adornment
553440	556540	of course then when you live the proper method of life
556540	558900	which God has put forth to learn and live
558900	561280	we will not know any age either
561280	562960	and these people have learned that
562960	565660	yet we read also in our Bible
565660	568780	where Methuselah have lived 900 some years
568780	570820	and some time and so forth
570820	573540	now there is a speaking here of the king of race
573540	576780	well it's quite possible and quite logical to assume
579380	583520	transformation, casted over the earth, known as a tournament or something like that, that
583520	588560	would filter out some of the deadly rays that we know nothing about yet, that our bodies
588560	590860	are not accustomed to or to be able to absorb.
591300	593820	And right now, we haven't got that.
594040	599080	If they had it in those days when they speak in the Bible of those long years of life and
599080	602960	so forth, naturally, those rays maybe are affecting us.
602960	610940	But who is to say that it would continue that way for some time, that our bodies might not be just in reverse and go on as long as they begin?
611100	614420	Well, this is in fact, this may be the way we extol radiation.
615200	616660	We may set up tension.
617100	618360	That's just a danger.
618540	620380	And here, in the end, they're going to look.
620500	624280	Here, he's a shell that man can drink toxic acid and snail.
625720	628960	When that's due to play, that mind will receive it.
629260	629920	That's right.
629920	634140	But you see, as far as these rays are concerned right now,
634340	636760	actually they would do more damage to us today.
636800	639500	Even the normal rays would do us more damage,
639540	640880	pounding against our bodies,
641000	644900	because seldom a person relaxes even going to bed today.
645060	647020	They were in a high state of intension.
647300	649060	And the more tense they are,
649220	651340	the greater resistance they put up to the rays
651340	653220	that one can probably have not known.
653420	655880	Because you go back to 1910, for instance,
656180	658980	they used to work hard, but they also played easily.
659920	664200	was quite relaxed, and when they left the business house, they went to bed, they were relaxed.
664380	666180	But today they don't relax even in bed.
666980	671120	Now here we have another question regarding the large ships.
671960	677340	How do the occupants go from one end to another?
677620	679640	Very good question. I shall answer.
680100	684720	A big large ship, which we have yet not given the information on, which I have,
684720	688740	that are larger than anything that has been given to the public
688740	691480	are flying through space and never come close to Earth.
691680	694500	And even those that are what we call large,
695180	696520	you don't have to walk in them.
696580	698400	They've got little conveniences on them,
698500	700960	like magnetic rails that take you from place to place
700960	704140	and from level to a level in those ships.
704360	706220	Just the same as our elevators do,
706280	709640	as well as tracks down on which they ride from one end to the other.
709680	711860	They do not do too much walking,
711880	714180	although they do very much an exercise.
715800	720340	Now we have another statement here, a question to be answered.
720700	724140	Bible students claim not to believe in blind sources.
724460	727020	Of course I can understand that very easily.
727200	731080	I contact a lot of them because they don't know their Bible.
731140	732340	That's why they don't believe in it.
732580	734820	But as they say, that is not the fact.
734860	736040	There is some Bible.
736160	738120	Yeah, some Bible students, that's right.
738240	744080	It says that the Bible doesn't mention them.
746040	765160	Actually, we don't mention, year after year we keep changing names for some one thing, and different each time. So in the times of the biblical history, well, they were called something else. They were called clouds, they were called, for an example, let us put it, of a Bible and the context with this one.
765980	771700	In Zikr chapter 1, which is 2,555 years ago it happened.
772060	775280	Actually it happened 555 years before the birth of Jesus.
775720	779920	Well, far may it all be, but it was written at that time or recorded.
780300	782280	We find here that he called it creatures.
782540	785560	Today we call the same thing flying saucers or spaceships.
785680	787880	But he describes a wheel within a wheel.
788020	789720	That's how he died in a whirlwind.
789980	790480	That's right.
791780	792300	That's right.
792380	794220	Sir, yes, they should look after these people.
795240	800520	350 cases in the Bible, but today it's named flying saucer or spaceship.
800680	802040	And that is very serious.
802580	804800	Yeah, and that appears at different times.
804820	808020	So the Bible student, if he doesn't believe that,
808060	809480	because he doesn't know his Bible,
810100	811680	but if he studies his Bible carefully,
812040	817920	he will find 350 cases in reference to what we term today flying saucer or spaceship.
818240	821220	And he might, if they have a Hebrew Bible,
821340	824240	or they have a Hebrew scholar, they might read the original.
825160	833880	And see that how near the original Hebrew and the Italian mirror than the story of the English translation.
834480	835020	Uh-huh.
835060	841000	Describes this pulsing light and this great noise of the wheels going up into the sky.
841100	843080	Perfect description of a balsa.
843420	843800	Uh-huh.
845440	849260	Now, there's another question here about that world.
849320	851020	It's explaining it to Adam and Eve.
851080	854820	One question there of Adam and Eve is quite a perfect question, isn't it, to everyone?
855360	863620	Yet we must admit that they have been gone here or they've been placed here or something happened, like in Picovina.
864100	866920	Or, yeah, well, let's see.
867960	875140	There's a statement here in reference to Cain and his wife, that's it.
875400	876540	Cain and his wife.
876720	878300	Well, where is the land of Nars?
878400	882660	Well, I'm inclined to believe, my own personal opinion now,
882660	889340	I'm inclined to believe then that land of naught almost means like a land of nothing which might be up there in the sky.
889660	894220	We don't know because then we assume there has to be nothing in it that we don't understand.
894540	895620	That was the question.
895980	899540	And that is, where did Adam and Eve come from?
899980	902980	We are to, do you explain the Adam and Eve question?
903540	908120	Well, there's a thing called the Adam and Eve, may it be the third native earth.
908960	913000	and because it refers to her early up races because
913000	918140	Cain says don't turn me off because any stranger that meets me may kill me
918140	920700	admitting that other races running around
920700	926180	so Adam and Eve may be the symbol of the first purely earthly race
926180	929680	yes that is quite possible and that's the way I'd rather take it too
929680	934420	I mean look at America you have the native Americans the Indians living here
934420	942540	and then you have these white people coming in from each ship from another world, the old world, coming up a new world.
942660	946560	Now they've blended together and they are all American.
946740	949520	We had originally the way of two distinct races.
949820	954580	Yes, and Royce chose the sons of God who came down from the doorpost with Mary.
954580	961060	They gave it names of Celestial race and Space race and the purely Celestial or Earthly race.
962900	973600	Well, you see I have a statement here that was published in the San Diego Rancher magazine that comes out once every three months.
973800	982380	It was amazing to read down here that even down the only roadway from us, Mount Hamilton at this point, near St. Marcus,
982380	988420	but it's because of the Indians who were brought in from other states, landed on this mountain,
988700	993760	and then these people that brought them in distributed them until it was to go around the territory.
994160	999220	Now whether that'll do or not, we don't know, but at least that's been carried down,
999280	1002460	and it's been recorded well enough at least to be written up.
1002740	1006580	But it may be a race legend, but the same thing.
1006580	1025540	But if you get back to the fundamental, if man is an eternal and a space being, actually moving through the universe, developing planet, you will get spacemen coming in, migrants, immigrants, and then you will get natives rising up and developing from the lower kingdom.
1025540	1033740	And he says Darwin is partly right, and the statesman's not as partly right because Glenn is, um...
1033740	1044020	Yeah, well, I'm sorry, but to answer this question here to Mr. Brickwell, this place people have told me is.
1045680	1052860	that justice itself and the human body die and others are born to keep that body going,
1053100	1061940	to take their place as they die, others are born, we find that the universe is the same.
1062280	1067060	There are many planets there that are ended on the basis of disintegration,
1067080	1071380	like Alphonse has a beginning and an ending, and others are coming in.
1071380	1076320	And while there's not a forceful situation, but it's a volunteer system,
1076540	1082220	to those that understand, that people move out from other planets
1082220	1085140	to populate a new planet in the years that go on,
1085180	1087360	just the same as probably this one started,
