start	end	text
0	3260	These mushrooms and bacteria are both ancient beings.
14100	20020	You might think of them as a delightful addition to your tagliatelle or as a beautiful accent on top of your pizza.
20200	23760	But did you ever think that mushrooms could actually just be aliens?
26080	31480	If you were an alien species looking to survive for billions of years and trying to travel
31480	35700	intergalactically without dying out, would you choose to look like a foreign invader?
35800	40000	Or would you merge with higher life forms and affect the way they act and think in a
40000	41420	way that promotes your survival?
41940	44960	But let's back up, like 2 billion years back up.
45800	50160	Ancient fungi emerged on Earth at least 2.4 billion years ago.
50280	52740	This was before plants and animals even existed.
53760	58520	descended from mushrooms. Animals split off from fungi about 650 million years ago.
58700	63960	A lot of pharmaceuticals use fungi, but we're also super prone to fungal diseases.
64380	65700	So it's a blessing and a curse.
65940	70100	For this otherworldly topic, I brought in one of my best friends, Taro Issacopola,
70260	75500	the founder and CEO of Four Sigmatic, maybe the seminal consumer mushroom brand in the US.
75840	81660	So I make Jesse a very simple smoothie, filtered water, fresh blueberries, and protein powder.
83000	86180	Tarot is a very interesting guy. A fun guy, some might say.
86680	91060	We actually met while one of us was on shrooms. Adaptogenic ones, of course.
91220	93940	So you might say fungal intelligence brought us together.
94560	100920	We've quickly become best friends and since then I've learned a ton from Tarot on life, business, and of course, fungi.
101220	106200	That's one of my spirit animals, a whale. They can have sex for 30 hours in a row while singing.
106440	107380	That's pretty sweet, man.
108500	112880	One of the trippiest things Taro has ever said in my presence that has always stuck
112880	117900	with me was in a conversation we had two years ago with the mycologist Merlin Sheldrake,
118060	120820	the author of the great bestselling book, Entangled Life.
121000	125600	Not just mushrooms, but other really sacred foods tend to live in these, like the beginning
125600	130540	of the forest life cycle or at the end of the forest life cycle where there's extremely
131060	136260	nothing else growing almost like pioneer or at the end of it when there's massive biodiversity.
138300	143700	Can mushrooms essentially act as consciousness capsules, preserving consciousness from the
143700	145980	end of one life to the beginning of the next?
146280	150420	Why do they show up first in the most harsh environments and after catastrophic destruction?
152160	156600	It's almost as if they're zip files with the ability to download life before cataclysmic
156600	160180	events, carry it through hostile environments, and reboot it elsewhere.
160480	164500	This got me thinking about a book that I've always loved called Chariots of the Gods by
164500	165460	Erik von Daniken.
167380	173800	1968 and became an international sensation. The premise was that ancient alien astronauts came down to Earth around
173800	179840	10,000 years ago at the time of the agrarian revolution and taught us how to basically start modern civilization.
180140	185380	When the extraterrestrials left some thousands of years ago, they promised to our forefathers,
185440	193040	we will return. Von Daniken points to astronomically aligned architecture that we could never build without advanced knowledge of the stars,
193040	199920	Mayan cave paintings depicting astronauts, and Sumerian artifacts that show the solar system in its proper alignment
199920	202340	thousands of years before we developed telescopes.
202800	205480	But the idea got laughed off by mainstream academia.
