start	end	text
1200	6860	I was with other stage directors, but he was really my comrade.
7280	9620	He was such a great stage director.
10020	12860	And on the free-change, I was coming back to the theater.
13220	18500	I hadn't done theater since 2001 or 2002, and I was coming back in 2008.
18820	20280	It was not better.
20740	25000	We will talk about Murmur again at the Théâtre de la Michelière with you, Aurore Malé-Garras.
25160	26760	Hello and thank you for coming to this microphone.
86820	89540	Is it said that other senses are awakened?
89820	100140	That is to say that the texture of the voice, the rhythm, the accent, the music of the voice can be sexually a motor too?
100440	102360	Of course, that's exactly what is said in the book.
102480	103740	It's what you were talking about earlier.
103880	107240	It's that in fact, when we cut a sense, in fact, the other senses can take over.
108400	109900	And that's very, very well known in neuroscience.
110300	111660	And it can even be seen in the lab.
111820	112540	There are several senses.
112600	116180	Again, there is no touch, there is no hearing, there is no taste, there is no sight.
116760	118060	It's really the question.
118240	120200	It's true that the voice is very, very bearable.
