start	end	text
1520	6220	We talk many times with people who claim that they've been to other planets.
7660	14040	We talk to a man by the name of the Mystic Bobber, the mystical consorial artist from Brooklyn,
14740	19440	who claims he can astrally project himself to the moon and back at will.
20120	26360	And we talk to people who've been to Mars and to Venus, at least this is the stories that they've told us.
27860	30440	but when a man like Ivan Sanderson
31440	33300	the noted zoologist
34160	36500	is going to sit in front of these microphones
36500	38620	for some five and a half hours
39580	42580	and tell us that there may be
42580	46680	little people arriving on this planet
46680	47620	from other planets
48680	50800	then I begin to wonder
50800	53560	maybe there's something to it
55460	57660	Isabelle Davis is with us this morning
57660	60820	Miss Davis has spent a considerable amount of time
60820	65280	investigating the subject that we're going to discuss this morning
66520	70820	Hans-Stefan Sanderson, Editorial Director of Fantastic Universe
70820	71800	is with us
71800	72960	for Sanderson
72960	78140	has an article that was written by Ivan Sanderson
78140	80280	it will appear in which edition?
80900	83920	It'll appear in the issue on sale the month from next week.
84540	86820	This was a bad booking, wasn't it?
86900	88140	We should have saved it.
88720	90180	What will be the date on it?
90220	91220	In the March issue.
91560	92300	March issue.
92400	92540	Yes.
92760	93780	On the stands?
93880	94380	That's right.
94480	95920	It'll be on the stands.
99160	100400	It's in the case of November.
101940	102720	15th of November?
102860	103060	Yeah.
103500	106820	You can see he is not the circulation manager.
106900	107720	He's the editor.
107720	112400	Oh, he expects to sell extra copies to people who might get the wrong issue first
112400	113480	and have to get the second one later.
113580	113980	Very clever.
114660	117060	You get paid, too, you know, from that company.
117200	117600	I know.
118840	119980	Everybody go on down.
120260	121280	Don't tell him how much.
121680	122720	Don't tell him how much.
122900	128320	Lester Del Rey is the author of the book entitled Rocket Through Space,
128500	132220	published by Winston and Ben Esquith, the cybernetician.
133960	137520	I think that you'll be with us right through to 5.30
137520	139260	once we get this rolling
139260	140560	and to get it rolling
143400	146000	Ivan, about three or four weeks ago
147260	149220	you sent me a letter
149220	151300	and in the letter you put in quotes
151300	153480	a little green man story
155120	157700	you honestly think that there's a possibility
157700	161720	of people landing on this planet
162220	164500	from other planets. Is this possible, Ivan?
164500	168420	Let's forget about the green part or the orchid part or whatever color they may be.
168520	169340	Is this possible, Ivan?
169440	174420	Well, I will only answer that, John, if I may say first of all that they are little, some.
177020	178460	They're not green and they're not men.
178660	183040	Apart from that, could there be life forms with intelligence or without intelligence
183580	187060	that have come to this Earth, may still be coming?
187080	190740	I say yes. I think we have every evidence for it.
192220	194100	last day? We have every necessary
194100	196080	evidence for that fact. Who has this
196080	198040	evidence? We have it right in our public
198040	200220	scientific publications today, to be drawn
200220	202080	from all different sources. I'm not talking, look,
202520	204020	may I pontificate for a moment, in fact,
204080	204660	make a little speech.
205980	208200	The first one will be directed at Lester Del Rey.
208300	209580	He's my very dear friend.
210620	211720	He's going to sit here tonight
211720	213620	and say, I don't believe anything.
213960	215980	There will be no further discussion. I believe
215980	218240	many things. I don't necessarily believe any of this.
218500	220220	Well, if you're going to say that, we don't
222220	224260	You can't convince me if I don't believe you already.
224260	225180	We're there to discuss it.
225900	226780	I'm not arguing.
227160	229080	But you're saying I can't get anywhere unless I already believe.
229180	231000	No, but I said if you're going to sit down at the beginning and say,
231040	232700	I'm not going to believe anything about this.
232760	233480	I did not say so.
233540	234560	I say I believe many things.
234620	235220	But I said...
235220	236020	I said...
236020	237900	I said...
237900	237900	
239600	242200	This time you've got to be logical.
242500	243860	And if I say that...
243860	244820	Will you define that word?
245440	245940	Logical, yes.
245960	246920	I certainly will define it.
248040	248400	Yes.
248600	249760	I would think, dear boy.
249920	250280	Oh.
250360	251220	And listen to what I'm saying.
252000	257140	think. Right. Now listen to what I'm saying. Now listen to what I'm saying. I said if you're
257140	260480	going to sit here all night and say I don't, I never believed in any of this and I'm not
260480	263380	going to believe any of it. In other words, you're not going to listen to the evidence
263380	267160	and discuss it, not argue about it, but discuss it. If you're going to get off on the tangents,
