start	end	text
1600	3000	Good evening everyone.
3040	8560	It is with great pleasure that I introduce this interview this evening.
9340	12900	This is Susan Devon, a college student in sociology,
13560	18240	and has had a tremendous amount of experience in gathering facts.
18620	24640	Being the author of the book, the Documentation Report, The Sources Speak,
24640	30420	This is a report that is radio communication with our friends from other planets.
31260	40880	He is working at the moment on another book, Other Times and Other Slaves, and I'm sure you will find that just as interesting.
41560	53380	He has been friendly with and has had a great many conversations with other men who have had experiences with the so-called Salsa people.
54680	61020	And if you have any questions, we will have a clue at the end and they can be answered.
61120	67140	We have had several of them that have been handed in and Mr. Williams will answer them in time.
68120	74480	I think that in spite of the heat, you will feel that this evening has not been wasted.
75220	79300	You will find it very enjoyable and very enlightening.
79920	84860	It is a great honor to have the privilege of introducing Mr. Joe A. Williams.
85200	85920	Good to see you.
86180	87320	Thank you very much.
87700	92300	Mr. Colby, to be here in Detroit, especially since I have been brought here under the auspices
92820	96780	of the sponsorship of my good friend, Leverdell Hunter.
97560	99700	Leverdell, would you stand up for everyone, please?
99920	100540	Right there.
105180	106780	Even now, I was going to do that.
106780	114460	It's a great privilege to be here to speak to you on the subject of flying saucers.
114840	123440	The term flying saucer until very recently in the world has proven to be more law provoking than it has been thought provoking.
123760	131320	But people all over the world are beginning to realize that this phenomena known specifically as the flying saucer
132140	137340	may have a great bearing on the life of each and every one of us in the next few days and
137340	144740	weeks. As Mrs. Potter said, I know many men who have had similar experiences. I happened
144740	151700	to be with Mr. George Agansky in November of 1952, and he had his memorable contact
151700	160420	in the desert near Desert Center, California on November 20th of 1952, and he had his memorable
161320	164980	with a foreign sponsor, and the Venetians.
165080	167580	My wife and I were both with us in student events.
168560	174880	But our work in foreign sponsors started long before the concert with Mr. Gansky.
175240	177880	In fact, before we knew Mr. Gansky.
178400	182200	It was through our own work that we heard of him and eventually met him.
182760	188960	When I reached the band in 1952, we had our own concert via sideways or radio television.
189720	196360	I have been up a year or more previously in Minnesota where I was working amongst the
196360	201560	Kippler Indians gathering little known legends and facts about this particular group of Kipplers
201560	205520	that had never been accumulated or written down before.
206420	214020	I lived in some of the vast country near Vibers, Minnesota and I also did work at Mille Lacs.
214400	217760	Mille Lacs Lake, if some of you are familiar with, and the Kippler's there.
218960	221900	I didn't know any more about sausage than most everyone else did.
222000	223520	There were only a few things in the newspapers.
224760	228500	And I had, of course, heard of flying sausage, but that's all that I knew.
229160	232100	And on my way up to Minnesota, I went up on the bus.
232500	236420	I picked up Mr. Donald T. Hall's first book on the sausage,
236620	240460	The Flying Sausage and Rita, in a pocketbook edition.
240960	244100	And I never read the book, never even started it.
244100	252040	I got it from Minnesota and for one minute it was raining. Those of you living in Minnesota know that in the fall you get a lot of rain once in a while.
252300	259540	And it rained steadily for about a week. I couldn't get out of my cabin to do any field work so I picked up the book.
260220	263280	And I didn't put it down, believe me, until I finished it.
264460	272200	And after I had read it I was really convinced myself that at least a few things could be in a climate change.
274100	286940	a former Marine major who had gone into the thing in an aggressive way and had analyzed all the facts and came to the conclusion that there couldn't be anything but something that I don't say.
287860	296540	In fact, I think he mentions in the book that he was pretty hard for him to shadow and it was a little fantastic, but if that's all it could be, well that's what it had to be.
298560	303100	Immediately, all of the letters that I had been collecting began to fall in place.
304320	309440	And I thought, good heavens, a lot of these things I had been collecting sound like flying saucers.
310260	311920	I hadn't thought of it before.
312800	316060	But that book seemed to make everything fall into place.
317100	323300	And I wrote to my wife, who couldn't come up to that country with me because she suffered from arthritis.
324260	329000	and I wrote to her, she was doing work amongst the opposite Indians in Metz patrol.
329700	334640	And I said listen, I think I've run onto something, I wish you'd step into it for me.
334800	339420	And she wrote back and said well I've been running onto the same thing, all that she mentioned.
340220	346440	I did an investigation and found that all American Indian tribes practically have the same stories.
346520	352520	Now they will, there'll be slight variations actually, but they almost all have the same stories.
353300	360520	same basic sense. For a long time anthropology decided Indian legends and legends of so-called
360520	366020	primitive people throughout the world because they said they would merely destroy the super
366020	371740	basic people and have no basis in science. But no longer are they doing that. They realize
371740	376900	now that there has to be something to tell the story. And although these people did not
376900	381160	They did not write down their stories because they did not have a written language.
382060	385000	And these things were passed from generation to generation.
385800	390040	Nevertheless, there had to be something that caused these stories in the beginning.
391020	394540	Now the Syphilis, I'll give you one or two of the legends,
394640	400120	looked very briefly because they just go on bleeding for nights and many nights
400900	402460	in discussion with various legends.
403120	404780	But they're all about the same.
405720	411660	Amongst the shipwrecks they have legends of what they call the Giddy Glimps, or the Earth
