start	end	text
1180	7180	I don't know if you've read Lou Elizondo's book, but as you know, right off the bat, he starts talking about Calaras.
7340	15540	He told me so much about this. It's the one kind of head scratcher where these UAP UFOs were harming people.
15800	21320	People died because of direct attacks, it seems like, from UAP UFOs.
21320	29740	He told us that, well, I can count more than 2,000 people were attacked by this UFO,
29740	33280	the Chupa Chupa phenomenon, the Suc Suc phenomenon in Brazil.
35180	37620	Secrets, cover-ups, and strange phenomena.
38240	41020	UFOs and ideas that challenge reality itself.
41460	43620	All these mysteries, all this time.
43860	45520	Are we ever going to get to the bottom of these?
45860	47040	My name is George Knapp.
47140	50700	I dig into news stories that others can't or won't.
51320	55280	Jeremy Corbell, and for some reason, people tell me things they probably shouldn't.
56340	58620	And this is Weaponize.
61080	62440	This is Weaponize.
62460	63260	Jeremy, how you doing?
63540	64340	Pretty good, George.
64440	64920	How you doing, man?
65400	66220	I'm worn out.
66380	71720	I'm worn out as a full-time conspiracy guy and a full-time grifter.
71860	73380	I mean, I don't get any sleep.
73720	76060	Man, you're hard at work, man.
76300	79900	Well, the last week or so, both of us have been really hard at work.
81320	88060	you read online and various social media platforms, right? So I've heard, man, I noticed a huge uptick
88060	93700	in nonsense. Actually, since the last time we recorded, that's an interesting point, I think,
93720	101560	a place to start at. So last time we broadcast Weaponized, we were in your den, man, and we were
101560	107800	going through all this great documents and stuff I haven't looked at in a while. And we were going
107800	115320	Going out to go see Jane's Addiction play, our friend Dave Navarro and our friend Dan, they were like, come on out and see us.
115560	117160	So that's when we recorded last.
117320	118000	And we sure did.
118100	120400	It was a really cool concert.
120520	124900	I mean, to be able to see Jane's Addiction play, I didn't know where they were going to seat us, though.
124980	126960	And I know we wanted to sit.
127240	128860	And so we're back there with them.
129000	131580	Man, I think we got the best seats in the house.
132260	132820	Well, yeah.
132920	135600	I mean, so we go and see Dave Navarro.
135680	137300	You had introduced me to him years ago.
137800	140000	had fun with them and talk UFOs here and there.
140120	142140	And he and Dan are both into it.
142160	144100	We spent some time with them and he said,
144160	144240	Hey,
144260	144900	we're setting up some,
144920	146980	some good seats for you on the stage.
147060	150560	We sat on the stage like 15 feet from the band.
150720	153640	All these people are in the audience looking at us,
153660	158120	wondering who's the old people up there and with Jane's addiction.
158540	159880	And at one point in the show,
159980	162340	Dave came over and while they're playing a song,
162420	164840	came over and crouched and took a photo there.
165780	167020	And it was fun.
167800	174520	The Viking was with us and had a great time and had a little conversation or two with him.
174560	175760	Just general stuff.
176360	177940	And afterward, we're surprised.
178140	182060	I don't know if it's the same night or the next morning, but Dave put something on Instagram, right?
182140	182700	What did he say?
183000	188380	Yeah, he was on Twitter, and it was this really cool post how he got to hang out with us.
188440	193180	And then he says something about March 3rd, 2026.
195160	197360	What he actually said, let me just read this.
197800	203300	He goes, thanks to my pals, George Knapp and Jeremy Corbell for coming out to see us this evening.
203440	209180	We talked about some things tonight and I'd love to share, but I'm afraid it's still classified.
209560	214400	All I can say is you may not want you may not want to make any plans.
214580	216260	March 3rd, 2026.
216580	219100	Well, you won't actually have a choice.
219320	220700	And then he put an emoji of UFO.
220960	221360	I mean.
222480	223380	Fucking hilarious.
223960	224760	Yeah, the guy.
224840	226100	It was it was awesome.
227800	230360	First thing I saw, I got a text, somebody screenshot.
231120	236580	And they're like, oh, there's George Knapp again, giving classified information to a rock star.
238040	239420	Yeah, I do that all the time.
239480	240540	You know, classified information.
240700	242200	I give it out to rock stars.
242380	245520	People in the street ask me for change, things like that.
245640	249680	Guys at the 7-Eleven, anybody really wants some, I'll give them classified information.
250360	255300	We did have some fun conversations, but no classified info discussed with Dave.
255380	256300	He was just having fun.
256380	257220	He was making a joke.
257800	263520	It should have been pretty obvious that it was a joke, naming a date when some dire event is going to happen.
263600	276560	And people basically crapped their pants over it, demanding that we be investigated and prosecuted and sent to prison for releasing classified info to somebody who doesn't have access to it and doesn't have a security clearance.
276780	277420	It was crazy.
278100	283800	All I can say is our pal Dave Navarro has a great sense of humor, and I loved he did that.
283800	288560	he did a little update said you know at the end said no we just talked about normal stuff sorry
288560	294140	not sorry like he did a little update it was great but um our our pal dan who works with the band
294860	300440	um you know he thought it was funny because he follows a lot of the the you know x wars
300440	306900	ufo x wars online and so he was getting a kick out of it i was like you know dan don't don't
306900	312080	take it too seriously man you know anybody that wants to um pretend something is what it's not
314040	321220	So they quickly learned, you know, you put your foot into the UFO waters on X and you better have some thick skin or, you know.
321320	326320	I know that I wrote back to Dave after he started to get those reactions and I said, just leave it.
326340	332400	Just ignore it. These people have no sense of humor. They're just goofballs. UFO goofballs.
332520	336860	Just leave it up there. But he then made a correction and then that became a conspiracy.
336860	344520	Right. Forced him to do it because our our our handlers in the secret government, the dark cabal told us to.
344840	356060	So, yeah, you know, but I will say the majority of people, not the vocal minority, you know, with personal agendas, just the majority of people thought it was fucking hilarious.
356300	364720	And so we have to keep that in mind is that, you know, the average person on X that is just passionate about this and following it.
364720	366300	They're just like you and me.
366360	367780	We are just like them.
367880	369440	They're just excited about it.
369480	370700	They want to learn as much as they can.
370880	380780	And X is just a great platform for kind of tuning into things before they hit mainstream news, although you have to sift through a lot of the bullshit.
381160	382700	I saw something else.
382780	384060	I mean, let's talk a little bit about that.
384120	392020	Let's talk a little bit about the kind of the noise to signal ratio that's caused by these kind of weird agendas on X.
392020	400820	I saw something floating around that you and I had recorded this massive whistleblower episode of Weaponize.
400820	403640	Somebody's doing like direct messages with someone else.
403700	407860	They're, you know, for days and they're listing out everything that you and I recorded.
408280	411780	And then at some point they're like, oh, but Jeremy killed it.
411860	413360	You know, I'm keeping it secret.
413700	414660	I've killed it.
414680	415820	It's no longer coming out.
415900	418720	Do you remember recording that episode of Weaponize, George?
418720	423260	George? Nope. I thought maybe I had an out-of-body experience and just missed the whole thing,
423320	426360	but I saw that online. I'm wondering what the hell is this guy talking about?
426980	432280	Isn't that hard though, when people like impersonate you or try to message other people
432280	438220	and they create these, I mean, it's very elaborate. It's such a distraction. It's so
438220	444160	hard to authenticate. That's why with most people and witnesses that I speak with, first thing I do
444160	449340	is jump on video like if i got their number i'm like i video call them right away so they know
449340	455000	it's me and i know who they are and a story but because you have all these kind of shrouds behind
455580	460800	you know where people can can fake stuff and man you know have we been seeing that lately people
460800	468040	pretending you know that we've done stuff or even to be us uh big news this week and we'll get into
468040	473260	it in detail in a little bit but lou elizondo's book imminent came out inside the pentagon's hunt
474160	479760	number one bestseller on the New York Times bestseller list. It's a big hit. Lou's been all
479760	484340	over. He went on with Rogan. He did some stuff on News Nation. He went on Coast to Coast with me.
484360	490000	He's doing interviews all over. Really interesting content that we'll get into in a little bit. But
490000	495460	there were several people who wanted to know why in the world we're not promoting his book
495960	501560	as it's coming out. Where are we? Are we on Team Stratton, Team Likowski? We're not on Team Lou
501560	505980	Lou, anymore? Why are we there promoting this thing? Which was equally hilarious.
507220	513540	Yeah, but first of all, I am listening to the book because Lou read his own book, which is so
513540	518480	cool. You can kind of hear just his voice, and it's kind of neat. So that's cool you got that
518480	525420	physical copy, but I'm actually listening to his book. I thought my photos of Lou and me arm
525420	530460	wrestling prior to the release of his book was a very supportive message to give people.
