start	end	text
0	2400	There's a live arrest warrant out on you now, right?
2440	3580	You can't go to the U.S. now.
3840	4900	I'm on the Interpol Red List.
5160	8880	The biggest military computer hack in all time.
9080	11680	We talked about the case of computer hacker Gary McKinnon,
11720	13580	on which the Prime Minister has expressed very clear views.
13820	15340	Well, I'm Mr. McKinnon.
15400	20960	We have proceeded through all the processes required under our extradition agreements.
21540	24040	I was just a guy, normal guy, interested in UFOs,
24060	27600	happened to have some IT skills, nothing genius level.
27600	31700	You hacked into the army, the navy, the air force, the department of defense and NASA.
32080	34520	They wanted to put you in prison for 60 years so...
34520	35120	Yeah, 70.
35440	36200	For 70 years.
36400	40860	And I bought potassium chloride and I was just gonna swallow it and have a heart attack and die.
41040	41700	Oh my god.
41940	44480	Mr. McKinnon is accused of serious crimes.
44900	49660	The reason that you are here today on this show is because what you found...
49660	55980	He found, he says, photographic proof of alien spacecraft and the names and ranks
57820	64640	non-terrestrial officers i was in my dressing gown up to like four in the morning smoking weed
64640	71800	drinking beer right of my life really the first one i looked at was the one where i saw the
71800	81200	picture and um so i double clicked this but it was very very slow i was on a 56k dial-up and uh
81200	83680	I was just thinking, my God, this is my eureka moment.
85100	88100	Then there's like slowly a hemisphere started appearing.
88420	89940	I'm thinking, fuck, that's a planet.
90340	91160	What the hell?
91340	92760	And then suddenly there's a big,
92760	94480	straight kind of silvery line,
96240	98120	cigar shaped object.
99380	100760	I see the mouse moves
100760	102620	and someone else is at the computer themselves.
103020	105500	They right clicked, disconnect, boom.
106020	106820	That was it.
106900	107680	I was cut out.
107680	110740	What do you think photographed it?
111700	112860	Very good question.
113100	117260	This spreadsheet was titled Non-Terrestrial Officers.
117780	119280	So, not on the Earth.
119580	120500	And that was incredible.
120860	124000	I had one very strange experience that I can't explain to this day.
124200	126480	I was suddenly woken up by a really sharp pain
126480	128260	that immediately I just went, oh.
128760	132680	In my left heel, there were two perfectly circular holes.
133260	133820	Wow.
135080	135640	Weird.
136060	137100	Explain what's going on quickly.
137680	138760	I can't turn my phone off.
138880	141700	You can see my finger is on the power button and both.
142000	143540	This is like a hard reset.
143720	144540	That's never happened before?
144720	146360	Absolutely, it's never happened before.
146600	147760	But you're with Gary McKinnon.
150580	152020	Ignition sequence start.
154000	155340	How is this possible?
156500	158080	Nothing too unusual about that.
160240	163100	Their existence cannot longer be denied.
171940	181440	Before we dive into the incredible story of Gary McKinnon, I want to shine a light on one thing his story reminds you of instantly, online privacy.
181740	191340	Gary is a brilliant self-taught hacker who pulled off what the Pentagon called the biggest military computer hack of all time, all from a bedroom in London.
191340	202040	In this interview, Gary goes into extreme detail about what he found in some of the world's most sensitive files, and I still can't wrap my head around what you're about to hear.
202240	207060	After hearing what he found, you might think he hit the ultimate UFO disclosure jackpot.
207260	211480	However, the moment he went online, a digital trail started forming.
211660	214080	Think about the moments most of us could get exposed.
214080	224760	It won't look like Gary's story where he broke into sensitive government systems, saw something truly unbelievable floating in space, and then had his access cut off mid-session.
224940	233020	For most of us, our risk exposure is usually much simpler, like joining hotel Wi-Fi, airport Wi-Fi, or even your office network.
233420	240920	Going incognito doesn't hide your browser from the Wi-Fi owner, and your internet service provider can just log what you do online.
240920	249340	That's why I use ExpressVPN. It encrypts and reroutes my traffic through secure servers and masks my IP.
249640	253340	I literally turn it on before doing sensitive research for the show.
253560	259400	Like looking into whether mid-century scientist Thomas Townsend Brown cracked anti-gravity in the 1950s.
259420	262120	That's exactly when I want my browsing to stay private.
262320	270160	So if you're like me and you like going down crazy rabbit holes, make sure your research isn't exposed on whatever WiFi you're on.
270920	272540	Thanks to our sponsor, ExpressVPN.
272540	278020	You can now get up to four extra months of your ExpressVPN service by clicking the link
278020	282900	in the description below at expressvpn.com slash American Alchemy.
283080	290080	That's expressvpn.com slash American Alchemy to get the privacy you deserve.
290480	294760	Thanks again to ExpressVPN for sponsoring today's historic episode.
294960	299900	Because if Gary's story teaches us anything, it's that your online privacy matters.
302040	309160	Legend has it that in 1943, the Navy tried to teleport a ship in what's now known as the Philadelphia Experiment.
309500	310680	And it kind of worked.
311080	316500	It disappeared, reappeared, and then half the crew got atomically fused into the ship's walls.
316980	318680	Others just vanished.
319560	321200	No one was where they were supposed to be.
321300	323420	Talk about a breakdown in communication.
323940	325720	And you know who was leading the whole project?
325900	330140	My favorite, the mid-century anti-gravity inventor Thomas Townsend Brown,
330920	336380	had a nervous breakdown that year due to the very poor communication among the team members.
336620	343960	You know what that sounds like. Your team, before you had Quo. This year, upgrade your system to a
343960	349220	workspace that keeps your team from shattering across dimensions. If you've ever tried to
349220	355520	schedule a meeting across five time zones and six platforms, you know the absolute horror of losing
355520	357700	Thank you.
385520	389780	Make this the year where no opportunity and no customer slips away.
390000	397940	Try Quo for free, plus get 20% off your first six months when you go to Quo.com slash Jesse.
398600	401820	That's Q-U-O dot com slash Jesse.
402520	405360	Quo. No missed calls, no missed customers.
405700	406880	Now back to the show.
407080	410220	This is such an honor. I am here with, uh...
410800	414680	He's been at the top of my list of people I've wanted to interview for years now.
415680	421680	And I'm so lucky to have this opportunity through James Fox, the great documentarian, Gary McKinnon.
421760	423700	Thank you. I'm glad to be here. I love your channel.
425000	426240	I've been a long-term subscriber.
426960	430320	So, yeah, I really like a lot of the interviews you do, and I'm glad to be here, too.
430500	435200	Let's just go back to the early 2000s.
435260	440740	Tell me the year and the day, and tell me about your life at the time,
440780	443180	and then I want to get into the actual event.
443840	444200	Okay.
445520	448620	I can't remember the date, but the year was 2000, early 2000.
449600	453360	And my life pre to that, I'd always had a deep interest in UFOs,
454860	456200	mainly from my stepdad.
457020	459600	He used to live in Falkirk, which is near Bonnybridge,
460360	461500	which is in Scotland.
461700	463600	It's like a Scottish UFO hotspot.
464340	466780	Many, many sightings, almost like a tourist attraction.
467020	468800	People go there to see UFOs.
469540	473760	And I had one sighting myself when I was about 12.
475520	480080	looking out of my bedroom window and I saw this kind of reddish orange glowing light
480080	483280	and it was moving in an arc from there to the horizon.
484120	486480	And it was, but it was like Brownian motion.
486560	487400	It wasn't a straight line.
487700	491500	It was like wiggling around and I just thought, what on earth is that?
492140	497700	And I was also a member of Bufora at the time, the British UFO Research Association.
498640	500980	Yeah, I was hooked from an early age.
500980	506040	and so i guess it only made sense that eventually i'd try and do something to
506640	512220	further my own interests and find out more um but unfortunately it involved breaking the law
513020	521320	sorry mom so so you already have an interest in ufos had you seen a ufo or like you know
521320	526400	just that one sight just that one sighting okay but i had my stepdad's stories he'd seen them
526400	529240	Um, his brother, my step uncle had seen them.
529360	529700	Yeah.
529840	533700	And, and, um, and so you have this personal interest and then do you have
533700	539260	like a hacking background or like, do you have any sort of like cyber background?
539520	540580	Are you really good with computers?
541040	542760	Um, no hacking background.
543120	544760	I used to, I was good with computers.
545060	552660	I had, uh, I started off an Atari games console in like 78, 79, and then
552660	556720	And eventually got the Atari computer, learned to program in BASIC at first,
556880	561060	and then machine code, assembler language, moved up from that.
561600	567780	And then eventually got jobs in computing, very low-level jobs to start off with,
567900	569900	network installation, Windows configuration.
571320	576780	Then did a computer science degree, which I eventually failed
576780	578900	because I spent too much time in the student bar.
580800	588940	But yeah, so I eventually ended up contracting, but at banks, quite high level stuff, but doing very basic sort of networking stuff.
589260	597120	So I had a good background in networking, especially Windows, knew how they communicated and some Linux stroke, Unix, Solaris, stuff like that.
598180	604580	So when, I mean, the internet came to Britain in 95, I think I first had the internet.
605220	608140	And the first thing I searched for was UFOs.
608900	612060	And it was very popular, loads of websites, loads of information.
613180	618280	And, um, fast forward about five or six years, I read the Disclosure Project
618280	620100	book, Stephen Greer and his team.
620960	624120	And they told you installations, locations.
625000	627020	And I thought I've got to have a look at this.
627120	628500	I wanted it from the horse's mouth.
628900	631100	I didn't want to just believe, I wanted to know.
631960	636520	And so I thought I could use my basic networking skills just to do a scan,
636520	641320	you know, a light scan on American military networks, which is mad now.
642740	644980	But back then it was just kind of like a playful idea.
645940	648420	And I wrote a Perl script.
649060	653160	Perl is a programming extraction reporting language, just a scripting language.
653800	657100	And I could run that across thousands of machines in minutes
657100	661900	and find a blank passwords or passwords that were either blank or password,
662080	663560	admin, a basic list.
664240	670320	And when you do like wide scale fishing like that, you do, you know, some fresh bite.
670800	675160	And that was my basic method to get the entrance to these places.
675420	681120	And so some of these extremely sensitive American military sites had blank passwords.
681680	682460	Big time.
682720	690440	That's crazy. I mean, although that seems beyond belief, it also makes sense. Like the government's
690440	700660	It's way more incompetent than often, especially people in UFO world give them credit for it because we assume they have workable reverse engineered crafts that they know how to use at will.
700720	703800	Or was it like you, of course, would have passwords set up.
703860	706480	But 2000 is early Internet.
706800	709400	We're still worried about Y2K, you know.
710040	713480	So like we didn't really understand how a lot of this stuff worked.
713580	714940	It was this big experiment.
715400	716400	And so, wow.
716500	720280	So that that sort of fishing thing came up with some some fish.
720440	725100	and as you said the government really isn't tailored for this especially the military
725100	732080	they don't well they didn't then employ specialized it workers they trained up existing military
732080	738140	employees in the you know basic techniques to run a network so they weren't advanced security
738140	742700	aware guys running government networks and military networks and are you so while you're
742700	747600	doing this are you just like sitting in a apartment or something it's a bit embarrassing
747600	752780	embarrassing um my girlfriend and i at the time we were living in her auntie's house on the ground
752780	762180	floor and um i was in my dressing gown up to like four in the morning smoking weed drinking beer
762780	769000	just like right of my life really for you know a young ish guy i think i was 36 at the time so
769000	774800	yeah i uh you know i don't think that's um embarrassing for you i think it's embarrassing
774800	777120	for the sites you hacked into.
778180	782780	Okay, so you're getting a little late night buzz
782780	785840	and you're at your girlfriend's aunt's house
785840	788620	and you're just like, I want to find,
788700	792160	I want to know for myself what's going on in UFO world.
792280	793920	You do this blank password search.
794780	796520	You actually come up with some results
796520	798520	as far as sites that you can get into.
798900	800340	What do you look at first?
801600	803840	Well, the first thing I had to do was test my method.
804800	806360	So I did that on British sites.
806520	809260	We're currently in Cambridge, home of the famous university.
810380	814680	I had Cambridge's FTP server, file transfer protocol server,
816300	817820	and Oxford as well,
818720	822080	and a couple of polytechnics at the time, which are now universities.
822760	825140	And I realized the technique worked.
825220	829080	If you cast far enough, a wide net, something's going to come in.
