start	end	text
17900	27080	The one thing that convinced me beyond anything else that I had access to was listening to
27080	32800	this Air Force sergeant female who was abducted countless times,
33000	36440	went through literally torture by these extraterrestrials,
36540	38280	having marks on her hands.
38420	41360	He took her fingernails off, her toenails off,
41500	44700	bleeding from the eye, ruptured her eardrum once.
45060	51500	And then a lot of things that we did in a surveillance capacity
51500	55060	to confirm what she says,
55060	61740	Because that convinced me that there are, that they weren't humans doing this to her.
61860	62720	You surveilled it?
63800	65560	We set up a surveillance.
66720	68700	And that's about all I can say.
70020	73660	She lived in a two-story, real small apartment.
73940	75520	And her bedroom was upstairs.
76120	82760	And we knew that she would be taken during a time period.
83660	93900	So this is a multi-pronged, multi-faceted, multi-departmented sting operation in order to capture this.
94380	96440	Yes, that was successful.
96720	99420	There were some that weren't, but that was successful.
99880	101960	That's a fact, and she's a whistleblower.
102860	110800	And she would be the number one person I would put in front of a camera if I was a member of Congress.
111140	111820	Whoa.
112760	116220	A mentality regarding they can't be hostile.
116680	120000	They're all benevolent is absolutely out the window.
121520	122540	Are they on here?
123580	124440	Yeah, they're on there.
125660	126700	I'm going to show you something.
128980	129460	Okay.
133840	134320	Wow.
135640	137220	Is that something you've seen before?
138120	139020	I can't say.
139880	140980	I think you just did.
145780	150240	I've had several strange experiences in my life potentially related to ET phenomena,
150620	153020	but this story is in regards to levitation.
153540	157200	When I was 9 or 10 years old, I was walking home from a friend's house.
157680	162480	As I would sometimes do, I decided to run as fast as I could and jump as far as I could.
162820	169340	I did two jumps, both of which I measured from where I landed back to the stop sign that was my jumping off point.
169520	171300	They were maybe 5 to 10 feet.
172760	178740	to do one more, went back a ways and ran towards the stop sign. As I jumped, I suddenly became
178740	184840	aware that the air seemed very silent. I also had a strong experience of weightlessness
185760	192400	and extreme forward momentum, more than the last two jumps. I came down at a dead stop
192400	198940	on both feet, feeling almost zero gravitational influence. Tracing my steps back to the stop
198940	205320	sign. I counted over 30 steps. Within moments, I heard crickets, cars in the distance, lawn
205320	211380	sprinklers, all of which had faded away while I was in the air. I tried hundreds and hundreds
211380	218500	more times. I never even came close to the same distance. And it wasn't a dream because I told
218500	224020	my mom when I got home. She didn't believe me, but remembered me telling her when I asked about
224020	227580	about it later. I don't know. It's a big, weird world.
228180	233600	Ladies and gentlemen, today we are joined by none other than Richard Doty, former AFOSI
233600	242580	officer. You've got quite the history, good sir. You've got a lot in your past in terms
