start	end	text
0	4460	So what do you make of like the Gravity A, Gravity B idea from Bob Lazar?
4820	6620	People can invent lots of stories.
6700	11120	We know that throughout human history that people were telling stories that were not true.
11240	17960	I just thought it was interesting because the project that Bob had allegedly worked on was called the Galileo Project.
18220	20480	Did he say that before I established the Galileo Project?
20520	21380	He said in the 80s.
21640	22800	Oh, interesting. I didn't know that.
22920	24400	He's not a practicing scientist.
24600	27480	I'm talking about people like Neil deGrasse Tyson.
27640	28820	He's not practicing science.
30000	35680	wrote the last paper, maybe 15 years ago or before that. You know, he's trying to gauge where the
35680	42180	wind is blowing and basically trying to be popular. He's basing his assessments on the number of
42180	47660	likes he would get. Heard of people in, actually, who are attached to Harvard, you know, I think of
47660	54440	John Mack. John Mack looked into reports from people who claim that they were abducted. Now,
54520	59660	mental institutions are full of people who claim that they are Napoleon, and none of them is
61880	68220	There was a new program that started a year before and they recruited me as one of 25
69040	73260	people out of thousands that were going to the military.
73340	76720	I was the first one to finish a PhD in that program at age 24.
77000	82800	I started the project that was the first one to be supported by Reagan's Star Wars initiative
82800	87580	and it was just accelerating masses to high speeds
87580	90900	using electric energy instead of chemical.
91180	94280	I call upon the scientific community in our country,
95200	96800	those who gave us nuclear weapons.
97160	101680	And that was the first project funded by the Strategic Defense Initiative
101680	103720	at the time, SDI or Star Wars.
103920	107880	Haim Eshed, who's the father of the Israeli space program.
108180	111400	Right, but he was in the intelligence as well.
111540	111780	Yes.
112800	114040	probably where he heard the...
114040	115200	But I mean, he was also responsible
115200	117280	for putting 13 satellites up into space.
117320	119440	Oh yeah, but that was not the source of information
119440	121360	that he claims to have had.
121420	123080	I think he was referring to things
123080	124880	that he heard while being in the intelligence.
129520	130620	Hey, my name is John.
130840	133220	I had an encounter that was the single most
133220	135900	life-changing experience I've ever had.
136080	138720	And one evening, just as the last light of dusk was fading,
138880	140060	I was backing out of the driveway
140060	142440	and I saw a little red light on the horizon
142440	143740	calling ass towards me.
143820	145180	And it went right over the top of me
145180	146860	and disappeared into the clouds.
146960	148080	So a few minutes later,
148160	150780	I'm driving down this desolate one lane desert road
150780	152480	and I get this really weird feeling
152480	155220	like something in my head is telling me to look behind me.
