start	end	text
0	3200	Was it then the kind of cigar-shaped disease tip tanks?
3480	4880	No, more egg-shaped than anything.
5340	12060	A farmer in Newark Valley, New York, saw two occupants in an egg-shaped crash.
12640	17480	But they didn't fly off the second they saw Mr. Wilcox.
17700	23780	In fact, according to him, he spent two hours conversing with these Martians.
27240	36460	So several years ago, my two closest friends and I were out in the driveway lying down stargazing.
37460	50320	And we all noticed a black, deep black, rectangular something moving across the sky steadily at a fairly low altitude.
50320	56060	It was either low altitude or it was an incredibly large object.
56980	65740	It emitted no sound, no light, and we could all clearly tell that it was blocking out the starlight from behind it.
66820	72220	All these years later, we describe it affectionately as the flying refrigerator.
72860	75980	Ladies and gentlemen, welcome back to another episode of Debriefed.
75980	82100	My name is Chris Ramsey, and today we're going to be taking a look at a case that happened on April 24th, 1964.
82600	89720	Now, if you Googled that date and typed UFO beside it, you would probably come up with the case of Lonnie Zamora,
89900	94180	the police officer who chased down a UFO in Socorro, New Mexico.
94680	98420	Instantly, Socorro was the center of an unprecedented media frenzy.
98600	102020	This is one of the few sightings that got national attention immediately.
102460	105200	Lonnie Zamora's story is on the national news.
105980	108580	All the newspapers, everybody's talking about it.
108640	112360	The police officer, the occupants retracted back into the vehicle,
112440	117560	and then the rocket sort of shot up into space over Lonnie's head.
117720	121400	But no, folks, that is not the case that we are going to be looking into.
121540	127780	The case that I propose is one of Gary Wilcox, a farmer in Newark Valley, New York,
127920	134280	who on the same day, just a few hours prior, saw two occupants in an egg-shaped craft.
135980	144260	fly off the second they saw Mr. Wilcox. In fact, according to him, he spent two hours conversing
144260	150340	with these Martians. So folks, that's what we're going to be looking into today. I am very excited
150340	156760	about reading through this. This read-through is courtesy of the Flying Saucer Review magazine.
157440	163100	We'll be reading from an excerpt from said magazine today. The reason I wanted to cover
163100	168960	this is because it doesn't only cover Gary's encounter with the beings and the saucer,
169020	174940	but it also covers some of the sort of psychological evaluation that Gary went through
174940	181380	and the psychiatric study into the examination of Gary Wilcox in his home, which I think is a
181380	187520	pertinent piece of information if we're going to talk about a sort of, I promise, I swear,
187520	202800	Trust me, bro, this happened. I think the least we can do is verify the veracity and the psychological evaluation of this individual, which is what we're going to do through this here article written by Berthold Eric Schwartz.
203060	213980	There was a telephone call interview done just a short while after with Mr. Wilcox, and I'll leave the link to that below. Here's a snippet.
219660	233180	So in this article, we also go through the interview held by Priscilla Baldwin, a former neighbor of Gary Wilcox.
233540	240060	She was 37 years old at the time, and her occupations and background, given UFO literature, include
240060	244600	She was a legal secretary and also a radar technician during World War II.
244920	254340	Now, as soon as this happened to Gary Wilcox, he was told by the alien beings, by the way, not to spill the beans and not to talk to anyone about this.
254420	260320	But being, you know, a salt of the earth sort of farm boy, he came home and told his mother.
260680	263180	Didn't explicitly tell her not to tell anyone.
263180	273440	And then she ended up spilling the beans, which reached the ears of Miss Baldwin here, who eventually supplied crucial information about Wilcox's story.
273640	275580	Went to go see the neighbors and friends.
275820	277160	She contacted all these people.
277240	282460	She recorded a set of notes on April 28th with a Q&A, which we'll be going through.
282620	291640	She accompanied Wilcox to the site on April 29th, for which we have a photo of, you know, the alleged landing site.
293180	299320	up contacting the Tioga Sheriff County's office, lending her notes to Officer George Williams,
299500	304440	who incorporated them into the official investigation. Now, there are certain rumors
304440	310960	out there that Ms. Priscilla Baldwin may have had a little bit of a, I don't know, a previous
310960	318380	relationship with UFOs, given that she was a radar technician during World War II. She had technical
318380	323840	familiarity. And because she knew Wilcox and considered him trustworthy, she was motivated
