start	end	text
0	2480	And if you looked at a particular place over Secret Mountain,
3220	8060	you would see this big orb being escorted by helicopters
8060	10420	rising from behind Secret Mountain.
10540	13740	And we watched at 1.30 in the morning, and sure enough,
15240	18680	up comes this beautiful golden orb, gigantic.
19000	21160	It pulses, it's plasmatic.
21400	23860	And so where my mind might go with that
23860	26880	is that this is some sort of global control system.
26880	33020	but an object about a mile behind us and it's following us let's hope they're friendly one of
33020	39500	the first things that one of my sources in that georgetown pub back in probably 2018 told me
39500	47360	was it's all about consciousness you probably met more people in and around these programs than
47360	54340	anybody else alive you are saying to the human race we are not alone we're definitely not alone
54340	54520	Whoa.
55780	57180	Anyway, he chuckled.
57940	59560	And I remember he just said something like,
60720	63740	yeah, the Americans wanted that one shut down pretty quickly.
64160	64480	Whoa.
64820	69280	It's a multi-minute long video of this thing flying in the air.
69320	69340	I see.
69480	72620	And there are symbols around the top.
72760	78260	I showed photos of the symbols to Mario Woods and to Randy Anderson.
79340	80880	And both of them freaked out.
80880	101940	We went to his home and saw this sphere apparently move under its own power. People have been murdered. Because I'm told that the briefing that the FBI gave in Congress really blew people away. I have no doubt they think they're going to get away with it. And you know what? They probably will.
105480	111400	I'm here with Ross Colthart, who I have just so much gratitude to express.
111540	114660	First of all, we've been waiting to do this for a very long time.
114720	116000	I'm grateful you're in the U.S.
116080	116740	I haven't been avoiding you.
116980	118340	I know you haven't.
118660	123700	But I'm also, I just want to express my gratitude because we were talking before when the cameras weren't rolling.
123900	127840	I feel like I am aerodynamically drafting behind you.
127840	147480	I feel like you have done so much legwork in getting all these amazing scoops. And, you know, often I'll do, you know, a follow-up interview where, you know, I have a lot of fun. But it's really, I just have so much, I owe you a debt. And I think humanity owes you a debt as well. And so I'm grateful for you sitting down.
147480	162060	It's a mutual admiration society, Jesse, because I often say to my family, how the hell does he do it? You seem like a jackrabbit everywhere I see you. Have you just come back from Columbia or something? You're doing a boogersphere story?
163060	164820	Yeah, well, this is what's crazy.
164940	171700	And I know you've experienced, I'm sure, all sorts of stories where it starts a certain way and then you have another story come up.
171780	178700	So I was investigating these Peruvian mummies, these tridactyl, three-toed and fingered mummies from Peru.
178920	184900	And then on the way back up to the U.S., I stop in Mexico City to meet with Jaime Masan, who's a big proponent of this.
184980	190380	And two days before, he happened to get this buga sphere sent to him or whatever.
190560	192480	And so I happened to be there.
193060	196060	I've got to know, what's your preliminary assessment? Is it real?
196520	198020	It's so hard to say.
198180	201720	Did you see what my friend Roni Vernet posted on Twitter?
202780	204200	Repeat it for the audience.
204200	226120	A fuel tank. So there's a particular shape of fuel tank that is exactly nine liters, and it's got similar holes to the one that Yami is relying on. And it does have the same seam running along the side. It looks like a direct visual match with a few changes if somebody's cosmetically altered it.
226120	233680	it's definitely remarkable just the fact pattern so as you know very well whenever you take a
233680	240520	stance a hard stance in this world you get a ton of flack so i'll just give you my fact pattern of
240520	245200	what i've experienced and then people can sort of decide for themselves so jaime masan was given
245200	250380	this thing it was taken in buga colombia that's why it's called the buga sphere um it was given
250380	251380	given by a guy.
251840	254900	So this video was taken by this guy who is,
254980	260600	I guess he does mining and metal detection underground.
260900	264400	And it's a very long, it's a multi-minute long video
264400	266320	of this thing flying in the air.
266520	267560	You've seen the video.
267800	270140	And then he picks it up in the forest
270140	271660	and there is a little gap in the video.
271760	274900	So that does beget a question of provenance
274900	276620	and why is there a gap in the video?
276960	279540	And then he has it for a while in his possession.
280380	287460	to Jaime Masson. And there are symbols around the top. Apparently it's an aluminum alloy that's,
287460	291980	you know, three times the hardness of what we generally use in conventional aerospace.
292560	298000	And then maybe the most interesting fact I can give you that is new to the audience as well,
298100	304720	is I showed photos of the symbols to Mario Woods and to Randy Anderson, Mario Woods,
304720	307560	1977 Ellsworth Air Force Base Experiencer.
307940	313680	And then Randy Anderson is this guy who was taken underground, you know, at Crane, Naval
313680	317380	Surface Warfare Crane, and was possibly shown some off-world technology.
317660	322540	And both of them freaked out because it was like these were the symbols that they had
322540	323480	both seen.
323680	324700	Mario inside the craft.
324920	326360	I want to give you something because I'm not sure.
326500	331460	And again, again, I am not avowing that this is my opinion.
331640	333600	Neither of us are endorsing the Boogers here.
334720	339100	facts that we are listening. Neither endorsing nor debunking. That's right. But I did what I'm
339100	345000	increasingly doing these days. I took a photograph of the sphere and I uploaded it to AI and I asked
345000	350140	AI, in this case, I think it was Groke. And I said, can you please decipher these symbols for me?
350660	357800	And it came back very quickly and said, the circuit. And that, I have to admit,
357920	364300	made me think it was a hoax. Now I'm not saying it's a hoax. Okay. But what I am saying
364720	371700	is that came back when I put it through AI, but AI is often wrong. But what I love about AI is
371700	376580	that its ability to draw on symbology and numerology and all of these ideas. And it came
376580	382040	back with this one phrase, the circuit. Well, if you look at the top, it looks like a little
382040	386600	semiconductor or a chip. And then you have, you know, this begets all these ontological questions
386600	392060	of like, you have, I think his name is Patrick Jackson, who has, you've done an amazing story.
392060	394580	Sure. Everybody go watch Ross's story with this guy.
394820	403780	And I have seen one of these spheres in a different domain in the home of a beautiful man in Texas who is a good soul.
404060	417200	And I can tell you, it may be the case that his sphere is now in the possession of Brandon Fugel and the Skinwalker Ranch show is going to be paying to have that sphere properly investigated.
417420	418220	There's a scoop for you.
418300	418840	That is-
418840	419880	I was going to run it on my show.
419880	427480	Yeah, so Jim Marlin is a former rock promoter who worked with Willie Nelson, and he has a house in Texas.
428700	440640	And we went to his home and saw this sphere, I have to be careful, apparently move under its own power.
441540	444840	And I mean, we were sitting with Jim for hours talking.
444840	450740	walking and he was in a home where the floor had just been fixed so it's perfectly level and we
450740	460820	verified that with a level and the ball is sitting stationary on the floor and then all of a sudden
460820	467460	it starts moving and there's a bar which has a pole coming down onto the floor it goes up to the
467460	472160	bar and from memory it might have even circled the pole and then come back again part of the way
472160	480240	and there was no movement we were all just sitting in a chair talking and then jim chortles and goes
480240	486440	and it moves yeah was there something that came up in the conversation was it aligned with anything
486440	496040	synchronous no and so when i ran that story on um channel seven australia they as usual as tv
496040	500660	networks or want to do beat the living daylights out of it which is a journalistic term for
502080	511920	bleeds. And all the promos were fancy and it made it look like we were saying for sure that
511920	518780	it was an anomalous object. We truly don't know for sure. And the great frustration for me
518780	528800	for the past few years since I did that story in 2021 is every time I went to Jim and asked him,
528800	534860	could we take it to go and get it tested? There was a lot of resistance and it made me suspicious,
535600	541620	but then he agreed to go and let it get tested. But the problem was when I was trying to find
541620	546720	an x-ray place that does industrial x-rays, the first thing they want to know is, well,
546840	553960	what's inside it? And I'm going, well, that's why we want to x-ray it. And I was expressing
553960	559380	this dilemma only very recently on a show somewhere. And this gentleman rang me from Chicago
560380	567240	and said that he would X-ray it in his industrial X-ray machine. And he had some other type of
567240	574200	machine. Can't remember what it was. Might've been a CT. I'm not sure. And he would run it
574200	581080	through that as well. And it was for free. And I went to Jim and I said to Jim, Jim, I finally found
581080	585820	a place that can test the ball for you, the sphere for you. Because one of the things I get most,
585880	590400	a lot of the inquiries about from our audience is what happened to the sphere? Why haven't you
590400	596240	told us the story about the sphere? And I was finally about to announce that we've got somebody
596240	600340	who will allow us to do the testing on the sphere because Jim won't let us cut into it for obvious
600340	608760	reasons. And he told me, I'm sorry, Ross, Brandon Fugles agreed to fly it in his private jet to
609280	613480	Utah where he's going to have it tested in the lab. And look, frankly, I'm really happy
613480	620920	if that's going to be the case for Patrick, who I know, and for Jim, who's a beautiful guy,
621880	626900	to finally get an answer. And Brandon, I've spoken to Brandon about it and I've encouraged him to
626900	632040	do it. And so hopefully it's all going to happen. Fingers crossed.
632300	637100	Yeah. Let's hope. That's amazing. And I think Patrick, because you were talking about the chip
638760	645200	might go with that, again, I don't know if it's real, is that this is some sort of like global
645200	650640	control system or something. Well, Patrick's theory is that these spheres are part of a global
650640	658500	defense system by some alien civilization to keep the bad guys out of Earth. Right. And I quite like
658500	664780	Patrick. He's a very clever man. Yeah. He has an eclectic intelligence and he's fun. I honestly
664780	666180	don't know how he could know that.
666320	666600	Right.
666700	667240	Sure.
667460	671360	And so, I mean, a lot of it is speculation and he's got type one spheres and type two
671360	677460	spheres and often there'll be a photograph of a plane and you do, you see these spheres
677460	679960	around planes in UAP events.
680180	685140	So there's often a big, let's call it object rather than a craft.
685400	690240	There's a big object that's clearly anomalous, sometimes beside an aircraft.
690240	696280	craft. And then if you look really closely, you'll see these dots that are these metallic spheres.
696840	704340	And when I did that story, I did that in 2021 for Australian TV, it just went nuts. It's been
704340	710040	seen that particular story, if you add the two iterations of the story, because we had to take
710040	718180	one down because of copyright issues with music. It's been seen over 43 million times. And so I
718180	723520	I was getting phone calls, messages, emails from people all over the world, including,
723580	728840	I remember a beautiful guy in Africa who told me that they were seeing these spheres.
729920	737920	And what I can report is whatever they are, I do think I can say they're real.
738020	739040	They're a real phenomenon.
739420	745880	Whatever they are, they're metal spheres with no visible means of propulsion.
745880	751980	propulsion, dozens of people have told me that they've seen them flying or moving under their own
751980	760980	locomotive power. There's no visible way in which they're moving. And I don't honestly know what to
760980	768240	conclude about them because, I mean, I expressed the enigma by telling the story, but like so much
768240	774160	of this whole story, Jesse, I don't know about you, but I often feel like I've got my eyes closed
775880	777840	and trying to get an idea about what it is.
777960	780320	And then as soon as I've got the texture
780320	782380	and the feel of what's been in front of me here,
782540	785580	I realized there's a whole other room over here of stuff
785580	787280	that I've never gotten my brain around.
787540	793480	And it's mind-bogglingly complex, whatever it is.
793680	795280	This episode is brought to you
795280	797740	by my favorite new product, Masa chips.
798180	799360	Here's a quick history lesson.
799560	802120	Before the 1990s, all chips and fries
802120	803700	were cooked in beef tallow.
803700	808860	Then the big food companies swapped this ingredient out for cheap, highly processed seed oils.
809080	813320	Today, seed oils make up 20% of the average American's calories,
813460	818720	and they're linked to all sorts of bad things like chronic inflammation and metabolic issues.
819000	821140	Masa decided to rewind the clock.
821400	824960	They make tortilla chips with just three simple ingredients.
825280	829860	Organic corn, sea salt, and 100% grass-fed beef tallow.
829960	832180	No seed oils, no weird additives.
833700	838940	way better too. Masa chips are crunchier, more flavorful, and they don't disintegrate in guac
838940	844540	like the usual ones. But the real difference is how you feel. Light, satisfied, no crash,
844860	850420	no bloat, and no weird craving spiral an hour later. I've been snacking on them non-stop while
850420	855860	working on these shows and they actually keep me sharp. Masa chips are beloved by tens of thousands
855860	860760	of customers and have been endorsed by industry-leading health and nutrition experts like
860760	867740	Ben Greenfield and Gary Brekka. So ready to give Masa a try? Go to masachips.com slash jessiemichaels,
867800	875560	Michaels with no A, and use code jessiemichaels for 25% off your first order. That's masachips.com
875560	882120	slash jessiemichaels and use code jessiemichaels for 25% off your first order. You're really
882120	887000	helping the channel out when you use that code and this is a product I love and consume just
887000	887680	Just about every day.
888400	895560	Part of what I want to do in this interview is so many people are used to seeing you in the context of breaking these bombshell stories.
896480	902200	I want to get to know the man behind that because you are often the interviewer.
902400	908400	And so how did you were, you know, exposing corruption and stuff with the surveillance state in Australia, right?
908460	910680	How did you get into UFOs to begin with?
913060	920660	like every kid i was obsessed with doctor who and i i i loved a show called ufo that was on tv it
920660	926420	was a british series um about malevolent aliens invading earth and there was this secret
926420	930880	organization called shadow that was defending earth but i'll be honest i always saw that as
930880	937360	fiction and i accepted it was fiction i never believed it was true and even when in new zealand
937360	947540	where I was living as a kid, there was a really big UFO incident in 1978 when I was 16 years old
947540	952860	in a place called Kaikoura on the east coast of the South Island of New Zealand.
953000	958440	And there was a cargo aircraft flying up that coastline in 1978 in the middle of the night.
958720	966340	And the pilot and the co-pilot had these objects, clearly in their view, elliptical,
967360	973000	disc-shaped objects come right up to the cockpit window, glowing, but clearly metallic, and then
973000	981280	go away again. And what was interesting was that it was another kind of Nimitz story because you
981280	988480	had sensor systems. I found the guy in Wellington across Cook Strait, who was the radar operator on
988480	994120	the night, who'd seen these things on radar. And as the two guys who were the journalists
994120	998520	on the aircraft were describing the objects, say, going to the west,
999100	1003000	the radar operator, John Cordy, was seeing them go to the west.
1003140	1007440	I have a strong target at 12 o'clock to you at 2-0 miles.
1009040	1014160	Roger, we have that one also, and quite a good visual display at the moment.
1015200	1016040	It's showing light.
1016780	1019360	Hey, Sabin, it looks like a collection of light.
1020180	1020620	Welcome.
1020620	1034300	So you had this contemporaneous real-time confirmation of solid objects moving, or at least objects that registered on radar, moving in the directions that these witnesses were saying that they were seeing these objects moving.
1034400	1043340	And they were seeing objects that were plasmatically glowing, but at the same time clearly solid, structured, in their words, craft.
1043560	1049060	We just heard from Wellington radar that we've got an object about a mile behind us and it's following us.
1060020	1067740	And for each of those people, it was a transformative moment.
1067980	1070720	But what was really interesting for me as a journalist was
1072240	1076500	I bought, as a teenage boy, the official government explanation.
1076500	1082940	the nation. And I was doing my exams. I was really focused on my studies. There'd been the
1082940	1088400	Valentich story of a young boy called Frederick Valentich who had disappeared in his Cessna
1088400	1094220	aircraft flying over Bass Strait in Australia just a few months before. And as somebody who
1094220	1099300	was really already very interested in the media, I kind of bought into the idea that this is all
1099300	1104560	a big media beat up because there's a big problem in the December, January period.
1106500	1111880	holiday period, the news is pretty boring. And so this was obviously a story that the media had
1111880	1119380	leapt onto. And I just thought, yeah, this is just a big media beat up. What was interesting also was
1119380	1123960	that the government had come out with an official explanation very, very quickly, which said that
1123960	1129140	these were squid boat lights. And in New Zealand, there are these big Japanese fishing fleets that
1129140	1134560	go off the coast with these gigantic lights. And you often saw them as a kid and they were glowing
1136560	1141640	and so the theory that was pushed by the New Zealand Air Force was that these were squid
1141640	1146840	boats lights and the captain the co-pilot of one plane and the captain the co-pilot of another
1146840	1152180	plane even though they were flying at 14,000 feet they were mistaken and those objects were below
1152180	1157440	them and it was some kind of refraction in the air blah blah blah blah blah it all gave a reasonable
1158280	1164140	tinge of explanation that made everybody in New Zealand think oh that was just a bullshit story
1164140	1169820	during the Christmas season, it's all over. For me, though, it was interesting because much,
1169920	1175020	much later when I became a journalist, I was working for the New Zealand Herald newspaper,
1175120	1180300	and I met Sir Robert Muldoon, who was the former New Zealand prime minister. And he used to do
1180300	1187660	these convivial little chats at Christmas time where a young reporter, me, had to drive up and
1187660	1192220	interview him and talk to the former prime minister about whatever he wanted to talk about. And I
1194140	1199460	been the prime minister at the time, I decided to ask him, what about that Kaikoura UFO thing
1199460	1205140	that happened when I was 16? And by that time, I think I was about 19 or 20. I can't remember.
1206120	1209720	Anyway, he chuckled. And I remember he just let something like,
1211000	1213940	yeah, the Americans wanted that one shut down pretty quickly.
1214220	1214660	Whoa.
1215580	1221200	Because I love espionage stories. And I love, as a young New Zealander, I was always focused
1221200	1227160	focused on books about espionage. And as you referred to earlier, one of the biggest stories
1227160	1233000	I did in my time in Australia was I revealed the existence exclusively of the Echelon
1233000	1238180	Communications Surveillance System, which is what the Five Eyes operate to intercept
1238180	1244880	communications. And for the first time ever, I got from an intelligence service in Australia,
1244980	1250220	an official admission that there was a system called Echelon and it was involved in
1251200	1268100	And so I was switched on to that issue all my life. I've always been really interested in spies and espionage. And so it twigged my interest that Sir Robert Muldoon was describing this admission that there'd been some kind of American intervention, but he wouldn't go any further.
1268720	1288560	And then much, much later, when I was writing my book, I discovered that there'd been this release of the New Zealand archives in about 2011. And it essentially revealed the detail of what went on inside the Air Force in New Zealand to try and fix this problem as fast as possible.
1288560	1308540	And it was quite clear these Air Force officers had been told, find a fucking solution as fast as possible. We want this off the front page. And it was quite clear, enormous amounts of pressure was being put on the chief of air staff, the head of the Air Force, by the prime minister's office to make this one go away, and hence the squid boat explanation.
1308540	1313640	explanation. And then when I was writing my book, I met Quentin Fogarty, who'd been one of the
1313640	1319560	reporters on the plane, who by complete chance, his son, Ben, was one of the chief cameramen at
1319560	1325200	60 Minutes where I was working as a reporter. And so Ben said to me, my dad was the guy who
1325200	1330000	was on that plane that night. And so I got to meet his father, another weird serendipity.
1331260	1335440	And another one of the reporters was a political correspondent called Dennis Grant of great
1335440	1342240	renowned later on in Australia. And Dennis confirmed all the story. And he introduced
1342240	1349720	me to Bruce McAbee, who was the atmospheric physicist who sadly recently died. And all of
1349720	1357080	a sudden I realized that the story that I'd bought as a young teenage kid that basically told me
1357080	1364680	this was bullshit was actually completely untrue. And there'd been a really elaborate
1365440	1372340	cover-up. And that fascinated me. And it was one of the, because I actually started out writing my
1372340	1379800	book in about 2018 when I left 60 Minutes. I thought I wanted to do a book debunking UFOs.
1379800	1386600	I was arrogant and I had this assumption that all UFOs were nonsense. And it was only a matter of
1386600	1392800	time. I'd read Nick Cook's Hunt for Zero Point. He'd implied very strongly that there was some
1392800	1398400	some sort of secret US aerospace program. We obviously have heard all the rumors about the
1398400	1404400	Aurora or the TR-3B, and I just assumed it was some kind of black world American technology and
1404400	1409300	that a bit of dutiful digging would no doubt reveal this. And somehow, for some inescapable
1409300	1414660	reason, I would discover it and make my name by revealing that the whole UFO story was complete
1414660	1422120	nonsense. But the more I got into the story, because of that Kaikoura story, everywhere I went,
1422800	1425460	Everybody was telling me this is real.
1425580	1439020	And so I had sources from the original Echelon investigation I'd done and from people I'd met in Afghanistan and Iraq when I covered the war who were in senior levels in intelligence and defense.
1439540	1449180	And they facilitated introductions for me to people who privately, when we sat over a table in a bar, said, Ross, this is real.
1449460	1449980	Yeah.
1449980	1458120	And that only really happened for me more recently, you know, while I was writing my book.
1458520	1476060	And probably the biggest breakthrough moment for me where I went, holy heck, this is real, is when the technique I'd used to try and investigate this was because of my knowledge of Echelon.
1476060	1480080	and how easy it is to intercept digital communications,
1480960	1486440	I decided I wouldn't approach anybody that I thought might know something about this
1486440	1489640	other than by using analog communication techniques.
1489840	1492960	I wouldn't even use phones because, of course, there's a metadata,
