start	end	text
0	2300	Mysterious drones over New Jersey?
2540	4380	The nationwide sightings of mysterious drones.
4500	6760	Weeks of mysterious drone sightings.
6800	10800	You're telling me we don't know what the hell these drones are in New Jersey are?
11140	11700	That's right.
11860	13420	They're saying no threat, but how the hell do they know?
13600	14280	They don't know anything.
14480	15280	They don't know what it is.
15400	16300	They don't know where it come from.
16520	20800	Tip of the iceberg would be a gross understatement for that headline.
21040	22900	More like tip of a sunken continent.
23180	24060	No, that ain't no plane, yo.
24220	25960	What the fuck is that, bro?
25960	30620	People in New York and New Jersey see drones the size of an SUV over their house every night
30620	32140	and think that that doesn't make any sense.
32320	35940	Shouldn't they understand why people would be looking at this and being concerned about it?
36180	37400	We're concerned about it too.
39720	42660	The U.S. Air Force says they're drones. Don't you fucking believe it?
42720	43900	The U.S. Air Force lies.
44320	45480	There was a drone just hanging out.
45660	47840	I put my drone up in the air and went towards it.
47920	50540	Not three minutes into the flight, the drone started going down dead.
50660	51800	These are fully charged batteries.
52280	55660	What's going on here isn't new, and these aren't all drones.
55960	57280	You see it? You see how it goes?
57660	61360	And they're not just over New Jersey. They're all over the world.
61540	65760	There were several mystery drone flights over our nuclear testing range.
66040	72220	Just take a look at all of the military sites all over the world that these drones have visited.
72480	77640	This is the continuation of a story that's been unraveling since the dawn of the atomic age.
79900	87780	Based off of the information that you've been privy to, is there any indication that these UAPs are interested in our nuclear technology and capabilities?
88380	88760	Yes.
89100	92260	By external observation, sure, that could be a fair assessment, yeah.
92440	92960	Yes.
94640	99940	After the detonation of the atomic bombs in Japan, that's when the UFO sightings ramped up.
101160	106140	When Oppenheimer detonated the world's first atom bomb at Trinity Test Site in 1945,
107640	112000	as Edward Teller's hydrogen bomb shook the South Pacific in 1952.
112460	116020	Since then, UFOs have been systematically surveying
116020	120420	and even tampering with our nuclear weapons, stockpiles, and power plants.
120680	122900	All 10 missiles were off alert. All 10.
123720	125360	The whole flight was off alert. All red.
127780	131000	And I said, it looks like we got a UFO.
133680	137200	UFOs consistently appear at nuclear weapons facilities
137640	139220	energy grids around the world.
141300	146380	From Los Alamos to Hanford to Oak Ridge to Malmstrom to Minot to F.E.
146380	151800	Warren to Savannah River site to Royal Air Force bases in the UK and nuclear sites in
151800	158220	the former Soviet Union, UFOs are seen hovering over silos, tampering with comms links and
158220	160740	even disabling nuclear missiles themselves.
161240	162860	They were not launchable.
162960	164420	They were in no-go condition.
165140	170080	And if you want to learn all about it, you're in luck, because today's Amazing American
170080	175060	Alchemist is Robert Hastings, the man who has dedicated his life to documenting this
175060	176500	unquestionable connection.
176920	182040	Jesse Michaels and his crew are here today and they're doing an interview with me, so
182040	182940	we're in the middle of that.
183080	185620	So let me call you later today and we'll discuss this further.
186020	192280	His nearly 600 page book, UFOs and Nukes, is literally the world's best database on
192280	192960	this phenomenon.
194420	202020	your book, UFOs and Nukes, as sort of the best possible database when it comes to credible
202020	204100	witnesses viewing UFOs.
204160	210640	Hastings has personally interviewed 167 employees of nuclear bases across the United States,
211440	215720	many of whom are cleared to the most sensitive American national security secrets.
216060	219160	Holy mackerel, there's this white pulsating object.
219380	220640	That can't be one of ours.
220640	226540	These are missile technicians, ICBM security personnel, missileers, radar operators, and more
226540	234760	who have all seen orbs, saucers, disks, and tic-tacs in and around the most sensitive nuclear airspace.
235080	240740	By nature of who they are, these witnesses are inherently some of the most reliable in the world.
240880	243660	Some literally have their finger on the nuclear button.
243880	245820	You know, they're on what they call PRP.
245840	249460	They have to, like, report if they're, like, you know, taking ibuprofen, for God's sakes.
250640	254080	And these witnesses couldn't care less about fame or attention.
254440	257980	In fact, most of them want to avoid these things at all costs.
258220	263320	In fact, many of them have suffered intensely in their careers for speaking out about their experiences.
263780	268340	A flag was being put in their folders citing them as a security risk,
269040	273300	so that if they sought employment with like an aerospace company or something,
273580	276600	the Air Force would have designated them to be security risks.
276600	282740	We will interview two of these witnesses with mind-blowing stories directly in this episode in You Can Be the Judge.
283080	287740	One was threatened repeatedly, and his records were deleted from Vandenberg Air Force Base.
287980	291960	They threatened my wife. You're going down, motherfucker, means to me we're going to kill you.
292140	295480	They denied there was ever a Robert Jacobs in the Air Force.
295800	299620	He gets a phone call one night. He and his wife come home from a movie.
299620	301980	the phone rings, the voice says,
302760	305700	your mailbox alight, what a beautiful sight,
305820	306960	you're going down, motherfucker.
310740	312060	While the other boarded a craft
312060	314580	at Ellsworth Air Force Base in South Dakota.
314920	316800	They were just multi-levels
316800	319800	with all these small grays everywhere.
320700	322340	Hastings has risked his life
322340	323840	in telling stories like these.
324100	327000	Do you feel like your communications are being tracked?
327320	327900	No question.
329620	335860	calls, I would talk to them, hang up the phone. Within a minute or five or ten, the phone would
335860	339700	ring. I would pick it up and there'd be nothing but heavy breathing in the phone.
344660	350260	I originally met Robert because I had been going around making constant public references to his
350260	355660	great book, UFOs and Nukes. Robert Hastings. Robert Hastings. Robert Hastings, who wrote UFOs
355660	360980	and nukes. So Robert emailed me because he wanted to let me know that while he had documented 100
360980	367160	plus UFO witnesses at nuclear sites across the U.S., I was personally overstating the amount of
367160	371740	radar operators who he had spoken to. If that doesn't say something about Robert's character
371740	377300	and attention to detail, I don't know what does. He comes from a bygone era of meticulousness and
377300	382140	passion that journalists used to display, and one that's easily palpable in this interview.
382140	387620	Robert Hastings was 100% spot on before anybody else.
387980	391680	And this is a man who deserves the recognition.
392120	394240	He is the giant that a lot of us
394240	396360	has stood on his shoulders.
397380	401360	It does not contain any pattern of purpose
401360	403220	or of consistency.
404080	407660	This documentary will answer the two biggest critiques
407660	409440	thrown at UFOs by skeptics.
409620	411640	Number one, UFOs are ephemeral.
412140	416280	up randomly and sporadically. There's nothing repeatable or predictable about them.
416480	422240	The nuclear thing is a repeatable pattern. Legacy UFO programs have used nuclear material
422240	426140	or sometimes even phony nuclear material to bait UFOs to show up.
428580	434340	And number two, UFOs are some American deep state psyop. Why do they only seem to show
434340	435920	up at American military bases?
436240	441440	A huge disk-shaped object was seen hovering over this missile base in Soviet Ukraine.
442140	449420	Bentwater's case in 1980 in England, that was the largest group of tactical nuclear weapons being stored in Western Europe.
449640	455460	And it went back out into the field and then it exploded silently into objects, white objects, and disappeared.
457320	461600	UFOs are repeatedly and scientifically attracted to nuclear sites.
461880	466580	You can kind of guess if there is a UFO sighting, there might be a nuclear connection there.
466920	469960	Take the most famous archetypal sighting in American history.
469960	473620	history, the crashed flying disc at Roswell in New Mexico in 1947.
474220	479660	Well Roswell was actually the site of the first atomic bomber squadron in America, the
479660	483300	squadron responsible for dropping bombs on Hiroshima and Nagasaki.
485080	491800	In 1994, 62 elementary school kids at the Ariel School in Zimbabwe said that they saw
491800	495920	a silver craft descend from the sky and land on a field near the school.
496200	498440	Well guess where the Ariel School was?
499960	503280	school that was near an uranium mining site.
503440	503920	That is right.
504020	504600	There you go.
