start	end	text
0	5400	For thousands of years, people have been seeing objects in the sky that they can't identify.
5800	14100	And today, we have somebody who has actually retrieved a UFO firsthand.
15000	15860	A firsthand witness.
17360	19380	The energy is just really good.
20100	21080	It's perfect.
21660	23140	How are you, dude?
24000	26340	Not a lot of sleep for either of us.
26420	27420	You guys didn't sleep?
27480	28160	I didn't sleep at all.
30180	31060	I'm just pumped.
32120	34400	We have five people sending you high cameras right now
34400	36100	and nobody knows why we're here.
36240	37160	You didn't tell them?
37260	37360	No.
37580	38520	You didn't tell them?
38620	39480	No, not at all.
39520	39620	Bro.
41880	43620	Okay, everybody, can we have everybody here?
43700	45560	I just want to let everybody know what we're here for.
45840	47640	Start with just thank you everybody
47640	51460	came in on a 36 hour notice for the first time
51460	53600	in all these years of doing interviews
53600	55740	with UFO related people.
55860	58400	Today we're gonna be talking to first hand witness.
60000	62200	guy that talked to the guy it is the guy himself
65400	69060	part of why i'm valuable is because i am like
69060	72440	i'm at the fingertips of this thing and everyone we
72980	77620	people have heard from on a high like administrative leadership exactly
77620	82280	exactly this is super dangerous for him right now like
82280	85820	right now we're in a limbo because the story is supposed to break out on news
85820	89480	nation hopefully with this week and every day that it doesn't
90000	91900	go live, there's more danger, there's life.
94420	97600	So tell me about the moment when you realized
97600	100280	that you were involved in a retrieval
100880	103300	of non-human technology.
103900	106020	I was trained as a pilot a long time ago,
106140	109580	and the last 20 years, I've served more as a pilot
109580	111700	than I have as a ground crew member
111700	112720	or in any other capacity.
114200	114500	Good morning.
115940	119320	Jake, have you retrieved a non-human craft?
119820	120400	Yes, I have.
121500	123900	For everyone that's getting exposed to this right now,
123960	127320	humble yourself from the perspective of what you consider believable.
131120	134600	Can you describe the retrievals end to end?
134700	135000	Yeah.
135020	136160	What happens? Where are you?
138080	140480	I sit back at a separate location.
140760	143960	I get GPS coordinates at the very last second.
144500	147480	I get dispatched, I go there, and then in route,
147660	150120	from very short range out, maybe five minutes out,
150200	152720	I get read a description of what it is I'm picking up.
156900	159000	It's so real when you look at it.
159080	161200	It's not like in the background you're hearing,
161320	163560	oh, and there's this light, like this is an epic moment.
163700	165020	Where's the crescendo?
165160	167440	It's like, no, it's just flying a helicopter,
167720	169200	come over the ridge, there's an egg sitting there,
169220	170500	and dude's sitting around on the ground,
170640	172520	flashing you, calling you in.
174500	176740	is exciting in that format.
179640	181760	I don't know, when I'm hearing the story,
181980	184480	a big giant 20 foot egg,
185380	186960	how do you know that's non-human intelligence?
187340	191320	Since we've left the program and reorganized
191320	192880	and are now working with Arrow,
193140	195400	I can make the egg show up and we have,
195620	197780	and we've demonstrated it post-program
197780	199100	and we did it in August.
199340	200840	Oh my God. In broad daylight.
204660	214060	At the moment we elicited the egg, the egg flies by in dead silence, moving at 10,000 miles per hour.
215900	217040	All right, one more.
217220	218420	Guy in the light tan suit.
218880	224100	Everyone likes to ask, why am I not afraid that someone's going to try and silence me with death?
225220	232240	There are people that have died who were coming out and who were speaking out on our activities.
232700	233920	Anybody you know?
234080	234320	Yes.
234500	236120	Can you say anything more?
236280	239940	No, because there's an investigation happening right now.
242680	244240	I'm not afraid of the boogeyman.
244440	245620	I am the boogeyman.
247420	252700	You don't want to show up at my house and think you're going to be successful with brute force
252700	255820	because that's going to go south for you really quickly.
257960	263600	It's got this cold military political stigma attached to it,
264500	271300	It's not about like flying equipment like oh look can we get in a flying saucer and like get to London in two minutes?
271500	277180	Or could we get there yesterday because now we know time like screw all that the real implications are way more powerful
278960	286160	It's realizing that there is something else out there that's maybe not extra at all. It's something that's part of us
286160	289520	It's like outer space versus inner space is all the same
309540	310240	What's up?
310340	310960	What's up?
314120	314700	Bogeyman.
315120	320580	For thousands of years, people have been seeing objects in the sky that they can't identify.
320580	329380	For maybe the last 80 years, we've been speculating as to American government, other governments' involvement with UFOs.
330220	339740	And today, we have somebody who has actually retrieved a UFO firsthand, a firsthand witness.
340800	342960	And we have this amazing crew, by the way.
343000	343860	We have Amar present.
344020	344880	We have Logan present.
344880	351060	present. And we don't have, you know, we've gotten to know you a little bit over the last month,
351520	357800	but we don't have a ton of context as to what exactly you experienced. And so we want to really
357800	363120	get down to the basics and maybe just start with who are you? Let's bring it all the way back to
363120	370460	your childhood. Okay. Yeah. Well, man, I mean, first thing I should say is like, like looking
370460	376780	Looking back to me, it's clear that the intelligence community looks for kids like me.
376920	381000	I had what you could probably call the four I's, let's say.
381240	385100	Imagination, intellect, intuition, and instincts.
386000	389960	My grandfathers were the best men you could ever imagine.
391320	396080	I had, you know, we could call them Navy Grandpa and Army Grandpa.
396280	396720	Let's do that.
396720	401040	So Navy Grandpa was a very influential naval officer.
401300	406240	He was actually a member of the Navy SEALs predecessors, the Scouts and Raiders.
407460	415200	He and my other grandfather, Army Grandpa, they laid the foundation to our family,
415240	419320	literally put the cornerstone in, had their pictures taken in the 50s,
419320	421760	laying the cornerstone to our family church.
422100	426160	Up until the point my parents divorced, I had a pretty good childhood,
426720	432540	When step families entered the picture, when things became hell for me.
433000	434580	How did they become hell?
436240	440760	The environment in the step family at my mom's house, which is where I spent most of my time,
440860	441840	was abusive.
443180	444080	Physically abusive.
444540	446540	Specifically because of your stepfather?
446800	451780	Stepfather and stepbrother, his son, who was much older than me.
452480	454020	What sort of abuse?
454020	483880	I mean really all three if there are three like what like physically verbally and like low-key sexually abusive like borderline sexually abusive too and so I just I chose to like live outside basically and by the time I got in high school my Navy grandpa had encouraged me to get into swimming and water polo and I had also continued to do art and music.
484020	490820	and had entered a science contest and won a state science fair based on a project I had done.
490960	491640	What was the project?
492140	493960	It's called Color Chords.
494380	500060	And in my music class, we had learned at a very rudimentary level this thing called the Circles of Fifths,
500120	509380	which is basically a pie chart where you can break down and learn the intervals of harmonies.
509720	511060	Basically, you've got a root note.
511060	516680	from any root note there's a what's called a perfect fifth and that fifth rings a harmony which
516680	524000	is pleasant. There's also a third and in a major chord you have a first, a third, and a fifth. In a
524000	530180	minor chord you have a first, a minor third, which is a half interval down, but you keep that major
530180	535360	fifth and it makes what people refer to as like a sad sound or sad, but they're both beautiful.
535360	538760	It's more of a happy beautiful than like a deeper dramatic beautiful.
539640	552960	So the understanding of harmony in the sound world is when wavelengths overlap in a way that forms some form of geometry that is enhancing rather than degrading to the independent waveforms.
552960	558340	You get something like harmony and your ear can pick that up and your emotions can react to it in a variety of ways.
558340	571620	So I'm like, well, shoot, if photons make waveforms, are there color combinations that can have that same complementary interplay for when the colors combine that they're pleasant?
571720	574360	And could it be that they actually elicit the exact same emotions?
574800	575760	It was really cool.
575880	585420	I did well in our local area and I kept I went on to county and then I went on to the state and I got awarded with like 10 other kids and award at the state level for that project.
586080	592260	Well, you talk about trauma being a part of what the intelligence community was looking
592260	592620	for.
592800	596620	Let's get into the juicy stuff, which is the Air Force recruiting you.
597720	599140	How did they recruit you?
599160	599780	How did you get in touch?
601880	608180	So when I got expelled my senior year, my grandfather pulled some strings and got me
608180	609040	into another high school.
609660	614920	My parents were involved in that process, but unbeknownst to my parents, I also had
615420	620120	intervention with my grandfathers. Both of them came together and they began exploring military
620120	625040	opportunities for me. They like, they just saw that that's what I needed. And for me, I was like,
625100	629700	yeah, I want to jump out of airplanes and kill bad people. Like I'm all in just, I want that job. I
629700	636300	don't want to do like a desk job or cook. And so they set out, made phone calls and, you know,
636300	641460	looking back, I don't think they had any idea what they were getting me into. I mean, I didn't
641460	647120	either. I don't blame them. It's not like they were complicit or part of some deep state and like
647120	653900	put their grandson up for offering to the program. It wasn't like that, but you know, I took some
653900	658980	initial screening in our local area and then we traveled down by UCLA and I went through a series
658980	664400	of tests over multiple visits, like all your basic stuff. I mean, physical stuff, physiological,
664400	673700	physiological, but then went into psychological testing, creative testing. So I went down and the
673700	679240	first time I had ever taken an IQ test. So you take it two times, at least twice, but two different
679240	683960	ways, I'll say. The first time I took it, I think it was just a straight up IQ test. And I remember
683960	689080	knowing exactly what I got because I was so interested to find out. And it was like 138.
689400	693760	And I was like, oh, that kind of sucks. Like that's not very high. It's pretty high.
694400	696540	I'm like, I'm supposed to be smarter than that.
696600	697180	Hundreds average.
697540	699120	But then they do the second thing,
699240	701000	which is a stress IQ test.
701540	703560	And so you take the same test,
703700	706940	but I put on this oxygen mask that sealed my face
707540	708700	with no air coming to it.
708740	708980	Whoa.
709320	712920	And I took that test and I tested a 152.
713040	713640	No way.
713880	715100	So- You scored higher.
715340	717120	I scored way higher under stress.
717380	720440	And that's when my concept for comfort and chaos
720440	721620	began to form.
721800	722560	And I was like, oh,
724660	731400	person, I see things more clearly. I see the code or whatever under stress. It's like things
731400	732460	make more sense to me.
732680	737560	Anybody watching this is probably thinking this is a very unique recruiting process for
737560	742660	the military. This isn't like going online, submitting an application. What did you end
742660	743740	up getting recruited for?
744160	751240	So I ended up getting recruited to a brand new program that was called GTEP, which was
751240	757760	It was a Guaranteed Training Education Program, I believe is what the acronym was at the time.
757880	764960	And for me, this was a 10-year contract that would fast track me through special operations training
764960	770720	through the Department of the Air Force, through a career field at the time called Combat Control.
770840	772120	It's still called Combat Control.
772340	777160	And what's interesting for people to probably know, which moving forward, keep this in the back of your mind,
777160	782880	is that the Air Force is this agency that's straddled the blue-black line, let's call it,
783460	789160	since its inception in 1947, like two weeks after Roswell incident. You get the National
789160	793980	Security Act, you get the formation of the Air Force, CIA at the same time, Department of Defense,
794240	798480	and the Air Force has been that agency that's straddled the blue-black line ever since.
798600	803180	And just to be clear for the audience, the blue-black line, the blue is the kind of
803940	810360	open source white world out in the open black world is you know highly cleared sensitive stuff
810360	816800	is that is that right yeah i think the good way to think about it is the black world that we operate
816800	822960	in is like a four-dimensional projection into a three-dimensional world it has its presence here
822960	828320	and there's indications of it but you're not going to get it because so much of what you're seeing
828320	834340	is tied and connected to other things through another dimension you're not paying attention to.
834460	839120	And that's how this exists. That's how we exist. And that's how we manipulate
840300	844280	reality and truth and get away with things that people don't understand.
844600	849000	That is unbelievable. You sound like Carl Sagan describing platonic.
849000	850120	Yeah, I don't mean to be.
850240	852100	Describing an elite military unit.
852200	857440	Yeah. What I need to make very clear is, although I was prospected into combat control,
858320	864000	something very different and that was simply my gateway into the program. So I signed a contract
864000	871260	for combat control in 1994 and shipped off to basic training in Texas. After completing basic
871260	878160	training at Lackland Air Force Base, Texas, I then was shipped out to a place called Operating
878160	886060	Location Hotel, which we called OLH, and this was a selection for Air Force Special Warfare Combat
886060	891000	Control Pararescue. And although I had been pre-screened and signed this crazy 10-year
891000	896440	contract that guaranteed this 17-year-old kid two and a half years of specialized training,
897360	903940	which to understand how incredible that is, is traditionally, or I should say historically,
904020	910120	for special warfare or special operations like military-wide, you don't get into those programs
910120	915020	without first being enlisted and then earning your selection and being recommended for
916060	920300	units and then even once you're in those special units what specialized schools
920300	926700	you go to is is not guaranteed and it happens over a period of time so after I
926700	932360	graduated selection which which is the initial phase of weeding out candidates
932360	939740	it's about a four week course at OLH we had a class about 89 people I remember
939740	944800	and nine of my original classmates graduated together from that class and
946060	951620	to what we call the pipeline, which is our trade schools where we learn our craft.
953320	959780	Somewhere early on in the pipeline, I was approached by two individuals who convinced me
959780	963740	that it would be a good idea if I became an airplane mechanic.
966940	969740	Can you say anything more about those two individuals?
972080	973760	One of them was clearly gay.
976900	979460	which was interesting because I quite enjoyed the talk.
979600	980360	I thought it was fun.
981320	985180	And for some reason, I've always been really compatible with gay men,
985780	990500	much to their disappointment because I'm very straight as an arrow with my sexual orientation.
990860	992440	But so there's that.
992580	993240	I can share that.
993440	994860	And they had sold me on the idea.
995240	1000100	They, you know, they sold me on this idea.
1000140	1003580	And ultimately what it was, I knew I was doing something different and special.
1003580	1009200	and you have to understand in the 90s the op tempo was really low yeah and everyone kind of knew like
1009200	1012880	you you would go through your training but a lot of guys that once they made it to their teams were
1012880	1017700	kind of like dude let's go let's go to war and there was no war yeah so a lot of people were
1017700	1023420	getting out tired of just training yeah and what was kind of sold to this young crazy kid jacob
1023420	1029040	barber was that you're gonna get to do things others aren't gonna get to do there is a lot
1029040	1033040	going on that we'd like to use you for, but you first have to go do this thing for us.
1033120	1038240	And that is learning how to be an airplane mechanic. So I'm like, okay. I then shipped
1038240	1044160	off to airplane mechanic school. Upon completing that, I reported directly to Pope Air Force Base
1044160	1050540	in North Carolina. When I was there, you know, I spent a lot of time turning wrenches on the,
1050560	1056360	on the flight line as a mechanic. But outside of that, I spent all my time training.
1056360	1061120	Was that a hazing ritual or would that come in handy with what you were ultimately going to do?
1061240	1061360	What was a hazing ritual?
1061360	1063480	Like just learning to become an airplane mechanic.
1063760	1064820	No, it was my cover.
1065100	1065540	Okay.
1065620	1068060	So my cover was working as an airplane mechanic.
1068940	1073820	I came in during the Clinton era and that's no coincidence.
1074140	1078040	That had a lot to do with this program and what I became, come to find out.
1078860	1084760	And I spent a lot of time deploying on those type of missions in support of President Clinton.
1086360	1091880	detail there a little bit. I was involved in Bosnia. I deployed to Bosnia. I was involved
1091880	1098460	in the liberation of Kuwait. I had a lot of combat time. But ultimately what I was being refined for
1098460	1106700	was a red teamer. I became a red team expert. Red team you could think of is an opposition force.
1106780	1113740	In fact that's exactly what we call it is op for, opposition force. And red team's job in any
1113740	1121100	scenario is to exploit all the weaknesses of blue team and find the vulnerabilities and then use
1121100	1128900	those against blue team so in an exercise we would participate where the military's blue forces or
1128900	1135660	or traditional forces would deploy their tactics and then we would be set out to play the opponent
1135660	1142000	or the enemy and we're given liberty boundless liberty on how to just go and fuck up their life
1143740	1148700	life hell, you get to be creative, think outside the box, innovate ways and find holes in our
1148700	1154140	systems. So we'd go out and it was a lot of fun and we'd find ways to completely disrupt the
1154140	1162000	standard operating procedures of units. And then in exercises that were global and dealt very
1162000	1169280	closely with other subject matter related to UAP, we're involved with those and had to come up with
1169280	1175720	with innovative ways to be adversarial towards our own forces.
1176000	1182460	And I found out that my four I's that I explained earlier were tools of war.
1183640	1189560	And anyone that's read The Art of War, what's the first rule in The Art of War?
1189880	1191840	What is the first rule?
1191880	1192240	Deception.
1193180	1193740	Deception.
1193940	1196080	Deception is the first rule in The Art of War.
1196080	1199420	is to deceive and to always act like something you're not.
1200140	1203640	Now, I think about it, that's probably alarming coming from me right now.
1203680	1204880	I was just going to ask, how do we know you're not?
1204880	1205860	That guy is full of shit.
1205960	1206440	Yeah, yeah, yeah.
1206600	1208960	How do we know you're not red teaming us right now?
1209160	1210280	Well, you don't.
1210360	1211380	You don't know that.
1211520	1212600	You really don't.
1212600	1213620	That was an honest answer.
1213680	1214960	Yeah, you don't know that.
1215180	1219240	And all I can do, I expect to get asked that a lot.
1219320	1224300	It's like, you know, I'll paraphrase a book from Matthew, I think it is.
1226820	1232080	and so just pay attention to what's happening you can evaluate the impact of what i'm doing
1232080	1237300	yeah and and that's all you can do well that's an amazing message for the audience too which is they
1237300	1242600	should corroborate the things that you're saying through their own open source research yeah and
1242600	1248080	if it validates and checks they should they should think for themselves yeah not just you know take
1248080	1254700	all of us for our word no willy-nilly you mentioned other things being sort of adjacent to ufo or uap
1256080	1258100	What were the other things you were doing as part of this group?
1258500	1265940	While enlisted, I did a lot of security and escort of HVTs, which are called high-value
1265940	1266380	targets.
1266820	1273560	So I held a NATO top-secret security clearance at times when I needed to and was manifested
1273560	1280040	to classified flights where we would be dispatched, we would secure targets and transport those
1280040	1284220	targets and deliver them to other places and then hand them off to other teams.
1286080	1291560	most of the time were like sealed containers. We called them mystery boxes. I couldn't tell you
1291560	1297080	what was inside. It could be a variety of things. There was a variety of sizes, something, you know,
1297080	1300840	small enough that could fit on a helicopter, something large enough that it had to be put on
1300840	1306980	a C5 Galaxy. Sometimes it had to be trucked. Sometimes it had to be taken in pieces, but it
1306980	1315900	was always put in the little mystery boxes. One thing that should be noted is that one of
1316080	1324300	missions I was involved in, I got very sick afterwards and lost every hair on my body,
1324920	1334220	skin peeled off my arms. I was nauseous. And it was obvious in hindsight that I was exposed
1334220	1341780	most likely to some form of radiation. And this really upsets some people when I tell this story,
1341780	1347280	especially friends like Dr. Gary Nolan, who helps me with this issue now.
1348280	1352700	Real quick, just for the audience, Gary Nolan is a Stanford microbiologist.
1352900	1354660	He's a Nobel nominee every year.
1354820	1358980	He's tenured there, and he's incredibly interested in the UFO subject.
1359260	1362640	In fact, he claims to have, and I've seen them actually,
1362920	1366120	crash retrieval parts from his friend who's a longtime,
1366480	1369660	kind of the godfather of UFO research, a guy named Jacques Vallée.
1369660	1385760	And Gary does mass spectrometry on them. But he also was approached by the CIA in 2016-ish around people who have encountered UAP, NHI, and the biological effects that they've heard.
1385760	1394040	have heard. And that's, that's the nature of my relationship with Gary. So Dr. Nolan, uh, yeah,
1394180	1400700	I, I now I'm still suffering from that experience most likely and subsequent experiences. And,
1400780	1408380	but it's only now that I'm getting proper care because of how I want to say this. Cause I don't
1408380	1413880	want to make the air force out to be this evil, irresponsible entity. Cause as much as they are,
1415880	1420640	one circumstance, I don't believe they knew what we were dealing with. This is why I think that
1420640	1427820	one incident and looking back with 2020 vision hindsight, you know, it's likely that was also
1427820	1434540	related to the UAP topic because had we known what was in that box, we would have, there would,
1434580	1440040	we have a protocol for dealing with nuclear hazmat and, and none of that was in place.
1440040	1442040	and I still got exposed.
1442400	1444880	So I think something in that box that...
1444880	1446520	Were you carrying the box?
1446780	1448060	No, we don't carry, it's too heavy.
1448220	1450080	It's loaded on the craft.
1450180	1450920	We escorted it.
1450940	1451780	You escorted it.
1451820	1453520	We escorted it and we protected it
1453520	1455720	with the authority to use deadly force.
1455780	1458720	And it was emitting that much radiological energy.
1458900	1461280	I think it got turned on at some point,
1461400	1463000	which is another interesting thing.
1463120	1465000	Like how did it come on while we were in air?
1465140	1466740	Like it turned on or turned off
1466740	1469000	or there was some level of fallout.
1470040	1470960	I really don't know.
1471580	1477080	What makes you think that it was a UAP or UFO and not like an electromagnetic pulse,
1477240	1481360	like some of these exotic weaponry that emit radiological energy?
1481660	1481880	Yeah.
1481940	1483820	Well, EMPs are different.
1483840	1486980	A lot of the HPMs are safe to be around.
1487820	1494460	You're not going to get high doses of gamma radiation by exposing yourself to an EMP.
1494460	1502460	But I would just say let's not get too much into this night and this mission without getting into trouble.
1502600	1509200	But I'll just tell you that I don't blame the Air Force or anyone for how that was handled,
1509280	1513480	except with the exception of the fact of seeking medical treatment afterwards.
1513640	1515380	I couldn't talk about what had happened.
1515440	1521520	So therefore, the causation was really difficult for doctors to like to come up with.
1521520	1530780	There was symptomology without causation, and I was treated for things that weren't necessarily consistent with radiation poisoning.
1531200	1532620	And I healed up from it.
1533340	1535440	What were all of the symptoms that you experienced?
1535460	1539620	So, like, I ended up, now, I mean, I have a heart murmur that I never had before.
1539660	1539880	Wow.
1540040	1541560	Okay, so my heart's messed up.
1542240	1544400	Again, I lost all the hair on my body.
1544460	1546980	I look like just an albino lizard, dude.
1546980	1552860	Like no pubic hair, no eyebrows, no nose hair, which I wish was still the case, but whatever.
1553040	1553880	The one benefit.
1554240	1554900	Yeah, one benefit.
1554980	1556460	No ear hair, no nose hair.
1556760	1558660	I had rashes.
1559560	1562560	My immune system seems compromised in some way.
1562600	1563100	They can't explain.
1563240	1566740	I just have random autoimmune disorders.
1567900	1573460	And so this is where Gary has come in handy is that he's reviewed my medical records and
