start	end	text
18040	20700	Just an update before we get into the podcast.
20800	25480	I know I haven't been very active on this channel in several months, and that is due
25480	30840	to the workload that we have here, but also I'm currently investigating four different
31520	37600	projects at the moment that we will be releasing, one of which will be coming out shortly.
37940	39820	I will keep you guys posted on that.
40320	45340	Secondly, if you want to support this channel, we now have merch available at first.shop.
45420	54560	We are launching the Area 52 patch, as well as the pin and this t-shirt, Ingo We Trust.
55480	60140	familiar with the first investigation that we've done, you'll know what that means.
60900	65940	So check that out at first.shop. Last thing I want to say, I will be uploading more frequently
65940	71320	on this channel, and I'm going to try and get out at least monthly videos, if not podcasts,
71440	76360	that will come out bi-monthly. One thing that really helps, especially if you're an audio
76360	82620	listener, is going to whatever audio platform you listen to this podcast on and give it a five-star
82620	87340	rating. The more people who do that, the better this podcast will do in the ratings. And obviously
87340	94280	the more attention I can put onto Area 52. So again, the better this channel does, the more
94280	98860	attention it will receive from us here. So if you guys do want to encourage us, but you don't want
98860	102820	to sign up to Patreon or buy the merch or any of that, well, something that you can do that is
102820	107000	totally free is head over to whatever platform you're listening to this on, whether it's iTunes
107000	109840	or Spotify and leave us a really good rating.
109960	112260	That actually helps us quite a bit.
112300	112940	So thank you.
112960	116540	Sorry for the long delay and enjoy the podcast.
116920	119740	Ladies and gentlemen, welcome back to Debriefed.
119880	123840	Today on Debriefed, I have my esteemed guest here.
123960	125740	This is Luigi Venditelli.
126100	126920	What's up, Luigi?
126920	131580	Luigi has been involved in the UFO scene for what, over three decades now?
131740	132400	That's about right.
132520	132700	Yeah.
132760	135100	You were once the director of MUFON.
135260	135880	For Canada.
137000	138020	the Mutual UFO Network.
138320	138480	Yep.
139780	143620	And yeah, today we're going to be talking a little bit about sightings,
143620	146420	a little bit about craft, a little bit about UFOs and all that.
147800	154780	Can I just start by saying it's so much fun to be able to talk about this?
154920	155140	Yeah.
155260	156300	Do you ever get that feeling?
156600	156960	Always.
157200	157400	Yeah.
157580	159520	You can't do it all the time.
159580	160720	You can't do it all the time.
160780	165540	And sometimes you're sort of forced to bite your tongue a little bit,
167640	172400	but but also just you don't know who you're talking to right so you don't know at what level of
173380	175840	You know yeah insane they are
176300	177320	like I am
177320	182240	And there's always gonna be the ones where you always scared that they're gonna in the middle of you talking
182240	188440	They're gonna start looking at you up and down and you know you lost them. Yeah, you know so you got to be careful with that
188440	188720	Yeah
189460	190540	That is true
190540	195320	Does do you ever get that feeling sometimes when you're when you're speaking with someone and you're like maybe I said too much
197000	197820	It still happens.
197880	204120	A friend of mine says that when it comes to this subject, the more you talk, the crazier you sound.
204440	209120	And it's one of those things that I just can't help sounding crazy because I'm really passionate about it.
209200	209400	Yeah.
209460	210340	So am I.
210400	211760	Yeah, I've been into this stuff since I was young.
211800	214740	What was the trigger that got you into this?
214840	218220	For me, it was Fire in the Sky, the Travis Walton story.
218840	222000	And that maybe is something we can get into after, but you're a friend of Travis.
222180	223960	Definitely, we'll get into that.
224080	226340	But what got you into this whole thing?
227000	233600	long i started super young i was i was nine so must have been like 1984 and my i was that's when
233600	241780	i was born really yeah oh wow i was nine yeah so uh i was uh my grandfather my mom's dad he was uh
241780	247920	he was an italian soldier and also a prisoner in a concentration camp in germany during the
247920	255820	second world war he almost died um and he knew very he knew a lot about aviation and the military
257000	260320	He was very much involved in the Second World War.
260480	265560	So in 1965, five years after that, he immigrated to Canada.
265660	270860	He was living in an apartment with my grandmother, my mom, and my aunt.
