start	end	text
0	5120	If there is a committee out there, interstellar committee, trying to decide whether there
5120	11140	are intelligent civilizations around stars, they may have concluded so far that we are
11140	12080	not intelligent enough.
12380	18360	On June 25th, 2021, the Pentagon released a report acknowledging the existence of objects
18360	20320	in our sky that we cannot explain.
20600	22520	Unidentified aerial phenomena.
24080	25580	Case closed, right?
25700	26620	UFOs exist.
26940	27960	Not so fast.
28920	34580	The US government has a long history of drumming up fake threats and staging false flag incidents
34580	38180	to basically create the conditions for war and more defense funding.
38420	44160	Repeated acts of violence against the armed forces of the United States must be met.
44420	48180	So would the government have any reason to make us believe that aliens exist and that
48180	49000	they mean us harm?
49180	49700	Absolutely.
50080	54540	The prospect of the plot of Independence Day playing out in real life is a pretty persuasive
54540	54760	one.
55400	56740	We're gonna kill us all!
57960	63200	this is the best government psyop of all time, I just don't see UFOs as a false flag. My
63200	67420	main reasoning for this is that there are a critical number of sober, competent, and
67420	72440	at least to my knowledge, not intelligence associated fighter pilots who claim to see
72440	78160	UFOs. Pilots like Commander David Fravor, who saw the famous Tic Tac in 2004 off the
78160	79120	coast of San Diego.
79380	83560	We saw this little white Tic Tac looking object and it's just kind of moving above the white
83560	84040	water area.
84040	90780	These pilots could be lying, but if anything, the military has a selfless culture that frowns upon dishonesty and attention seeking.
91000	94600	A culture that would make any pilot hesitant to say that they had seen a UFO.
94960	100800	If I saw this solo, I don't know that I would have come back and said anything, because it sounds so crazy when I say it.
100960	106120	But if you read that June 25th Pentagon report closely, you'll see that there's attention in it.
106120	112020	I could clearly detect a voice, an authorial voice that wanted to disclose more,
112160	114420	and one that said over my dead body.
114700	119120	Either way, we're at the complete disposal of a semi-trustworthy, at best, government
119120	120760	when it comes to UFO disclosure.
121040	124000	They own all the data, all the footage, all the materials,
124180	128260	and it's up to them as to whether they want to disclose that to the public, right?
128660	129120	Wrong.
129380	132000	Enter Harvard astronomer Dr. Avi Lowe.
132160	133140	Good to see you, Jesse.
133140	140700	We are trying to basically build our own observatories that are designed for the purpose of figuring
140700	144340	out the nature of those unusual objects that were identified by the military.
144660	149780	With his Galileo project, he's putting optical, radar, magnetic, infrared, and audio sensors
150460	155480	on top of Harvard's observatory in order to gain more conclusive and publicly available
