start	end	text
0	1600	In this episode of Weaponized...
1600	5820	You're telling me we don't know what the hell these drones are in New Jersey are?
6360	7140	Is that correct?
8820	9500	That's right.
9640	10940	I'm going to tell you the real deal.
12200	17440	Iran launched a mothership probably about a month ago that contains these drones.
17800	19280	There is not any truth to that.
19400	24760	There is no Iranian ship off the coast of the United States and there's no so-called mothership.
24760	31020	If this is a normal situation, like an adversarial nation, no, no.
31240	36820	And the reason is, is because these things are large enough to carry a payload.
37180	40500	Man, a lot of these are really like explainable.
40560	46140	Like that I know for sure, as far as the morphology or the shapes.
46500	52980	What I do know is that the mystery associated with this is being perpetuated intentionally.
54760	57260	that if this is a unique opportunity
57260	61240	to do a real-time, real-life social study
61240	64160	of how people would react on a mass scale.
64400	67780	Featuring Australian journalists Pia Wirsu and Danielle O'Neill.
67940	70380	Man, we need good journalists,
70400	74340	and especially in Australia, this global phenomenon.
74720	78600	The Tully UFO case is kind of, especially in Australia,
78760	81280	like a classic case UFO sighting
81280	83500	among those really interested in this topic.
84760	86480	spoke to on tape
89940	92760	were speaking from an honest place.
93120	96500	That this wasn't the only case in Australia. There has been
96500	100720	hundreds of unexplained cases in Australia that he still thinks they need the same
100720	102100	deep dive that we took into Tully.
