start	end	text
4780	10540	Officially designated as the Dugway Proving Ground, this military facility covers an astounding
10540	14440	1,250 square miles of the Great Salt Lake Desert.
17160	20860	Dugway's official mission is to test top secret weapons and aerospace systems.
20860	27040	But UFO researchers believe the true purpose of Area 52 is even more sinister.
53380	64300	When you imagine UFO legacy program operations focused on the retrieval and exploitation of technologies of unknown origin, what kind of facilities come to mind?
64520	69060	Is it Area 51 and its alleged legendary auxiliary site S4?
69280	75160	Maybe you think of the Naval Surface Warfare Center Crane and its possible off-world technologies division.
75160	80240	vision. Or perhaps you reference China Lake Weapons Center, Edwards Air Force Base, Wright-Patterson
80240	85680	Air Force Base, or any number of U.S. Department of Defense installations that are steeped in UFO
85680	91960	lore. Maybe, just maybe, when imagining UFO Legacy Program locations, you picture
91960	99360	Dugway Proving Ground, an enormous 1,300 square mile U.S. Army installation nestled between three
99360	105720	mountain ranges in remote Utah that specializes in the testing of biological and chemical weapons.
106100	111760	Often referred to as Area 52, Dugway Proving Ground rose to prominence in the late 90s as
111760	117980	the successor to Area 51's UFO programs due to heavy public exposure on the once-denied Nevada
117980	125380	site. Ever since, the Utah site and accompanying two premier MRTFBs have been the focus for Deep
125380	132900	6th clandestine UAP operations. But this spotlight doesn't solely focus on the enormous facility
132900	138580	sprawling across the Utah desert. Dugway has additionally been accused as the location of a
138580	144620	DUM, a deep underground military base. Today we shed light on Dugway and discussion of its
144620	150320	technologies of unknown origin, exploitation programs, and subterranean presence. Through
150320	156500	Through analysis of the facility's intriguing Army and Air Force MRTFBs, study of defense
156500	163060	contractors present on site, and careful evaluation of the witness testimony of one MS, who I
163060	168820	have covered on this channel before, who stumbled upon a craft of likely non-human origin at
168820	170580	the infamous Dugway Range.
170940	175760	Hey guys it's UAP Gerb and I am thrilled for you to join me as we venture into the
175760	178400	world of legacy UFO programs to analyze
178400	181580	Dugway proving ground. How deep does the
181580	183600	rabbit hole go between the United States
183600	185820	premier biological and chemical weapons
185820	187900	testing facility and non-human
187900	190460	technology? What individuals, military
190460	193080	units, and corporations possibly engage
193080	195840	with Dugway and UFO reverse engineering
195840	199020	and material exploitation programs? And
199020	201380	does Dugway operate such UFO programs
201380	204860	above and below the Earth's surface? Join
205760	206960	as we find out.
211900	215540	Dugway Proving Ground is located 85 miles southwest
215540	218340	of Salt Lake City in Tooele County, Utah.
218620	222440	The site encompasses over 1,250 square miles
222440	225780	and it is larger than the US state of Rhode Island.
226080	229900	The site itself is ideal for seclusion and privacy,
230100	232780	free from urban encroachment, light pollution,
232780	235840	and excess acoustic and electronic noise.
236320	240160	Dugway is surrounded by mountains, salt flats, and desert terrain.
