start	end	text
0	5140	A couple of months ago, I released a video with my friend and former intelligence officer David
5140	13200	Grush, who blew the cover on a covert multi-decade long UFO crash retrieval and reverse engineering
13200	18460	program being funded by American taxpayer dollars. We're done with the cover up and we're going to
18460	23400	get to the bottom of it, dadgummit. Grush isn't just some random guy. He's an Afghanistan combat
23400	29240	veteran, a former 14-year senior intel officer with top secret compartmentalized clearance.
30000	34640	He's handled presidential daily briefings, he's extremely polymathic, and he's very
34640	37560	well regarded by almost all of his former colleagues.
37760	38800	I am for real.
39980	43240	Finally, and perhaps most importantly, he's not alone.
43560	49100	He's brought 40 people who have handled exotic UFO material first hand to the Intelligence
49100	50800	Community's Inspector General.
51000	53060	You think this made you realize that we are not alone?
53500	54580	I knew it before.
54880	56740	I didn't need this.
56740	61540	And he testified about his findings under oath in front of Congress this summer.
61700	66020	So a lie here would completely tank his career and get him a lot of jail time.
66600	73520	Either you're going to jail, which I don't think you are based on my getting to know you as a friend over the last two years.
73600	77100	That's just not the vibe I get in my assessment of you.
77780	79820	We're facing an inflection point in history.
80120	82860	No more than 10 to 20 million killed.
84040	90340	As more prosaic political forces are sleepwalking us into World War III, and the Middle East
90340	94980	has turned into a tinderbox, I've often asked myself about whether UFOs should be
94980	97340	taking up space in anybody's heads.
97580	99240	You know what the most common type of alien is?
99500	100060	Light.
101640	106300	But when I have those thoughts, I go back to my fundamental belief that these flying
106300	110440	objects are just a sliver of a larger, bizarre, yet magical worldview.
110440	115760	view. They represent a revolution in our everyday belief, perceptions, and epistemology, not
115760	119640	just some technology that deep black aerospace can try to reverse engineer.
119940	125700	And so if UFOs have implications for science, religion, technology, history, and maybe even
125700	132040	the nature of humanity, studying them could just be the Hail Mary we need for the resource-constrained,
132080	134140	multipolar nuclear world we're in.
134320	139600	There's something profoundly important going on here that is authentic and real.
140440	144360	I was overwhelmed by the public response to my documentary with Grush.
144500	148660	The mainstream media coverage has been pathetic, to put it very generously.
148940	152500	The one big outlet to cover our documentary was the Washington Post.
152860	154480	They clearly didn't watch the video.
154680	159620	They contended with none of the substantive points we made, and instead dismissed us as
159620	160940	intellectual frat guys.
161380	167420	So I've decided to summarize the most important points from our documentary and do a little
167420	168460	hand-holding for them.
170440	175080	like I'm a two-year-old, okay? Because there's an element to this thing I just cannot get through my thick head.
177480	185300	Number one, why do UFOs consistently show up around nuclear sites? UFOs and Nukes is a book by Robert
185300	190560	Hastings, who is the son of a special weapons officer at Malmstrom Nuclear Base in Montana.
191020	197440	Hastings worked there as a janitor in high school in the 60s. One night, an FAA supervisor casually
197440	202720	casually mentioned to him that he was tracking five unknowns on his scopes and called young
202720	208260	Hastings over to his desk to check them out. Thus began a lifelong journey for Hastings,
208440	216080	interviewing 167 US military sources, former or retired ICBM launch officers, missile maintenance,
216320	222100	security and radar operators. Given the nature of their jobs monitoring our nuclear sites,
222240	224620	they have to be the epitome of mental health.
224620	229820	Well, now the missileers, you know, they're on what they call PRP, personal reliability program.
230100	233520	Like, they have to, like, report if they're, like, you know, take an ibuprofen, for God's sakes,
233580	235660	because, you know, they're a key turner for nuclear weapons.
236000	238880	And no one applies for that line of work to be famous.
239140	243640	The book is 580 pages, and it's incredibly dry and hard-headed.
243780	247100	Read it, and then tell me you think UFOs are just a psyop.
248900	253800	Number two, nuclear secrecy as a Trojan horse for UFO secrecy.
254620	256720	a nuclear connection from UAP activity.
257460	258960	There's a nuclear connection in terms of
259720	262660	U.S. government equities and how they protected the program
262660	265000	through nuclear provisions.
265260	266060	In our documentary,
266340	270360	Grush shows that the language of the 1954 Atomic Energy Act,
270500	274140	which defines which materials are subject to nuclear secrecy
274140	276800	was written in a sneaky but deliberate way
276800	279340	to protect our UFO secrets too.
279620	281800	So it's kind of a sneaky way of-
281800	282120	No, it is.
282200	284100	If you actually read the Atomic Energy Act,
284620	290860	If something is not a nuke, but it has radiological energy coming off it, you know, alpha, beta decay, whatever.
291320	291960	Same secrecy.
292120	292820	Same secrecy.
293180	305460	Legendary UFO researcher Jacques Vallée also says that the Department of Energy and the Manhattan Project clearance system is the most applicable to UFOs, not the clearances that roll up to the executive branch.
305460	308100	The Manhattan Project would have custody of it,
308160	311380	and then it would go into the Atomic Energy Commission,
311660	314440	and then it would go into the Department of Energy,
314620	317060	which has its own line of clearances.
317240	321300	And that's why I can't find among the people I know
321300	323600	who have clearances above top secret,
323720	324880	they've never heard of this.
325080	325300	Yeah.
325620	326820	They've never heard of this
326820	328280	because you can be in the Pentagon
328280	330240	with a top secret clearance,
330500	334160	but if you're not briefed on the atomic secrets,
335460	339600	the clearances that you needed to do to open up that thing.
339720	345340	This would make sense as a lot of UFO appearances, and likely most of the crashes, seemed to
345340	347280	take place around nuclear sites.
347580	352920	Grush even told me in a car ride in DC that the Manhattan Project was basically the original
352920	353900	UFO program.
354200	357000	The Manhattan Project, they were kind of the first blue book.
357180	359800	They were getting UFO reports back in the day.
359800	365100	or some people I'm colleagues with that like their grandparents were actually, you know,
365120	367740	the UFO report people on the Manhattan Project.
368060	372420	So just how deeply intertwined are UFO secrets with the atomic programs?
374540	379080	Number three, we're past public-facing UFO debunkers,
379140	384560	just atomic insiders who were involved in UFO reverse engineering programs all along.
384560	390040	One of Oppenheimer's close friends and colleagues was a quantum physicist named Edward Condon.
390140	396540	Condon did more damage to the public perception of UFOs mid-century than maybe any other academic
396540	397160	scientist.
397520	402680	Condon and Oppenheimer go way back, they studied together under Max Born at Göttingen in the
402680	403260	20s.
403280	408600	Condon then helped pick Los Alamos as the location for the Manhattan Project, even writing
408600	413160	the Los Alamos Primer, a document that all employees had to read upon arrival.
414560	420020	the Manhattan Project, Condon even helped draft the McMahon Atomic Secrecy Act of 46,
420440	427060	which was the Atomic Energy Act of 54's predecessor. So clearly the guy was clued into atomic secrets.
427360	433440	Again the Atomic Energy Act of 54 is what Grush is saying governs UFO secrets. So clearly
433440	438840	Condon was an atomic insider, and if the atomic programs had anything to do with UFOs, he
438840	441460	probably knew a thing or two about UFOs as well.
441460	447220	Now, the public-facing story is that Condon clashed with General Leslie Groves over just
447220	451380	how extreme the atomic secrecy was at the start of the Manhattan Project.
451740	457460	In the 50s, Condon then loses his clearance, like Oppenheimer, over communist sympathies.
457560	461300	He then goes on to work on civilian science outreach initiatives.
461620	467380	Then randomly, he pops back up in 1966 and his clearance is mysteriously restored.
467380	472500	He is then placed on a panel which deals a death blow to UFO research claiming it's
472500	474380	all a waste of time and money.
474660	481040	Why would an open-minded scientist committed to civilian outreach be so dogmatically opposed
481040	482140	to UFOs?
482160	483900	Well maybe he was blackmailed.
484380	490200	You see while being investigated for communist sympathies in the 50s, a dossier of field
490200	495900	reports was being created on him in the background by an FBI field agent named Guy Hoddle.
497380	503460	for his 1952 Hoddle memo, the most read document on the FBI's website. It describes an Air
503460	509260	Force officer writing to Hoddle about a crashed UFO with an alien crew inside of it. So Hoddle
509260	514980	definitely knew about UFOs. Was he just building blackmail on Condon and forcing him into becoming
514980	521400	a UFO debunker? Remember, Condon wrote the McMahon Secrecy Act of 1946, which basically
521400	525000	went on to govern UFO secrecy if you believe David Grush.
525000	529580	The McMahon Act of 46, which was the predecessor to the Atomic Energy Act of 1954.
529860	535040	The guys that were involved in Manhattan were overlaying the same ecosystem of secrecy and
535040	539040	some of the same ways to protect stuff that they were protecting our nuclear secrets.
541480	542500	Number 4.
542720	544200	Who is Townsend Brown?
544700	549900	This mysterious anti-gravity inventor has traditionally been dismissed by mainstream
549900	554460	mainstream scientists and academics as a kooky amateur that never got anywhere.
554840	559760	He built these gravitators that look a lot like flying saucers, and a lot of his work
559760	561700	was likely classified by the Navy.
561960	567840	But in 1942 the Navy fires him without cause, and mysteriously he shows up at Martin Vega
567840	571140	Corporation a year before Skunk Works is formed.
571500	576780	Skunk Works was created to house Lockheed Martin's most secret advanced aircraft projects,
576780	580800	And notably, their response to Grush's testimony was pretty telling.
581020	585060	They said, questions about UAPs are best answered by the federal government.
585300	589620	That's not a flat out rejection of the premise that they might have UFOs in their possession.
589940	591100	But back to Townsend Brown.
592200	596620	Detractors say that he's associated with crazy things like the Philadelphia Experiment,
596880	603140	a clearly bogus disinfo campaign that involves teleporting a ship with the crew inside from
603140	605580	Philadelphia to a port in Norfolk, Virginia.
606780	610900	biography of Townsend Brown called The Man Who Mastered Gravity by Paul
610900	614820	Shatzkin. We find out that Brown intentionally created a lot of
614820	619440	disinformation about his work to protect it. He showed people his fluid dielectric
619440	623500	system that used ionic wind instead of the solid dielectric
623500	628540	gravitator. We now even know that the B-2 stealth bomber uses Brown's
628540	633440	electrogravitics. So we do have evidence that Townsend Brown's work did make it
633440	638440	into deep black aerospace. He wasn't just a failed hack. And lest you might be thinking,
638600	643560	okay so he built some anti-gravity tech, and that's just the UFOs we're seeing now,
643660	649620	nothing otherworldly, just Brown's inventions, he talked constantly behind closed doors and with
649620	655420	family members about UFOs. He even formed the National Investigations Committee on Aerial
655420	660080	Phenomena, or NICAP for short, the first civilian UFO study group.
662660	667240	5. What was going on at Wright-Patterson Air Force Base in Ohio?
667620	672700	It's where the Roswell crash materials were reportedly taken. It becomes an anti-gravity
672700	677840	research center in the 50s, and when civilian politicians would inquire about it, they'd
677840	679540	consistently get shut down.
704220	707020	Number 6
707020	710560	6. Did UFOs have anything to do with JFK's death?
711660	716700	In 2006, a document was supposedly released under the Freedom of Information Act,
716840	721280	showing JFK asking for more information on unknowns in space,
721520	724300	and it was written to CIA Director John McCone.
724460	730260	The letter is dated November 12, 1963, just 10 days before JFK's death.
730460	735200	Is this document real? Can somebody please verify or falsify it?
737020	740420	a guy named E. Howard Hunt also claimed that JFK's death
740420	743920	had to do partially with his inquiries into UFOs.
745240	746880	Okay, that's the list.
747020	748080	Now have at it.
748160	751160	Or maybe Congress can get its act together long enough
751160	753480	to just get Dave Grush's clearance back
753480	755360	so we can get him into a skiff
755360	759120	and he can give them all the information they need on UFOs.
759200	761520	We were denied access to the skiff.
761580	761980	Skiff.
761980	762320	Skiff.
762320	762680	Skiff.
762680	763020	Skiff.
763020	763920	James Bond stuff.
763980	765320	You leave your phone, you're fit, babe.
767020	769880	just in response to all of the very smart people out there
769880	771720	that think that this is just a psy-op.
771920	773820	If this was all just a psy-op,
773920	777240	you'd think we'd have one, just one leaked document
777240	779920	talking about fully faking UFO threats
779920	782600	or fabricating UFOs in their entirety.
782840	784020	You do have letters,
784040	787500	like the one by CIA director Walter B. Smith in 1953,
788280	790200	saying that we should use the phenomena
790720	793120	for psychological warfare against the Soviets.
793440	795780	You have similar leaked letters from Allen Dulles.
797020	802320	cases, these high-ranking members of intelligence are saying let's use this real phenomenon that
802320	808120	exists for our own geopolitical purposes. They're not saying let's just wholesale fabricate the
808120	813680	existence of these things. But please, it would be awesome if anybody found a document that provides
813680	819240	any evidence about some grand UFO conspiracy. I'd personally love it. I could move to Hawaii,
819500	821560	surf all day, and stop making these videos.
824820	830660	As the great Carl Sagan said, extraordinary claims require extraordinary evidence.
831000	834440	But I actually think that's completely misapplied to the UFO question.
834700	837280	We have tons of open source evidence.
837600	845320	Aerial sightings from average people, fighter pilots, nuclear security, politicians and military on both sides of the aisle.
845320	848860	So instead I'll say when extraordinary evidence is provided
849760	856360	Extraordinary investigation is required and right now the investigation on UFOs is downright embarrassing
