start	end	text
1020	8020	Hey, I'm a former Tier 1 operator with the U.S. Navy, so I've held a pretty high security
8020	11320	clearance throughout my years, but my encounter actually didn't happen in the military.
11640	14240	It actually happened while I was on vacation.
15040	20060	I went to go visit some family in Ecuador in May of 2018.
20360	27140	We got invited to go watch a kid's soccer game sometime during the first half of the
27140	27400	game.
27400	32880	I noticed that everybody kind of stopped playing and started looking up.
32920	43600	And about 150 feet in the middle of the daytime, clear sky, we saw about a 150-foot UFO.
43640	51120	There was a kind of circle, yellow circle kind of in the center surrounded by five smaller circles surrounding it.
51120	60320	And I've seen pretty much every military vehicle that's been classified and some, you know, all the unclassified stuff too during my time as an operator.
61480	63340	And I've never seen anything like it.
63400	66260	It basically glided along, didn't make any sound.
66360	69880	The weird thing is I felt like kind of electricity in the air while it was going through.
70040	73220	There was kind of restless life, like buzzing feeling.
73420	78800	And then it moved just past the soccer field and then took off faster than you could blink.
80120	84100	Ladies and gentlemen, welcome back to another episode of Debriefed.
84100	91280	My name is Chris Ranzi, and today we're going to be continuing our read-through of part one of the Lacerda file.
91420	95740	So this is a two-part file, probably a four-part series.
96500	100960	We've already filmed the first part if you want to check that out and get caught up.
101060	103640	And if you are caught up, then welcome back.
103640	110240	Lacerda is the name that this reptilian female gave herself during the interview with this Swedish man in 1999.
110860	115640	Numerous statements have been declared, including the fact that they've been here for millions of years.
115740	123160	They were here prior to us and that this planet was once fought over by a humanoid race and a different reptilian race.
123400	130700	The humanoid race eventually won and then genetically enhanced our species, the hominids here,
130700	136860	the monkeys that were first jumping around in trees, as she put it, with the intention of making
136860	144540	us into sort of slaves to help mine, I'm sure, these precious minerals that they were seeking.
144700	152360	These beings were called the Elohim, which then are also present in Hebrew text. She's also
152360	159560	mentioned the differences physiologically between the reptilians and ourselves, notably genitalia,
160740	167840	are still, you know, number one. Way to go, humans. But also the birthing process and food,
168000	173280	they like to, as she stated multiple times, eat flesh. Now, I was corrected in the comments a
173280	179240	few times because flesh is also, because they're speaking, this was translated from Swedish and
179240	184940	the Germanic languages use the word fleisch, like in German, which means meat. So that's probably
184940	190480	lost in translation, but it doesn't help when you read the text in English to hear a reptilian
190700	195860	say I love flesh. Before we jump into the rest of the read-through, if you wouldn't mind leaving a
195860	200340	like on this video, subscribing, hitting the notification bell, maybe even leaving a comment
200340	207500	to help propel us into a favorable algorithm. Obviously, the YouTube and Google gods sometimes
207500	215500	frown so unfavorably on people who speak of these underground dwelling reptilians, so it helps if
215500	217640	If you just leave a comment, it goes a long way.
217860	218700	One more thing.
218860	220900	We just launched our website.
221100	221760	Big deal.
221860	222800	Huge deal for me.
223880	225900	Area52.shop is now live.
226100	228880	We got many products there, many cool things that we've been working on.
228940	240320	But one thing that I've been working on for a very long time, and it has finally come to fruition, is the Area 52 deck of cards, which contains a few secrets.
240320	248740	secrets which if you choose to follow the rabbit will lead you down a varying amount of holes
249920	254880	and lastly before we proceed I kindly ask that you suspend your disbelief because belief often
254880	262440	only gets in the way of a good story in today's UAP and UFO landscape it's hard to get unfiltered
262440	268540	news news that isn't biased on one side or the other news that isn't sensationalized or click
270320	274120	When I'm looking into a topic like this, it's important for me to get the facts,
274900	278400	and not only for them to be factual, but for them to be unbiased.
278940	282260	And that's where today's sponsor comes in. This video is sponsored by Ground News.
282620	287540	Ground News is phenomenal. Not only does it have a feature which allows me to filter the type of
287540	293900	news that I want, but it automatically grabs every single news source from a story and separates it
293900	299580	into categories, letting me know whether it's leaning left, leaning right, or just how I like
300320	304280	down the middle. Let's take this story for example. The headline on the left reads,
304440	309340	Tim Burchett tells Matt Gaetz aliens are hiding under the sea. I'm not worried about them harming
309340	316320	me. While the article on the right says congressman makes earth-shattering UFO claim,
316480	322220	might terrify people. And the one in the middle reads, Tim Burchett says he believes aliens have
322220	327900	underwater bases on earth. You can see the difference in the reporting based on what
327900	332840	political affiliation is attached to the story. But what if only one side is talking about a
332840	337120	certain topic and the other side completely ignores it? Well, that's the blind spot feature,
337360	343240	allowing you to really see what's being left out of your newsfeed. So don't wait to subscribe by
343240	348200	going to groundnews.com slash area or click the link in the description to save 40% off your
348200	352960	annual Vantage subscription and finally be able to beat the algorithm when it comes to the news
352960	359140	that's being delivered to you. Folks, we paid the bills. It's time to get in to part two of the
359140	368280	first part of the Lucertophiles. All right. So we left off, they were talking about how the Elohim
368280	373640	were featured in the Bible and that even the reptilians were featured in the Bible,
373740	381920	unfavorably, apparently. She asks, should I continue? And now we move on to Oleh K,
383360	388780	as he names himself. Question. No, not now. I've made some notes about your history,
388840	397460	and now I have some questions. Answer. Please ask. Question. First of all, you handle with a
397460	402660	very large timescale. You claim that your primitive ancestors lived together with the dinosaurs,
403580	410300	survived the, as you called it, artificial cataclysm, and evolved then over 40 million years,
410300	414100	and your evolution was completed 10 million years ago.
414480	416620	This sounds very unbelievable to me.
416700	418600	Can you say something to this?
419800	420480	Answer.
420600	424000	I understand that this must sound absolutely unbelievable to you
424000	426900	because you are a young and genetically engineered species.
427340	431700	Your historical horizon ends at a scale of just some thousands of years
431700	433280	and you think this is right.
433780	435080	But it isn't.
435080	436200	This is impossible.
436200	441520	possible. Your programmed mind is obviously not able to handle with such large timescales.
441640	447000	Our revolution time may seem incredible long for you. Again, please forgive the amount of
449180	454740	grammatical mispronunciations or misinterpretations here. This is translated from Swedish to English,
454800	458620	so there may be some things here. As I read them out loud, I kind of cringe at what I'm saying, but
458620	463960	you know, let's move past that, please. Our revolution time may seem incredible long to you,
463960	466380	But this is in fact the original way of nature.
466620	470340	Remember, your early mammal ancestors developed together with dinosaurs,
470540	472460	and they survived the bomb, like us.
473200	475720	They evolved slowly during the next millions of years,
475780	478180	and they divided into various species and shapes,
478420	480800	some of them larger, some of them smaller.
482060	484080	This is evolution of the body.
484500	486640	But what about their mind and intelligence?
487160	488520	They were simple animals.
489000	493740	The mammals evolved since, let us say, 150 millions of years.
493960	499340	but only in the last 2-3 millions of years they were able to become intelligent and thinking.
499580	502600	And within this small period, beings like you were created.
502880	503680	From nature?
505000	509560	148 millions of years time for the evolution of animal-like mammals,
509780	515440	2 millions of years time for the development, or more or less, intelligent beings like you?
515880	520460	Ask yourself, do you really think this accelerated evolution is natural?
520460	526560	Then your species is more ignorant than I've thought. We have not evolved wrong, but you.
527380	535340	Okay, Lucerta here is claiming that the human species was aided in their development, especially considering their intelligence.
535340	553060	Now, natural evolution does exist. She is not saying it doesn't exist. But a guided evolution in this case was necessary in order to reach the heights of intelligence that we have reached in the last couple million years compared to the hundreds of millions of years that we've been around, apparently.
553060	564840	And so if we were to compare this to modern paleontology, it would say that hominids were only around for several hundred thousands of years, as opposed to millions and hundreds of millions.
565240	568000	And so, you know, if true, very cool.
568000	583960	I also seem to think that on our personal timescale of several hundred thousands of years versus the last five to ten thousand years, there did also seem to be an accelerated growth intellectually.
583960	607740	I often entertain the idea as well that especially since the meteoric rise in propulsion systems and energy enhancement or energy harnessing that we've been going through, we might have also been aided by extraterrestrial technology at some point, especially after the 40s.
607740	616640	This is interesting, but if I were to bring my Tesla back into the 1500s, or even earlier,
616760	622760	back into the year one, or even earlier than that, let's bring my Tesla back 5,000 years ago,
622880	629600	the people who discover that Tesla will never be able to re-engineer, back-engineer the technology
629600	636520	that my Tesla has. Impossible. Impossible that their feeble minds can comprehend the amount
637900	642980	that is put into that. It's just no way. But what they will do is they'll take apart the door
642980	649460	and they'll use the metal to help shield their huts. They'll use the glass to perhaps cut hide.
649660	657640	Rest assured that they will never figure out how that Tesla works. And without my phone or my
657640	664400	Tesla card, you're not going to be able to drive that. And so they can turn the wheel and they can
664400	668060	and maybe bring the windows down until the batteries run out. But after that, they'll be
668060	674500	taking it apart and using it to enhance their own lives. I think that is a accurate representation
674500	683040	of what happened in the event that we did recover crashed UFOs. I think much of the same. We've used
683040	691160	a lot of their components to enhance our own lives, but failed at actually back engineering
691160	697360	these things. Getting sidetracked. What are we talking about here? Let's get back to reality.
697760	701780	Let's get back to the talking lizard lady. Question. I understand, but I have another
701780	706420	question. You've mentioned many facts about the ancient war between the aliens 65 million years
706420	711940	ago. This happened very long before your kind really became really intelligent, as far as I've
711940	717300	understood you. Why do you know so many things about that first war and about the evolution of
717300	723020	of our species? Good question. Answer. This is a good question. Much better than the previous.
723700	728460	And I have not explained it properly to you. Our knowledge about the first war comes completely
728460	734520	from ancient artifact, which was found around 16,000 years ago from our archaeologists on the
734520	739880	continent you call North America today. They found there a round plate with a diameter of
739880	745640	approximately 47 of your centimeters. The plate was made of an even, for us unknown, magnetic
747300	751700	plate, there was another smaller crystal plate, which contained an enormous amount of information
751700	757960	coded in the molecular structure of the crystal. This quote-unquote memory plate was manufactured
757960	764640	from the last bomb survivors of the human race from Procyon already 65 million years ago,
764780	769920	but it was completely intact when we found it. Our scientists were able to encode the messages
769920	774900	and data, and so we heard the first time about the events which took place in the distant past,
774900	777520	and which led to both the extinction of the dinosaurs.
777820	782140	The plate contained detailed descriptions of both species, but more about the humanoids,
782200	785060	and about the events and weapons including the fusion bomb.
785300	789200	It contained also a description of the animals and saurians on the Earth,
789400	792120	including our pre-intelligent ancestor species.
792560	795820	The rest of our knowledge about our evolution comes from skeletons
795820	799040	and from back-reading and decoding of our DNA.
799120	803920	You see, we know the real truth about our roots since 16,000 years.
804900	811280	that time, there was a more religious idea of our creation. That's interesting. So I think the,
811360	816440	you know, if this is a LARP or if this is truth or whatnot, but I think the point here is to
817300	822960	really throw up a mirror in front of us and say like, hey, once you get past this religious thing,
823180	829100	you know, there's a whole world waiting for you after that. Question, what has happened with both
829100	835640	alien species? Answer, we don't know exactly. The surviving humanoids on Earth obviously died in the
835640	840720	years after the bomb, and others of their kind and the reptilians never came back to Earth,
840860	846400	as far as we know. Concerning the reptilian aliens, there is a possibility that it was
846400	851420	physically impossible for them to return, because the matter between bubbles is sometimes in rapid
851420	857380	movement. The current theory is that both species had ceased to exist during millions of years.
859300	867180	thing to say that the matter between bubbles is sometimes in rapid movement. The matter between,
867320	872400	but what would that mean? Why would that be the reason that we don't see them anymore?
873620	878860	They're just acting on a different frequency than we are? Question. You've mentioned skeletons of
878860	884160	your kind. How can it be that human scientists haven't found any trace of you and your ancestors
884160	889160	if you really live for such a long time on this planet. We have found many skeletons of primitive
889160	895280	dinosaurs, but none of an advanced reptilian being with a larger skull and brain and a hand with a
895280	902320	thumb as you have described before. Answer, yes you have. But your great scientists were not able
902320	906900	to reconstruct the skeletons completely, because they wanted to reconstruct reptilian animals,
907040	912400	not intelligent beings. You would laugh if you know how many of the, especially small,
914160	920620	museums are totally wrong constructions of never existing beings because you used many bones which
920620	924880	didn't really belong together and sometimes you made artificial bones if something was missing
924880	929980	you need to construct an animal saurian many of your scientists are aware of this problem but they
929980	935300	don't like to make it public because they can't explain it and they claim that the right bones
935300	940240	were just missing and their construction is right many bones of us were used for iguanodon
