start	end	text
10460	12240	The End
30900	38320	commentator, told us about an incident that happened on Friday morning, October 3rd, 1958.
38700	44800	It was about 3 a.m. in the morning when a freight train number 91 on the Monon Railroad
44800	50980	was southbound through the little town of Rothville. And he went on to describe to us
50980	52240	what occurred.
53220	54580	There was a sighting
54580	57580	of about four unusual objects.
57920	58500	Well,
59260	60620	we talked with Frank
60620	62280	yesterday morning about this,
62880	65100	and I've been in touch with Frank
65100	66400	just a couple of minutes before
66400	68080	we went on the air again,
68860	70680	and I understand that something
70680	72180	rather exciting happened
72180	73820	evidently this afternoon
73820	75700	at Alamogordo.
76180	78020	And, of course, you know that the
78020	81740	the Lorenzans on Alamogardo de Mexico,
81900	84720	and they're also the people that had APRO,
84860	87920	and APRO was mentioned in many of the newspapers recently
88940	91120	in reference to Carl Jung,
91320	93260	and we'll find out more.
93340	95520	Now, we're going to try to get a call through with Frank Edwards.
95660	99900	He's now news director of WPTV in Indianapolis,
99940	102220	and as soon as we get that call through,
102280	105040	we'll find out what all this excitement is about,
105040	112220	out. And it certainly must be a rather exciting day. At least they had one in Alamogordo,
112340	115900	New Mexico. We'll find out all about that in a moment. Let's find out what's happening
115900	122040	out there. Hello. Frank Edwards. Long John, how are you? John, how are you tonight? Fine,
122100	128180	thank you. What happened in Alamogordo? I got a call from Coral Lawrence a little after
128180	129220	7 o'clock tonight.
129540	129820	Yes.
130180	131660	At 8 o'clock, rather.
131700	137400	She says that at 6 o'clock, their time, that's Alamogordo time.
137600	138360	That's 6 p.m.
138400	138700	Yes.
139520	145560	One of the children came in and told them that there was something strange in the sky.
146400	151900	She and her husband went out, and the family across the street, Mr. and Mrs. John Romero,
151920	155380	if I understood it, were already out watching this thing.
156160	160220	and Mr. and Mrs. Lawrence had went out and watched it
160220	164380	and they had a pair of seven-power binoculars.
164600	164800	Yes.
165000	170280	It was, according to her, a gigantic cigar-shaped thing
170280	173720	about nine miles west of where they were standing
173720	175640	over the San Andreas Mountains,
176280	179280	which, as you probably know, are the mountains on the western edge
179280	182320	of the Alamogordo or the Holloman Air Force Base.
182320	186800	She said the thing was not above 10, not more than 10 degrees above the horizon.
187500	191300	And they could see it clearly, particularly through the binoculars.
191620	197560	She said that the south, the south end of the thing, it was lined up north and south,
197640	203220	and the south end of it was slightly higher than the other end.
203420	209540	And while they were watching it, an intensely brilliant yellow light showed up
209540	212880	on the south end of the object several times,
212880	215180	flanged, very, very brilliant, she said.
215620	219220	And then it appeared to be discharging
219220	224420	some darned objects from the north or lower end of the object.
224980	226880	And they couldn't tell what they were
