start	end	text
3500	11500	Hi, my name's Shane. I'm with my daughter Adriana who's 12. We saw a white tic-tac from our patio.
11840	16100	We have it all on video as well. There was no flashing lights.
17060	26720	If you were to imagine a keyword going in a straight line like that and you're pushing something against it, that's kind of like slowly, that's kind of how fast it is.
26720	29900	Yeah, so it was weird.
57300	61700	like subscribe and if you don't already know there's a whole lot going on over at patreon
61700	68260	and youtube memberships we are pumping out content over there ramping it up and mostly because that
68260	72740	pretty much sustains this channel you better believe that i'm throwing some energy over there
72740	77080	and if you guys want to be a part of it uh click the link below to join youtube memberships or
77080	82300	simply go to patreon ton of extra free content all right folks we are done paying the bills
82300	90780	it is currently, I'll tell you right now, it is 7.49 a.m. on Friday.
91780	93340	We don't mess around over here.
93480	98420	Now, before we get into the final installment of this alleged whistleblower on 4chan,
98580	100400	we are going to do another patch review.
100520	102780	But this week's patch review is going to be a bit different,
102840	108480	as normally we do these NRL patches, the National Reconnaissance Office launch patch.
108740	110600	But this one's a little bit different.
112300	118860	This little ditty. Yeah, folks, that's a real thing. That is a real thing.
119000	128060	This is insane looking, but this is a patch that, you know, some military personnel wore.
128300	133320	Not any military personnel, by the way. So let's break it down.
133500	141400	First off, this was worn by the 509 Division bombers. These were the pilots of the B-2 stealth bombers.
142300	147500	really cool, sleek looking airplanes that look like UFOs that were actually probably made at Area 51.
147720	151680	But the 509 go back way farther than that.
151860	162200	You see, the 509th Division was originally the bombers who dropped the bombs on Nagasaki and Hiroshima in 1945.
163640	168340	So late in 1945, after that, the 509th actually moved.
169480	170180	Guess where they moved?
171700	173580	Yeah, Roswell, New Mexico.
174060	177100	They were stationed at the Roswell Army Base in New Mexico
177100	179880	and was renamed the 509th Bombardment Group,
179960	183640	where it became the core of the newly formed Strategic Air Command.
183940	188820	And so after that, they actually moved to the Whiteman Air Force Base in Missouri.
189000	193140	And that's where they currently reside, where they have the stealth B-2 bombers.
193400	194740	Their mission statement is,
194880	199380	Execute nuclear operations and global strike anytime, anywhere.
200180	202360	Sounds like something out of Team America, but that's a real thing.
202620	204720	The vision is America's premier bomb wing.
204940	208020	Trusted airmen executing nuclear and conventional air power.
208260	210580	Combat ready today, preparing for tomorrow.
211240	216540	Now, at the top of the patch features a prominent sentence, which says, to serve man.
217560	218440	How lovely.
218860	221340	How lovely to serve man, to serve us.
221360	222100	That is so cool.
223160	226120	Except when you know where this originated from.
226280	227400	Now, we'll get to that in a second.
227400	231880	See, prior to To Serve Man, this actually said classified flight test.
232060	238400	Now, this patch was, as I understand it, not the official patch of the 509th bombers.
238660	240920	This was kind of like more of a morale booster.
241080	248140	And originally they had classified flight test, but Air Force Command was like, yeah, you can't write classified on a patch.
248380	249540	So change it up.
249560	250620	And they changed it to this.
250820	255300	Now, this just goes to show you how much fun these people are having with patches that they wear.
255300	260020	because this quote, To Serve Man, actually comes from an episode of Twilight Zone.
260860	267180	March 2nd, 1962, Season 3, Episode 24, features aliens coming down to Earth
267180	271800	and giving humanity books which says, To Serve Man.
272620	277060	And all is well and good up until the very last second of this episode
277060	281820	where humans are gathered and herded into the UFOs by the aliens
281820	285820	and someone comes running with a book and says,
286340	287500	It's a cookbook!
289420	291460	And that was the plot twist of the episode.
291580	292900	Great episode. Classic.
293160	295540	And if that wasn't enough, at the very bottom it says,
295660	297740	Gustatus simulus pulis.
298040	300820	Now that sounds very Latin.
301320	303200	And what that actually means is,
303840	304820	Tastes like chicken.
305400	306960	Not joking. That's what that means.
306960	311940	Now we see this alien depicted sort of chomping down on this B-2 bomber.
312140	321000	We also see these lines in the background and we see what seems like either a pitchfork or an actual fork to the right of the alien.
321060	325180	And on the left side of the alien is a knife.
325300	326240	So it looks like a fork and knife.
326320	327780	And then there's like this golden X.
328160	333840	There's also this symbol on the B-2 bomber, the circle with this sort of golden little protrusion on it.
333840	347320	So the alien is probably a nod to Roswell, seeing as that the 509th was actually the first military unit to report the recovery of the debris from the unidentified flying craft that crash landed in Roswell.
347460	351540	So the 509th were the first responders. They were the first responders in 1947.
352520	358160	They were also the one to drop nuclear bombs. Anytime we drop nuclear bombs, aliens show up.
358760	363060	There's a whole connection to this specific unit already.
363840	370000	in the back as far as i can tell this is my estimated guess on this but i think those are
370000	375940	like radar lines those are to represent the lines you would see on a radar and that x might be some
375940	381820	type of radar coordinate and the reason i say that because the lowercase sigma symbol which is
381820	387480	featured on the stealth bomber that's what that is the circle with the lines a lowercase sigma symbol
387480	391960	And if we're discussing radar, that symbol represents a radar cross-section.
392100	396680	So the RCS is actually a measurement of how detectable an object is on radar.
397920	401640	And so this would make sense because the B-2 is a stealth fighter.
401860	408600	So technically speaking, the RCS indicates how much power is scattered back to the radar source when it hits an object like an aircraft.
408880	415460	A larger sigma value means the object reflects more radar energy, making it more easily detectable,
415460	421280	while a smaller value implies a stealthier, less detectable object, much like the one depicted
421280	427380	here. But naturally, it wasn't completely undetected, as there is an X on these lines.
427600	433260	The alien did figure out where the bomber was, intercepted the bomber, got his fork and knife
433260	439200	at the ready, and is ready to chomp down. And that, folks, is all I have for this patch here,
439260	443580	and I think that's quite enough. Little to no speculation. I mean, we figured that one out,
445460	449540	think I've missed something on this patch, I would love to know. Alright folks, without any further
449540	455900	ado, we're going to get into this right now. This is going to be the heftiest portion of the
456960	461680	whistleblower files. Strap yourselves in, get yourself a coffee or a drink or something. And
461680	465880	if you're listening to this in audio only, I appreciate you. Don't forget to leave us a five
465880	470060	star review and maybe some kind words over there on iTunes or Spotify. It helps out quite a bit.
470060	476980	Also, just so you know, you can pick up the Area 52 patch, our very own little patch that you can slap on.
477060	478760	You just iron these on. They're iron-on.
478880	480740	You can pick these up at first.shop.
481040	485660	We're going to start off with just the original poster, the OP's comment here.
485800	486360	He says,
486540	494180	The way these are constructed, you cannot take an existing but damaged craft and just add on spare parts from another, close it up, and call it good.
494740	498960	Human, quote-unquote, repairs only go so far on existing craft.
500060	503700	Instead, we have a much shittier iteration of what they build.
504040	508020	Some parts are not reused, they are just materials for testing or research.
508400	512080	Once again, could be that I explained the process too poorly.
512320	517320	We don't reassemble them, we quite literally bum parts and try to make our own.
517460	522560	And some parts of the craft we make have to be human-made substitutions, the mechanism
522560	524640	for piloting is one such part.
524960	526520	We also add things.
526520	535240	so this is very interesting to me because that is one of the speculations in UFO lore is that
535240	540640	how are they manning these crafts how are they flying these crafts seemingly the one that Bob
540640	545540	Lazar worked on now he never went to the third floor or the uppermost floor he wasn't allowed
545540	551920	access to that but from what he saw on the main floor there was no such steering components or
551920	557040	or anything whatsoever, no computer, no nothing. So it leads us to believe that there might be
557040	562600	some type of psionic or psychic ability that allows for your consciousness to interface with
562600	569240	the technology and fly it using your mind. Like that's the hypothesis anyways. And it seems like
569240	574020	this guy agrees with that by saying the mechanism for piloting is something that they have to
574020	579020	substitute. Question, what the F are you talking about? What actual data do we have on UAPs?
579020	583260	Answer. I'm not surprised people think this way. There's a ton of shrouded information on this
583260	588420	topic. You're telling me? Question. UFOs influencing human minds supposedly comes
588420	593860	from government sources. Answer. I'd be more inclined to believe this aspect alone. A lot
593860	598220	of posts in this thread made me wonder if there was more construction units, etc.
598780	603340	I also found the memo post interesting, specifically because of the year mentioned.
603600	607720	Now, this is the second time he mentions the Wilson Davis memos. I have since
609020	616380	to this memo and this interaction between Admiral Thomas Wilson and Eric Davis.
616500	617600	And the year is interesting.
617820	621240	Question, what's his compartment and why is it the ultimate treasure trove?
621380	624580	Answer, even if you don't believe me, I think we can agree the bio department
624580	628340	would have more info than me by conversation with them alone.
628920	631100	This is before we even include leadership.
631420	636660	Okay, so he thinks that obviously the bio department is a more important department
636660	637780	and then leadership.
639020	644220	with that. Question, are they following SpaceX operations? Answer, they respond rather quickly
644220	651580	to any type of rocketry. I imagine they will be. ULA has now filed a lawsuit against the FAA to
651580	657680	block SpaceX's Starship Florida plan, questioning Starship's ability to reach the moon and Mars.
657960	663380	Question, didn't make any noise, was completely black like black metal. There is no way a being
663380	668820	could resist that sharp turn without turning into a puddle of blood. Answer, they make noise but
669020	673600	very much of it. Also, they can stop inertia when we struggle with that, when we still struggle with
673600	679520	that. Question. Has any writing been discovered on the crafts? Answer. Yes. Or on any tools inside
679520	686440	of them? Answer. Yes. Question. If so, has it been linguistically linked to any known languages?
686620	691640	Answer. I'm not sure, but it doesn't look like anything I've seen. Question. What specifics of
691640	697340	the propulsion system can you reveal? Answer. I covered this already, but as far for the mercury
699020	701640	Oh, I guess somebody's asking if there's mercury involved.
701880	707460	Question, if the U.S. Navy, etc. knows where the construction facility is, answer, they don't.
707460	711260	Question, a lot of Bob Lazar's is proven bullshit.
711680	713520	Answer, sauce, question mark.
713640	715920	Now, sauce in 4chan language means source.
716160	719460	So he's asking, if you think it's BS, give me the source.
719620	721040	Maybe we'll get an answer on that.
721160	725860	Question, it's interesting that he doesn't know the lore of Bob Lazar.
726180	728760	Like, all he knows is that Bob Lazar was mentioned.
729300	735760	115 was mentioned and he knows like that story he doesn't know any of the deep Bob Lazar lore
735760	741540	that exists on the internet there's a whole dark history on Bob Lazar that people have speculated
741540	747700	exists and uh and that's the reason you know he has this story it's a it's a deep rabbit hole
747700	752720	but this guy's not even aware of that so I find it really interesting that this person here who
752720	755420	who could be LARPing, could be creating this universe,
755540	759080	has very good universe building components,
759120	761840	and yet missed a really big one.
761960	763980	Like, if you're going to build something around Bob Lazar,
764080	766120	you want to make sure you've seen every angle, right?
766420	769340	And so it's interesting that he hadn't.
769660	773800	Either he's an unprepared liar, or, yeah, it's real.
774260	776460	Question, what does the interior of the craft look like?
776480	777660	Please describe it in detail.
777940	779200	Answer, I already did this.
779320	781560	It's always cramped and hard to stand fully upright.
782720	787560	I'm 5'8". Oh, interesting that he would give away his height. There's almost never a storage
787560	792860	facility unless it is dedicated to something for the craft. There is always a method of interacting
792860	797960	with the craft. Tools are not freely placed around the craft. They have dedicated placement.
799240	806780	Question. Have you only ever entered slash seen orbs? Answer. The hammers? If so, yes,
806780	808280	Yes, I've used them.
809340	811380	What? You've used them?
812100	814600	Question. Or have you been involved with discs too?
814920	816940	Answer. No. Be more specific.
817240	823120	Question. It sounds like the Tic Tacs or cigar-shaped ones are transports nobody has gotten a hold of, right?
823860	827100	Answer. Cigar shapes are very rare.
827620	831740	Correct. We were told finding one would be career-changing.
832640	835680	We suspect they are transports, but ultimately don't know.
836900	839800	There are many stories of crashed disks. Please elaborate.
840400	842360	Answer. I've never seen a disk.
843540	845740	Question. I'm curious to know what you think.
846140	853200	Answer. Prior to the zookeeper comment, I thought they looked down on us as vile and worthless with intent to destroy everything around us.
853260	856720	So before he was told the zookeeper thing, he thought they were just chum.
856860	860140	Question. What role do you think Space Force will play in disclosure moving forward?
860360	865580	Answer. Openly stated to us, discovery for internal use and disinformation to the public.
866780	871220	Question, what can we use as a populace to encourage your bosses to lighten up?
872420	877920	Good question. Answer, this has always been on my mind. I think if we convinced another nation like
877920	883060	China or Russia to come out, the US would have to come out as well. I think having the United
883060	889180	States Air Force release their footage was a way to jumpstart SpaceX in a way. That would be a good
889180	893360	strategy though, to get like China or Russia to open up and then like US would have to fall suit.
893500	896500	But I'm sure there's some type of agreement behind the curtain there. Question, the Pentagon
896780	901700	already reported that legit UAPs are off-world vehicles not made of this earth while OP is
901700	906400	claiming they are made in facilities in the ocean. Answer, I stated multiple times we've seen them
906400	910860	come and go from the planet. We suspect the construction facility is capable of space travel
910860	916440	as well. Question, he also stated that they were all unmanned. Answer, reading comprehension issue,
916620	922560	I said most of them are unmanned today. This is not strictly the case and in prior years we dealt
922560	927360	with piloted craft quite often. Even I know this. Guys, come on, if you're going to ask this guy a
927360	931300	question, do your homework. Question, people with security clearances that large, that large,
931440	936100	don't just get on 4chan to spill the beans. Answer, you're not wrong. And if it makes you
936100	941300	feel better, watching my internet take a shit last night made me panic a bit if I'm being honest.
941600	946600	I could have just ignored your post too. So he's fessing up. He's kind of like, yeah, I am
946600	947220	I'm scared.
947800	951640	My computer glitched and I thought, you know, he got, he was panicking.
951860	952240	Answer.
952340	954000	I do not have free access to everything.
954500	958140	Visiting crash sites comes with a lot of information by default though.
958680	959160	Right.
959420	963620	You're probably read into the, you know, the entire thing on a baseline level.
963860	964300	Question.
964380	966160	Providing zero evidence towards his claim.
966380	968360	Also the burden of proof fallacy.
968500	968980	Answer.
969380	972780	Was I supposed to steal data from work and post it freely here?
973000	975320	How about a copy of my clearance or work badge?
976600	982460	let me just out myself completely. He's getting pretty defensive about this stuff. Now, you know,
982480	987900	that could be defensive because he's mad that we're not believing his truth or he's trying to
987900	992580	cover a lie. You know, that I learned from Spidey. If you haven't checked that episode out, behavioral
992580	997580	analyst Spidey helped me out in looking at whistleblowers. Question. Okay. So element 115
997580	1003260	provide the weak gravity field and the engine amplify the phenom through resonance? Question
1003260	1007960	mark? Answer. The gravity field remains the same for element 115, but the output from the engine
1007960	1012740	produces almost all of the gravity used for travel. Question. Was the language that Bob Lazar leaked
1013320	1018400	completed? Answer. I've never seen it. Can you post a picture of it? Question. Any info about
1018400	1023880	crop circles? Answer. Never seen one or heard of it being relevant. All right, fair enough. He's in
1023880	1029720	the ocean. No crops in the ocean. Question. I have a few questions, if you please. Answer. You have a
1029720	1034540	lot so I'm not answering every single thing. Question. Has there been any unusual effects
