start	end	text
0	4480	Last episode of Weaponized, we heard directly from Tim Burchett.
4560	7440	There was a lot that he said, but there was a lot that we could not say.
7680	9960	Now, some of that was put out.
10060	12640	July 26th, we'll have a hearing.
12820	15080	We'll hear directly from firsthand witnesses.
15420	18140	Senator Schumer is a pretty crafty politician.
18600	22400	He's not going to stick his neck out if he doesn't have some kind of support
22880	24560	for taking this sort of a position.
24920	29700	We all have to believe that the testimony of David Grush that came out a few weeks ago,
30000	35940	friend David, has played a major role in the steps that have been taken both in the Senate
35940	40600	and in the House. You said you've been in contact with, say, the Lockheeds of the world.
40780	45680	You know, we're talking about technologies that could eradicate some of the damage caused by
45680	51340	climate change, for example, which is a huge, huge political issue right now.
52220	55660	Now, this news tonight from Senator Schumer introducing new legislation,
55920	58520	things are happening fast. Again, if you're a skeptic or a believer,
60000	61760	Even if you're a skeptic, it's still interesting.
61940	64200	We should get to find out what's actually known
64200	65660	and what the government is up to,
65760	67500	even if you don't believe in UFOs.
67500	68780	So it's gonna be interesting.
69000	70260	Jeremy Corbyn- UFOs are not a matter of belief.
70560	71620	We're past that.
71800	72760	We know it's true.
72880	75040	There's machines that outpace ours that are in the sky.
75100	75860	We don't know where they're from.
75980	78960	The witnesses are kind of like Mark Zuckerberg.
79080	80600	They're like, send me location.
83160	85080	Secrets, coverups, and strange phenomena.
85940	88500	UFOs and ideas that challenge reality itself.
90080	95280	all this time. Are we ever going to get to the bottom of these? My name is George Knapp. I dig
95280	101080	into news stories that others can't or won't. I'm Jeremy Korbel, and for some reason, people tell
101080	112780	me things they probably shouldn't. And this is Weaponized. Welcome back. This is Weaponized.
112780	116360	And as you know, we've been telling you for a while now about things that were in the works
116360	122320	in the shadows in the past few days. Wow, it's come spilling out following the blockbuster
122320	128400	testimony from career intelligence officer David Grush a few weeks ago. Bombs have been dropping,
128540	134600	heads are exploding, the minds of hardcore debunker types have melted down into tiny
134600	140360	puddles of sad, salty tears. Bless their little hearts. Jeremy, there's so much to talk about.
140360	146260	Let's start with Chuck Schumer in this big drop a few days ago about an amendment to
146260	147040	the defense bill.
148040	153980	Yeah, man, this is awesome, powerful, new language that really puts the screws on some
153980	160200	of these holding companies that allegedly have off-world craft not made here on Earth.
160400	165160	And if that's the case, man, they are putting the screws to these companies being like,
165280	167020	you best be telling us.
167100	168860	And hopefully this becomes law.
170380	176080	voices that have kind of, you know, piped up about this. One of them is Chris Sharp. He dropped this
176080	181740	great article, super informed. I did a quote for it because he was pushing me to get more
181740	186780	information for him. Man, super informed article. Are we going to go to talk to Chris?
187460	192540	Let's get him because honestly, I've respected the way that he's handled some of these more
192540	196360	difficult cases and he's a great resource. Let's get him right now.
196360	202880	Chris Sharp is the editor, publisher, writer of Liberation Times. He's been covering the UFO
202880	209980	issue, UFO transparency action in Washington in ways that major mainstream American media
209980	216440	just have failed to do. And he joins us now. So we have Chris. Chris, great to see you, man.
216560	221900	Great reporting. Thank you for having me, my friend. It's an honor to finally appear
221900	228220	here on WebTenize with both you and George, who are both heroes of mine and great friends as well.
228280	235240	So thank you. Chris, do you find it amazing that we Americans, the news consumers in our country,
235380	241400	have to rely on you and the excellent job you do for information about what's going on about UAP?
241420	247220	Because our mainstream media, even after all that has happened, still don't really cover it,
247220	249100	or when they do, they cover it reluctantly.
250380	251540	Yes, that's correct.
251780	255680	And it's very, very disappointing to see, unfortunately.
255920	259860	And I think the stigma and taboo of this topic
259860	263740	is really, really unfortunate.
264100	266240	And I think what is more unfortunate
266240	267640	is the fact that journalists,
268360	271120	they no longer have this fearlessness
271120	273280	of actually just reporting the news
273280	275700	and investigating on what's actually going on.
277220	282600	it's really sad i wish we could go back to the 1970s sometimes and that era of reporting you
282600	289300	know when you had real journalists really going after these types of stories um but beauty of now
289300	295800	today the world that we live in is that we can have independent publications such as liberation
295800	301060	times independent journalists you know such as such as what you guys are doing on weaponized
301060	306820	for instance you know going after these cases and just reporting the news basically investigating
307220	313020	what's going on. And I really feel that the independent journalists reporting on this topic
313020	318580	are really, really going to help us push through and hopefully get some transparency in the years
318580	325380	to come in relation to this really vitally important topic. Of course, some bombs were
325380	330860	dropped in the last couple of days because we all talk off the air, off the record. You and I and
330860	335040	Jeremy keep in touch. We've known a lot of this stuff was coming, but even we were surprised
335040	337000	by some of the things that have happened.
337200	341080	And reluctantly, even the New York Times had to report
341080	344080	on this bombshell dropped by Senator Schumer
344080	345700	within the last two days.
345840	348340	Can you give us a recap, your take on that story,
348460	349700	what it means to this topic?
350500	355140	It is a huge story, an absolute mammoth of a story,
355320	358500	because what was previously relegated
358500	361740	to the Office of the Undersecretary of Defense
361740	364360	for Security and Intelligence,
365040	372480	is now at the desk of the highest office in the land that of the president of the United States.
372860	380040	So this is an absolutely huge story and what it is, it's a new amendment to the National
380040	386580	Defense Authorization Act by, you know, it's by the most powerful person in the Senate, it's by
387920	394540	Chuck Schumer, who's the leader of the Senate from the Democrat side, and he's inserted this
395040	406780	amendment basically which provides a UAP review board which will basically look to release UAP
406780	416680	reports going back decades but not only that it would also look to potentially release UAP
416680	423860	materials which could also mean craft and let's say biological specimens as well
423860	432020	relating to UAP which are non-human in nature and that is just explosive because we know there is
432020	438360	already a version of the intelligence authorization act and a national defense authorization act
438360	445720	which provides an amnesty period of 60 days for basically the likes of Lockheed Martin
445720	447960	to actually come clean about what they have.
448160	454300	Now, this new amendment by Chuck Schumer is a follow on in a way from that,
454360	462360	because it says that if any UAP materials or biological specimens are discovered,
463100	467340	then the US government will possess those materials.
468360	472700	Martin, look, if they have these materials, they'll have to surrender them to the US government.
473540	478680	And it looks like there's a real plan coming together now about how we get this stuff out
478680	484300	and release it to the US public. Jeremy, you want to jump in? I mean,
484320	488280	that's a lot to unpack right there. I know we both have a lot of questions. You want to jump in there?
488580	494560	Yeah, for sure. So Chris, first of all, I got to congratulate you. I do contribute to your articles
494560	500260	because you call me with a lot of questions, but you are so obsessed with perfect accuracy
500260	506720	and you force me to make calls to make sure that what you're doing is correct.
506900	511660	So you actually are breaking news in this last story you wrote that people I don't think
511660	515240	have really admired yet, but I think they will.
515300	522980	Look, this new legislation is making a powerful move to expose the issue of illegal UAP technological
522980	524080	holdings.
524560	526840	Like that's what this legislation is doing.
527000	529140	I got, George and I got a preview of it.
529180	530200	Just put it that way.
531140	534080	But it has to be put into law, but that's what it's trying to do.
534200	540060	So we should be asking ourselves, in my opinion, we should be asking ourselves what the authors
540060	541740	of this amendment know.
542340	545200	I mean, this is like, what do they know to try to put this into law?
545580	551980	You don't aim to push this kind of language into law unless you have direct knowledge
551980	559220	Knowledge of illegal UAP holding facilities and programs backed up by folks directly and
559220	565600	currently working on these UAP programs and technologies and projects.
565860	572500	So I happen to know that this language was written with purpose and intent and that this
572500	574400	language was written from a place of knowledge.
575900	579920	They wouldn't be putting it into law if they couldn't back it up.
580080	581200	Does that make sense to you?
581980	601820	Correct, correct. And also, thank you so much for your contribution, Jeremy. I mean, anything reported in Liberation Times, we ensure that we are correct as possible because the topic of UAP, there is so much stigma surrounding it. So when you're reporting information, you have to ensure that it's accurate.
601820	608280	and look if the circumstances change you update that article as well to ensure that you you know
608280	614020	you're keeping your readers informed basically of what the latest is you don't just leave it out
614020	619340	there you know you make sure that everything you report on if there is an update new information
619340	624520	provided you put it out there there is such a weight of responsibility that i feel when i'm
624520	632520	reporting on these articles. And yes, I feel that there is some smoking gun evidence of UAP
632520	642340	potentially being of either unknown origin, albeit of a non-prosaic origin, let's say,
643020	649580	or non-human origin that they're able to determine. And I would just put this out there.
649640	653860	I would love to know your opinion. I've not asked you about this before, Jeremy, but
654520	666540	We know that there has been some coordination in terms of getting this new amendment out there with the White House and National Security Council as well.
666540	674420	um so following the february shootdowns that occurred over north america there did there was
674420	681600	a rumor which was going around about a very very senior member of let's say uh the u.s armed forces
681600	691600	who approached a white house staff member let's say and spilled the beans about legacy programs
691600	697220	and stated that the US Air Force is lying when it comes down to the topic of UAP.
697480	701460	And then we had the White House set up its own kind of task force
701460	705440	all of a sudden to look into UAP, and that kind of disappeared.
705920	710520	And now we know that this bombshell language, which basically asserts
710520	715780	that there are non-human entities, or implies that at least,
715920	719620	that now that's come from, in part, from the White House,
721600	724160	And like you said, I just don't think that came from nowhere.
724240	730320	And I do get the feeling that there has been a series of events that have led to this place
730320	731460	that we are at now.
733260	735320	Well, first of all, we're interviewing you.
735380	736580	You're not interviewing us.
736720	740320	I'm going to decline to answer any further.
740420	742720	But it's really interesting, the things that you're saying.
742900	749600	And I think that you are seeing a ripple effect, not just of public interest, but of people
751620	758020	of, holy shit, this is not only true, but I've just been shown evidence of it.
758140	763940	So what you're getting is you're getting people being exposed to information, footage,
765800	770340	documents inside of government, even all the way up into the White House that they haven't
770340	770960	seen before.
771360	774200	And so, you know, look, what do people hate more than anything?
774940	776060	It's being lied to.
776420	780500	And as George will tell you after, you know, almost 40 years of reporting on this,
781600	789180	even lied to. And so this is where people's hubris and egos are very helpful to the disclosure
789180	795860	efforts about this topic, whatever it might be. So that's all I can, that's all I really want to
795860	801680	say about that. I would jump in this way. Senator Schumer is a pretty crafty politician. He's not
801680	806840	going to stick his neck out if he doesn't have some kind of support for taking this sort of a
806840	811800	opposition. We all have to believe that the testimony of David Grush that came out a few
811800	817980	weeks ago, our friend David, has played a major role in the steps that have been taken both in
817980	823900	the Senate and in the House in pushing this ball down the field. Grush is not alone, however. In
823900	828460	the statements that was released by Schumer's office, he made it clear that they have heard
828460	833380	from a bunch of people, not just Grush, but a whole bunch of people who've come out offering
833380	835980	offering information about these legacy UFO programs.
836340	840940	And I will tell you this, that it's not the first time that the senator has heard this.
841100	846060	My friend, the late Senator Harry Reid, talked to Schumer, who was his protege.
846120	851460	You might have seen one of the tweets that Schumer put out after he dropped this bombshell amendment.
851700	857320	He paid homage to the legacy of his friend, Senator Reid, who died more than a year ago.
857940	862680	What we're seeing unfolding here now, all these different elements in different places,
863380	868040	can largely be tracked back to the work that Senator Reid started here in Las Vegas
868780	874020	more than two decades ago. You know, I had a secret private conversation with him going for
874020	879560	more than 30 years about his interest in UFOs, and I helped fan those flames for a long time.
879660	885180	And I asked him flat out who among the Senate colleagues he had talked to about this issue,
885340	889880	and Schumer was one of them. Schumer was his right-hand man. Schumer learned the job of being
889880	895200	how to be a majority leader from his mentor, Harry Reid, and they did talk about UFOs.
895200	900140	I would also say there are others, current sitting members of the Senate, who also talked to Senator
900140	906580	Reid before he died and after that New York Times story came out in December of 2017. One of those
906580	913460	was a presidential candidate, Cory Booker. So there are a lot of members of the Senate who have not
913460	918300	come forward on this yet. Senator Gillibrand, Senator Rubio have been out in front on it,
