start	end	text
0	7840	You know, there's something deeper that creates the illusion of space and time in humans.
8620	13460	The UFO world can be a spooky one. It's hard to know which sources to trust.
13760	19040	You have to listen to your inner voice about who has ulterior motives, who is profiteering,
19140	24040	who is spreading disinformation, and who is performing psychological operations on the
24040	29540	American population. The point is, without an internal compass, it's easy to end up alone
30000	30820	in a hallway of mirrors.
31180	33640	These days, since our technology platforms
33640	36680	are so high to generate effects,
37020	40280	then it really is a zoo of options and possibilities.
41140	43880	But occasionally you meet long-time researchers
43880	46440	who are clearly on their own genuine quest
46440	47480	for meaning in life.
47700	51260	And their inquiry into UFOs is just one part of that,
51420	53040	a harbinger of the next paradigm,
53300	55040	a fascinating scientific anomaly
55040	57500	with profound sociological implications.
57500	64320	I would be ashamed of being human if I didn't try to find out, or at the minimum, acknowledge
64320	65300	that it was there.
65680	68320	Jacques Vallée is the ultimate archetype of this.
68520	72700	He is a serious researcher with a computer science, physics, and astronomy background.
73040	77720	He even helped build the earliest version of the internet, a project called ARPANET,
77820	80620	with legendary computer scientist Doug Engelbart.
80780	85820	And for the purposes of this episode, he has probably talked to more UFO witnesses and
87500	88920	than any living person.
89100	91380	In fact, it's now almost conventional knowledge
91380	94580	that if you're an average citizen who encounters a UFO crash,
94900	96340	mail the materials to Jacques.
97360	100080	Jacques' books are incredibly dense and detailed,
100320	101580	not for the faint of heart.
101680	104900	But if you read them closely, Jacques can drop some truth bombs
104900	106320	you won't get anywhere else,
106480	109980	like in his book Revelations, Alien Contact and Human Deception,
110160	113880	when he hints that Bob Lazar was actually an MK Ultra patient,
114080	116580	possibly the subject of government brainwashing,
117500	121160	believe he worked on reverse engineering UFOs. On page 9,
121260	126280	Thalé writes, Robert Lazar also told me of his strange memory lapses of the
126280	131820	peculiar liquid he was made to drink. It violated a lot of what we thought was
131820	136420	impossible to violate. But perhaps what I find most interesting about Jacques is
136420	141500	that he's just as mystical as he is hard-headed and scientific. He's as
141500	147380	interested in esotericism, parapsychology, and Philip K. Dick as he is nuts and
147500	152040	Bolt's analysis of the material science and physics involved in UFOs.
152040	155960	We really don't have a good idea of what reality is.
