start	end	text
660	7760	The three crew members of Japan Airlines Flight 1628 were on their way to Tokyo from Paris with a cargo of French wine.
8220	16440	They had just left Canadian airspace and entered Alaska when pilot Kenji Torauchi says he saw several wavering yellowish-white lights.
16720	21180	The crew members dimmed the cockpit lights to make sure the lights were not just a reflection.
21180	30140	They said they observed a walnut-shaped object as long as two aircraft carriers illuminated by the cargo plane's flashing strobe lights.
30680	41200	The UFO stayed with the cargo plane for about 50 minutes, following the plane's every move during a 360-degree turn and again when the pilot descended 1,200 meters.
42120	49200	About 130 kilometers from Fairbanks, Alaska, the crew says the UFO disappeared over the horizon into Canada.
51180	56180	news reports, the unidentified flying object had appeared on both Federal Aviation Administration
56180	63300	and military radar screens. But FAA spokesman Paul Stuckey says the double radar images first
63300	69260	reported have now been dismissed by experts as something called clutter or split signals,
69320	74940	sometimes produced by a plane's navigational devices. Yet Paul Stuckey describes the crew
74940	80520	members as credible observers and says the FAA is taking the November sighting seriously,
81180	85060	In his words, they saw what they saw, what it was we don't know.
85640	89660	UFO enthusiasts are intrigued by the reported sighting.
89760	95260	The Mutual UFO Network is an organization with 1,500 members around the world
95260	100360	that has collected on computer information about 60,000 UFO sightings.
101200	105960	The organization says a large percentage of encounters with unidentified flying objects
105960	111400	are reported by pilots, but are seldom made public because most airlines forbid their flight crews
111400	117240	from talking with journalists. While the lack of a radar record weakens the case, the director of
117240	123540	the Mutual UFO Network emphasizes it is significant that credible eyewitnesses reported the sighting.
124420	130240	Skeptics insist the encounter has a logical explanation. Philip Klass is a member of the
130240	135660	the Committee for the Investigation into Claims of the Paranormal, an organization that debunks
135660	142180	such phenomena as flying saucers, communication with the dead, and fortune-telling. Philip Klass
142180	148580	believes the pilot did indeed see something extraterrestrial, the planet Jupiter. He says
148580	153560	the giant planet was directly in front of the plane's main heading and would appear especially
153560	161360	clear in the clean air over Alaska. Also, bright stars or planets appear to follow every move by a
161360	167280	plane. But Philip Klass predicts that the pilot, who appeared on several TV and radio shows,
167560	173220	will never admit he may have seen Jupiter because of the professional embarrassment it would cause.
173800	178980	The Federal Aviation Administration will release a final report on the incident by the end of
178980	185680	January. FAA spokesman Paul Stuckey admits there is little more the agency can add now that experts
185680	191600	have dismissed the radar record, but he says investigators are certain of one thing, the crew
191600	197500	of the Japanese plane had not been drinking its cargo of French wine. I'm Bill Torrey.
