start	end	text
0	3460	But just remember, Jesse, this book is the lid to a rabbit hole.
3640	6860	And once you've opened it, I'd turn back if I was you.
8840	12120	When it comes to reverse engineering UFOs,
12120	15220	the guy that comes to mind for most people is Bob Lazar.
15620	21420	But what if I were to tell you that Lazar isn't the first person in American history to work on UFOs?
21480	25260	In fact, there's a mysterious mid-century American inventor
25260	31280	whose flying saucer-shaped gravitators attracted the attention of the government's top brass.
31640	34640	The man I'm talking about is named Townsend Brown.
34680	35520	Townsend Brown.
35580	36400	Townsend Brown.
36500	37180	Townsend Brown.
37240	37760	Townsend Brown.
37820	39080	There's a guy named Townsend Brown.
39120	41260	Okay, okay, Townsend Brown. I want to look that up.
42260	47060	The holy grail of physics involves the unification of the four fundamental forces,
47160	51700	which includes finding a missing link between electromagnetism and gravity.
51700	56820	Einstein actually spent the latter half of his career trying to solve for this mathematically.
57300	60660	We're not being honest about the failure of string theory.
61360	65580	There's an infinite number of universes that are possible right in your room.
65840	67500	Michio Kaku is out of control.
68460	74440	It is my belief that this spooky inventor may have experimentally discovered this long-sought link.
74740	75980	I'll go and I can't do this.
75980	79120	It quieted down because no way it ever got anywhere.
79340	81640	Or it quieted it down because it did get somewhere
81640	82360	and it went black.
84320	85480	Any questions from last time?
89300	92240	The popular account of Brown is that he's an amateur quack.
92460	94780	His only publicly acknowledged invention
95380	98360	is Sharper Image's Ionic Breeze air purifier.
98500	100160	The Quadra and the GP.
101300	103720	But his life's work was classified by the Navy
103720	106960	and was shrouded by intentionally seeded disinformation.
107320	109720	And so now we can discount it, nothing to see here.
109900	110080	Right.
110180	114880	He was at the birth of all of the intelligence agencies.
115320	115700	You're CIA.
116600	120060	Townsend Brown is Nikola Tesla meets the Dos Equis guy.
120280	122540	He's popping up everywhere at pivotal moments
122540	123520	in American history.
123700	126120	He's closely coordinating with William Stevenson,
126180	129460	Churchill's super spy, and the inspiration for James Bond,
129660	132180	Edward Teller, the father of the hydrogen bomb,
133720	139180	Curtis LeMay, chief of staff at the Air Force. Brown is at Martin Corporation the same year
139180	145660	Skunk Works gets founded, and then goes into Nazi Germany in 1945 to retrieve exotic propulsion
145660	151160	technology. Townsend Brown was even a close confidant and colleague of Robert Saarbacher's,
151240	155860	the student of Einstein and famed Harvard physicist who towards the end of his life
155860	161180	admitted to UFO researcher William Steinman that the rumors surrounding UFO crashes are
161180	162320	are substantially correct.
162580	165800	In fact, modern UFO whistleblower David Grush
165800	168460	has publicly stated that Robert Saarbacher
168460	170620	helped set up UFO secrecy.
170700	173080	Saarbacher, somebody purportedly involved
173080	175620	in the standup of the stuff that I uncovered, right?
175820	178440	Brown's 1953 Winter Haven proposal
178440	182040	almost exactly resembles how all insiders
182040	184560	describe America's secret UFO program.
184800	186800	No one has the whole puzzle
186800	189440	or an image of the whole puzzle, but they have pieces.
191180	199020	that way. Previously, the Townsend Brown fan club has been relegated to obscure forums on the dark
199020	204280	corners of the internet. Townsend Brown's like potato chips. You just can't stop. But just last
204280	210200	year, far more concrete details have emerged about Brown's life, thanks to Paul Shatskin,
210380	215440	the author of Brown's amazing new biography, The Man Who Mastered Gravity. Why do you think these
215440	220080	people spoke to you? Yeah, we're getting some interesting territory. The story is a vindication
221180	223020	a resounding defense of his work.
223180	225460	One that points to a new paradigm of science
225460	228040	that was proven experimentally and witnessed
228040	230400	by the highest levels of American government
230400	232840	just to get sequestered, obfuscated,
232840	234460	and go into deep black aerospace.
235020	237100	And if you're interested in Bob Lazar,
237460	240920	I'd say Brown's work even provides a better explanation
240920	244160	of the whole Bob Lazar story than Bob Lazar himself.
244580	245980	But we'll get into that later.
246240	248640	I knew that he wasn't the crank
248640	250860	that wanted to go play with pineapple.
251180	252900	and electro culture.
253320	256200	I also learned from Townsend Brown's daughter, Linda,
256420	258580	that the inventor would constantly speak
258580	261760	of biblical UFOs and aliens behind closed doors
261760	262620	and with his family.
262800	265760	He was also genuinely obsessed with time travel.
266020	269320	I think he worried a lot about how humans
269320	272500	were going to react when they finally had to grow up
272500	274920	and accept the fact that they're not alone.
275720	278220	My new friend, Jan Lundquist,
278380	280360	an absolute research prodigy
281180	286780	memory also sits down with me. I may be the worst expert on Townsend Brown. You
286780	290680	might know more than anybody in the world. I might. All of this stuff which was
290680	296560	being looked at 60 years ago is still really cutting it up. I also speak with
296560	301700	Nick Cook, famed aviation journalist and author of The Hunt for Zero Point. Cook
301700	306120	spent decades speaking to physicists, titans of aerospace, even multiple
306120	310860	presidents of skunk works, studying the history of aerospace's interest in
311180	317860	gravity. And finally, I get to grill a Navy scientist who holds a deep understanding of
317860	322840	the fundamental and theoretical implications of Brown's work, but cannot reveal his identity for
322840	333680	fear of reprisals. So without further ado, hit subscribe and prepare to take a stroll down the
333680	339360	rabbit hole with this week's American alchemist, the godfather of American dark science, and the
341620	343140	Thomas Townsend Brown.
347140	349400	Different parts of the brain have different activities.
349700	351080	But you know that, don't you?
353840	355760	I know people that do a lot.
355800	357500	Maybe you should interview me.
365200	368300	Given that we're about to cover some fairly dangerous subjects,
