start	end	text
1740	6660	Major Kehoe, just what are the functions and duties of the Natural Investigations Committee
6660	7840	on Aerial Phenomena?
8360	14860	Our committee investigates all factual reports, sightings of these unknown objects, submits
14860	19500	them to our scientific advisors, and when we can reach a definite conclusion, we make
19500	20600	the conclusions public.
20900	25660	Our attempt is to inform the public everything that can be told them without violating security.
26520	32240	Now, this information involves somewhat the flying saucer reports that have spread across
32240	33740	the country and around the world.
34240	34980	That's right.
35100	38200	That's a bad name, but it's here, so we have to accept it.
38260	43760	We use the word the Air Force uses, the term UFO or unidentified flying object.
44020	47460	Well, have these objects resembled a flying saucer?
47500	48760	Is that why they reached that name?
49100	54320	The majority of reports, and the Air Force agrees on that, are of disc-shaped objects,
55660	58160	have a diameter about one-tenth out of their thickness,
58380	61860	and they've been reported up in sizes over 300 feet in diameter.
62520	65020	When was the first one sighted?
65580	68920	Well, during World War II, there were hundreds of reports
68920	74200	of disk or rocket-shaped objects by our pilots over in Germany
74200	75600	and on the bombing routes to Japan.
76760	78880	Nobody used the word flying saucers then.
78980	80600	They thought they were foreign devices,
80700	82720	and we found out later that they thought they were ours.
83360	85260	The mystery never was cleared up,
85660	87120	Those were the first official sightings.
87260	93580	Have there ever been any actions from these unidentified objects, such as shootings or
93580	95140	incidents of any kind?
96140	98600	No, there has been no proven hostility.
98800	103580	There have been two or three cases where planes have disappeared chasing these objects.
104120	110040	One captain, Mantell, was killed back in 1948 chasing one of these saucers, and the Air
110040	114840	Force stated this and later suggested several answers, but they never did have a conclusion.
115660	122520	Does the Air Force work in cooperation with your committee in locating these things and reporting on them?
122660	123440	Not officially.
123500	130960	The Air Force policy, which has been set long ago, is to keep most of the facts undercover until they have all the answers.
131360	137420	We don't like the policy, but many of the times we find that people in the Air Force don't like it either,
137480	139820	but it's set, and therefore, of course, they have to carry it out.
139820	144980	We do get information from many people in the Air Force and also retired and
144980	149520	reserve Air Force soldiers who are trying to get the truth before the public.
149940	156020	Have more of these unidentified objects been cited now in the current time as
156020	157440	compared to years ago?
158260	162720	Well, they vary. Right now there is a slight increase in
162720	166780	sightings. Most of these don't get into the newspapers or on the air, so there's
166780	168740	There's an impression that there's a complete lull.
169000	171420	Actually, there have been some very important sightings recently.
172280	174580	They continue regularly, all the time.
174840	177400	That's right. They've kept on ever since World War II.
178140	183280	There have been big increases several years ago, which did get in the papers, on the air,
183440	189020	but after the Air Force set its new policy of closing up the files,
189480	191820	naturally, you don't get them so many times.
192020	194080	But there's one recently, for instance, over the Pacific,
194080	199260	Pacific, where two commercial jet liners, one of them a Pan American, the other a British
199260	206280	Airways, overseas Airways Corporation jet, sighted a gigantic object, round object, apparently
206280	211780	with an open space in the center like the planned space base suggested by Von Braun
211780	214460	years ago, which of course we're just simply talking about.
215120	218860	This thing moved so fast that it was over the horizon in a matter of minutes.
218860	225740	It was also sighted and reported and confirmed by the Navy, sighted by a ship in the same area.
226100	234860	So here we have this, apparently, a huge space base which was investigating our globe at that time on September 21st.
234900	243000	October 3rd, out in Utah, in broad daylight, a smaller disk shape was seen by about eight pilots,
243120	247640	a number of people on the ground, and was sued by one pilot over Provo Airport.
248860	253680	Down in Venezuela recently there was a sighting where a number of fishermen saw this thing
253680	258020	and they were so terrified by it they all jumped over their boat and tried to swim ashore.
258100	258900	One man was drowned.
259200	262760	There's been quite a lot of fear of these things which has been built up because of the secrecy.
263180	268040	Are there any conclusions as to just where these machines are coming from?
269040	271180	We've not drawn any definite conclusions.
271680	275780	However, it is interesting that every time Mars approaches the Earth,
276300	278640	there is a noticeable increase in sightings.
278860	280100	This has happened since 1948.
280600	283140	Now, that doesn't mean that they are based on Mars,
283300	285100	although it indicates they may be.
285680	286920	Possibly there is a base.
287060	288760	Maybe they originate from Mars.
288860	289380	We don't know.
289660	293540	What about seeing actual persons or beings aboard?
293880	294880	Has this ever been done?
295440	300320	Of course, there have been many wild tales of people who claim that they have taught the spacemen
300320	302860	who came down and stepped out of flying saucers.
302900	307200	But we know of only one or two cases we accept as authentic
309180	314800	creature these creatures were simply seen vaguely some kind of movement behind the ports or control
314800	321560	panels and as far as we know they're simply uh until the creatures of intelligence and interest
321560	327000	in this planet and so on and that's as much information we have but they haven't made any
327000	333520	official contact uh or tried to they uh there have been several brief landings where they've touched
333520	339000	Now that's as contrasted with these, again, with these wild claims, but they have touched
339000	343800	down and the ground has been found radioactive where they rested on the ground for a few
343800	344100	moments.
344380	348820	I don't think we have any proof that any of these beings ever came out during those landings.
349820	354040	I'd like to ask you some more questions, Major Kehoe, and so I'll continue with my
354040	356540	capital's assignment in just one minute.
357100	363980	Major Kehoe, these unidentified objects that have been seen and cited and reported on,
364820	370120	are reports coming in from overseas anywhere that they also are seeing them? And are their
370700	374880	stories as to what they look like, are they the same as our stories? Do they compare?
375380	378720	Yes, they do. They're practically the same. There have been reports by
379280	383200	the armed forces in most foreign countries and the airline pilots,
383200	385840	instruments, astronauts, missile trackers and so on.
386400	388040	Discs and rocket shaped devices.
388540	394180	In one case, an RAF pilot in broad daylight sighted a disc shaped object which was coming
394180	397540	at him head on and it just barely missed him.
397760	402120	The object was also seen by pilots in other jets in the same area.
402700	407300	Down in Brazil a few years ago, an airliner flew right into the middle of a formation
407300	409440	of discs, about 19 of them.
409440	413560	They were estimated by the pilots as being about 100 feet in diameter.
414120	417060	This close proximity scared almost all the passengers,
417240	420680	and for a moment everybody was running wild in the ship.
420760	421960	Well, it could be quieted down.
422840	426940	These objects then do fly in numbers, not just one. Is that right?
427160	429740	They've been reported many times in formations.
429880	435760	They've been reported in T and V formations, echelons, and changing from one to the other.
435800	438420	For instance, from a circle to a line formation.
439440	441500	absolute proof of intelligent control.
442240	443480	How about actual
443480	445500	speeds? Has there been any estimate
445500	447400	as to just how fast they can travel?
448100	449180	Well, they were tracked
449180	451140	out of white sands at the proving ground.
451300	453680	One object, rather, was tracked at 18,000
453680	454400	miles an hour.
454960	457280	Now, that was by Theodolite.
457480	459280	Four Navy scientists saw this
459280	461440	object, and they tracked it very carefully.
461920	463100	There have been other
463100	465060	tracking by radar and visual
465060	466940	also. Now, the Air Force, for instance,
467220	468900	one night over a
469440	477020	a crew of a B-29 bomber tracked several small objects moving at about 50 to 240 miles an
477020	477280	hour.
477400	479340	They tracked them by top watch.
479600	484300	They were seen off to one side by crewmen looking out the blister windows.
484640	489480	Later, a very large object appeared on the radar scope, and one of these formations joined
489480	491960	this object or merged with it or taken aboard.
492480	497800	And then this huge machine speeded up and went off the scope at about 9,000 miles an
497800	498060	hour.
499440	500580	Air Force intelligence report.
501080	505720	Is there any report of this from the NORAD headquarters in Colorado?
506200	507580	Do they report on this?
507780	510020	They report what they call unknowns.
511020	516320	Unknowns can be anything from an unknown aircraft to some phenomena, something like that.
516460	518880	There have been UFO reports many times.
519000	520860	We've been told that by Air Force officers.
521000	526440	For instance, Captain Edmund Jerome, who recently retired and was an intelligence officer as
526440	530820	as well as a command pilot, says that several times there were cases reported
530820	534000	by a distant early warning system where they picked them up by radar
534000	538020	and they were moving at such fantastic speeds they couldn't possibly be anything Russian.
538660	542540	And these were, of course, sent right on to intelligence, but they were never made public.
543140	547500	Has there been any idea as to what makes them move, what type of power?
548260	549780	Well, that's speculation again.
549780	556800	Now, Professor Hermann Olberth, the great rocket designer, the father of space travel,
557720	563040	has suggested that they are using a force which has an artificial gravity field.
563280	571100	In other words, they can move through our atmosphere without heating up or breaking the sound barrier and causing a boom.
571340	574380	But what causes the power itself, he doesn't say.
574480	576020	It could be cosmic rays.
576200	577480	It could be nuclear power.
