start	end	text
0	5800	In March of 2024, the Infographics Show, a popular and excellent channel with custom
5800	9500	animations and fantastic storytelling, posted a video titled,
9640	13960	U.S. Special Forces Confession, I Recovered Crashed UFOs.
14080	19640	Although the channel has covered the UAP subject in the past, this entry stood out entirely.
20040	25840	The video covers the testimony of an individual who encountered a crashed UAP while serving in
25840	32360	Vietnam. With engaging storytelling and mesmerizing animations, the Infographics team highlights how
32360	38920	this sighting saw the soldier read into covert UAP operations and details his work on the program.
39560	44520	Astonishing details of UAP crash retrieval and reverse engineering are highlighted in this
44520	50060	account very similar to the claims of David Grush. I'm sure many people saw this video, enjoyed it,
50060	56100	and moved on. Just as many watched it and thought, huh, I wonder if this is real. But the narrator
56100	62100	starts this video with a statement that almost forces us to analyze the entire video line by
62100	67740	line. Note, the following is based on testimony provided over a series of interviews and written
67740	72900	correspondence, edited and cut together in an attempt to create a cohesive timeline of the
72900	78600	events as described. Do these events recount the experience of a real anonymous whistleblower?
80060	85660	in fact and are there elements we can verify? And why did he speak to the Infographics Show?
85980	92300	Hey guys, it's UAP Gerb and thank you for joining me as we conduct a full breakdown and analysis of
92300	98480	the Infographics Show's U.S. Special Forces Confession, I Recovered UFOs. Since its release,
98660	104160	I have played this testimony over and over and over in my head. Is it possible that these events
104160	108800	and details recount the true testimony of someone on a UFO crash retrieval program?
110060	114300	it is well worth investigating their story, searching for holes or confirmable elements,
114560	119580	because this could very well be the most crucial first hand whistleblower of all time.
124640	129300	To start, our witness states, and I will be calling him our witness for the duration of
129300	135500	this video, that our story begins in 1968 during the Vietnam conflict along the Vietnam-Cambodia
135500	135900	border.
135900	144460	Before we get into his story, we do have two interesting Vietnam cases that may be contextually relevant to our infographics whistleblower.
144600	152240	We can check in on the ever-relevant Stephen Greer redacted witness log to analyze the statements and emails of witness 10622.
153140	163040	10622 served as CTR communication technician radio in the U.S. Navy from 1966 to 1970 on the Bonham Richard aircraft carrier.
163040	168960	It was in June of 1968, on official duties, he received scrambled messages mentioning
168960	172760	at least 11 UAP were tracked on visual and radar.
173260	179280	And on September 9th, 1968, several US helicopter pilots and soldiers stationed at a Marine
179280	183640	Corps base in Dong Ha, Vietnam had a close encounter with a fast-moving object.
183960	188500	This object had green and white lights and engaged in maneuvers for 20 minutes.
188500	195020	Anyways, our witness states his US military unit was performing an LRRP, a long-range
195020	199740	reconnaissance patrol tracking supply routes into South Vietnam from Cambodia, as well
199740	203240	as marking out sites for a B-52 bombing raid the following year.
203420	206800	This tiny snippet in the video gives us so much to unpack.
207120	211480	The following year of 1969, a covert bombing raid did in fact occur.
211740	218160	On March 18th, 1969, the Strategic Air Command commenced Operation Menu, not declassified
218500	225160	2000 by President Bill Clinton, Operation Menu was a year-long B-52 bombing campaign that ravaged
225160	231580	eastern Cambodia, and that mention, LRRP, may be one of the most significant pieces to solving
231580	238380	this puzzle. Long Range Reconnaissance Patrol was a special unit acting in Vietnam, Company E-52nd
238380	243900	Infantry, attached to the 1st Cavalry Division in the U.S. Army. This unit operated in Vietnam
243900	251140	from 1967 to 1969, well within the time frame of our witness, and participated in two of the
