start	end	text
0	1820	The commander comes to him one day and he says,
1900	3880	look, I need you to come with me.
4600	6440	I've been asked to go to S4.
7580	10080	Way down under the ground, and he said they go in,
10080	14960	and he saw actual saucers that were there, he said,
15060	17180	you know, kind of just floating there.
17520	19140	There were like three or four of them.
19220	19420	Underground.
19660	21660	Yeah, down underground at S4.
21900	25820	We come into this area, and he said there was this room there
25820	28600	with this big one-way mirror,
30220	38000	being there. His commander went in to the room and was having this telepathic communication with
38000	44120	them. And they said they had these index cards that had the questions and answers. And one of
44120	48720	the questions that they asked him, he said, was, you know, like, where are you guys from and what
48720	56040	are you doing here, right? The ET guy said, I am one of a person from different star systems
56040	61180	in our galaxy who have all been tasked with going around together
61180	64720	to different planets where life has actually begun
64720	67740	and to monitor how it's going.
69560	73620	That's where I saw the photographs of a crash retrieval.
73860	75760	There wasn't any doubt about what it was.
75960	79060	It was not Roswell because it was snow on the ground.
79220	80520	It was snow on the ground.
81280	85400	You could see in the photos that it had plowed through this field
86040	87740	out of all the dirt in the snow.
88060	90560	I saw that there were symbols, actually,
90860	96620	along the bottom of the dome that was at the top of this.
96720	97920	It was a classic saucer.
98000	101480	I actually traced every single one of the symbols.
101640	105540	Oh, sure. Yeah. I'll show you.
105660	107080	Could you draw what you saw in the picture?
107180	109180	Yeah, here's the big hillside.
109320	112080	And so I could see that all along the bottom,
112200	114280	right along the bottom of the disk right here.
114280	114860	The bottom of the dome.
116040	120660	that I could see these symbols, and they looked like this.
123740	130380	The Church of Scientology believes that there's a major confrontation going on
130380	135440	between reptilian extraterrestrial species from Zeta Reticuli
135440	138820	and the people from the Pleiades.
139040	143320	In the next four-year period, we're getting set to lay the groundwork
143320	147320	for establishing the protocols that are going to govern our relationship
147320	151120	with this extraterrestrial civilization for the next 10,000 years.
152520	156620	And I was sworn to secrecy when I was told about the,
156640	162400	it's called psionic assists, that there's a technology that they've got
162400	169200	that is amping up the capacities of individuals
169200	172900	to do telepathic communication.
173300	174680	And it's very dangerous.
174840	180640	And it's frying out the brains of people that they're testing.
180900	185700	If you had full authority to subpoena anyone or any person or any entity,
186700	187680	who would it be?
192860	196560	Are you aware of any whistleblowers or evidence not known by the public
196560	198420	about to come out in the next month?
201660	202220	Yes.
206460	209740	I was wondering if you could find an answer for this question.
209960	214020	Is it possible that the National Institute of Health in Bethesda, Maryland,
214780	219240	is working with non-terrestrial biological material?
219720	224260	The reason why I ask that is because back when I was a roofer,
224260	229660	I went to go work at that particular installation on a building with three smokestacks.
230000	232620	And we were on our way up to the top of the building.
232800	242780	A guy came out of the room with a triangular-headed entity that was maybe about two and a half feet tall in a jar of liquid.
243540	250240	And as soon as he saw me and my partner, he told us that he was very sorry, and he retreated back into the room.
251080	262860	Ladies and gentlemen, today we are joined by Danny Sheehan, who is a constitutional lawyer who has been involved in some of the most important cases in U.S. history, including Watergate, the Pentagon Papers, Iran-Contra.
263280	269020	He's also a key figure in UAP disclosure and an advocate for government transparency.
269660	285820	He's representing people like Luis Elizondo, and he's also founded the New Paradigm Institute and has been, sorry, your role with the Disclosure Project as well, your chief counsel.
285840	290380	20 years of general counsel for the Disclosure Project for Dr. Stephen Greer.
290380	300620	That's right. So obviously, this makes you one of the most important figures in the fight for UAP transparency today. So thank you, Danny Sheehan, for joining me.
300880	302280	I appreciate it. Thank you, Chris.
302280	325980	Yeah, absolutely. I'm so looking forward to today's conversation because it isn't every day that I get to speak with, first of all, a Harvard-trained lawyer, also studied at Divinity School. You've got just probably the thickest resume out of anyone who's ever sat here and possibly anyone I'll ever meet. So it is truly, truly an honor to be able to chat with you about all this.
326080	328300	I appreciate it. I appreciate the chance to do it.
328300	352500	Yeah. So for those of you interested in what Danny's doing, I would highly encourage you, I do this at the top so people have a chance to look at it, but go check out the New Paradigm Institute and what they're doing. I left the link below. It's wonderful what you guys have set up and how long you've been working on this. I didn't know. We've talked a lot behind the scenes about this and we'll get into that also a little bit later.
352600	352860	Sure.
352860	357800	Sure. First, I kind of, I've got a bunch of questions here that I want to get to,
357920	362660	but ultimately I would like us to use this time to get a little weird.
364360	369220	You're someone who I've been fascinated with, with your interviews, because you always have
369220	373640	these really interesting nuggets of information that I've never heard anywhere else.
374400	380680	And I also want to let the audience know that this isn't coming from, you know, a lot of times
380680	386340	there is this frustration with, I can't say this or I can't say that. But you're a public interest
386340	392440	lawyer. Can you give us a little bit of a definition of what that means? Well, it's interesting. It's
392440	398780	sort of a thing that we created back in the 70s that I graduated from law school in 1970.
399500	405120	And we were, the classes that were coming out of the law schools at that time, didn't think that
405120	408700	any of the other kind of slots were appropriate.
408980	411140	We'd end up working for major corporations
411140	413700	or we'd work for the government as a prosecutor
413700	415240	or a public defender's office.
415480	419540	And so the one spot that they had to go to was ACLU
420100	422620	if you were going to be doing kind of civil liberties work.
422880	428920	But ACLU was not as aggressive as a lot of us wanted to be.
429080	431560	So at the Harvard Civil Rights Law Review,
