start	end	text
0	1100	So it's what, 1992?
1720	6240	1992. I was the chief of aerospace medicine, and he said,
6960	10020	I've got something to show you even you have never seen.
10240	10540	Wow.
10840	14980	And when I sat down in his chair, there's a saucer 20 feet across.
15240	20740	It was sort of like a modified egg. There were no rivets, no seams.
20980	26360	But then later on, it rotated. It was clear as day. It said U.S. Air Force.
26360	30600	But then when I said, why would we build it in a design like this?
30780	33620	He looked at me and went, we got it from them.
33920	37620	I flew helicopters and I flew F-16s.
37640	44500	No vehicle I have ever known of could obtain a 45 degree angle of attack without moving.
44800	48780	So when these companies say, look, we made this thing.
48900	50580	Look at how fancy it is.
50900	54880	That's to get the people's attention so they don't look at this other thing
57640	65240	In 2023, when David Grush testified under oath before Congress, he explained to the world and
65240	71300	to our system of government a host of staggering revelations. The military has an alien craft
71300	77220	retrieval program, there were bodies in some of these vehicles, and he also confirmed what had
77220	83320	long been speculated, that some combination of secret military programs and private aerospace
83320	88880	space companies have developed reverse engineered versions of this alien technology.
89340	94540	While many of you watching this channel might have thought, like me, that Grush's personal
94540	100580	bravery and commitment to disclosing these truths was worthy of the utmost respect, it
100580	106080	was unfortunate to see the tried and tested playbook of discrediting and ad hominem attacks
106080	108520	that emerged in the wake of his testimony.
113320	114300	Neil deGrasse Tyson, right?
114480	114860	Oh, yeah.
114940	115880	He's made up his mind.
115960	119880	I've read his tweets, and I'm like, dude, you have a PhD in physics?
120040	121000	Where's your curiosity?
121220	122160	I can't even believe.
122400	126340	There's no evidence that would convince an authentic skeptic.
126460	131740	However, even within UFO World, there were some who questioned the fact that Grush had
131740	137340	not personally seen these crafts, but was relying on the testimony of dozens of those
137340	142600	who had, members of the military or government that he hoped would personally come forward
143320	149060	up his claims. One man watching this testimony knew that he could be one of those to come forward.
149300	154700	I thought, I've got his six o'clock covered. To stand up in a similar way, with all of the risk
154700	160660	of reputation, and bravely break his silence about what he had seen. Dr. Gregory Rogers,
161140	167300	a recently retired chief flight surgeon for NASA and the U.S. Air Force, and former director of
167300	171020	of aerospace medicine, has decided that now is the right time
171020	173300	to tell the world what he had witnessed
173300	175760	in stunning first-hand detail,
176000	178820	that we have a craft that in some way or another
178820	180260	didn't come from here.
180460	183140	This wasn't something in the sky, off in the distance,
183380	185680	or on radar coming out of the ocean.
185860	187700	This was something in our possession.
188040	191140	But this conversation isn't only about UFOs.
191180	193900	It's about God, the universe, science,
194080	195840	as well as life and death.
197300	202400	witness to the most confronting sights that most of us can scarcely imagine. And in this
202400	208920	conversation, he bravely speaks about his PTSD and the memories he carries, and why he believes UFO
208920	215480	disclosure and what he saw in our possession is the only path toward progress. So today, I'm so
215480	221600	proud to present this conversation with the brilliant Dr. Greg Rogers. This is an absolute
221600	229940	honor. I have Greg Rogers here. You are another just extremely interesting witness who I've been
229940	236740	trying to get on the show for a while. Thank you so much to Chris Leto, Leto Files, an amazing show
236740	243400	around UFOs. And he's also a former pilot. And he does a really amazing interview with you. So I
243400	248540	recommend everybody go check that out. But he introduced us. And after watching your interview
248540	254680	with him, I was just fascinated by what you saw and your background, which I think is
254680	255800	really beyond reproach.
255820	257320	And so I'm very excited to get into this.
257560	259220	I'm very pleased to be here.
259300	260080	This is an honor.
260260	261700	Oh, it's a total honor for me.
261760	265840	And I appreciate your courage in coming out and speaking out.
265920	269540	Before we get into that, just what's a little bit about your background?
270440	277920	Well, I was a flight surgeon for the United States Air Force and became the chief of aerospace
278540	284360	and at the 45th Space Wing, which included the Eastern Space and Missile Center,
285280	290400	Cape Canaveral Air Force Station, Patrick Air Force Base, and then also the Eastern Missile Range.
290700	300780	But as such, we also supported tenant units that included a vast array of units,
300840	306740	including we had aircraft from the 9th Strategic Reconnaissance Wing
309100	316400	And we had the Air Force Technical Application Center, which is a whole other story.
316500	325540	But I did deploy to the South Atlantic in South America with AFTAC.
326320	330640	But we did search and rescue missions out in the ocean.
330680	337900	If somebody managed to sink their boat and call in for help, we would go out and rescue them.
338780	342680	So I had a wide range of duties.
342940	353440	Now, the one that most people find most fascinating was that I was the senior flight surgeon for the astronaut rescue and recovery team at Kennedy Space Center.
353640	358440	So every time we had a space shuttle launch, I would climb in JOLI-1.
358660	363320	We had other flight surgeons that would get in JOLI-2 and JOLI-3.
363320	373180	So we would clear the box to make sure that there was no unwanted people into the downrange area at the time of launch.
373300	391160	But then the three helicopters with the three flight doctors on it and three sets of PJ's pararescue jumpers were always sitting at the shuttle landing facility for any launcher landing opportunities for the space shuttle.
391160	396180	because nothing about flying the space shuttle is routine.
396580	403260	Even at the end of its service time, it was still considered an experimental vehicle.
404280	406440	Wow. So that's a pretty important role.
406660	413600	I mean, you were kind of hands-on with people inside the space shuttle at its kind of inception moment.
413860	416260	Well, plus I helped to make other changes.
416260	425520	As an example, when I first got there in 1989, do you remember the orange launch entry suits that the astronauts wore?
425640	426020	Sure, yeah.
426240	432420	Well, in their right lower leg pocket, they had two chemlights, and they were both red.
433180	436120	As soon as I heard that, I said, you've got to be kidding.
436280	437940	What are you doing with red chemlights?
438120	442080	And they said, well, we want to make sure it doesn't affect their night vision.
442240	444180	I said, forget their night vision.
444180	448700	First of all, green chemlights are not going to affect their night vision.
448800	450140	They're not bright enough.
450420	458040	But we can't see the red chemlights on our night vision goggles when we're looking for them unless we fly right over them.
458180	463240	You give them green chemlights, and on a clear night, we can spot them five miles away.
463540	469280	So what I'm concerned about is my ability to rescue those astronauts and save their lives.
469280	475700	So it took me a year and a half to get NASA to switch to the green chemlights.
475760	476540	That's a big deal.
476640	480340	So you were the guy behind the switch from the red chemlights to the green chemlights.
480340	480600	Yes.
480600	492280	In fact, after one of the MoData exercises, that's an exercise where the astronauts would bail out into the Atlantic Ocean.
